Module	Section	Sample Name	Source
FastQC	all_sections	Hmi-CBas_036-Ex1-08C.clmp.fp2_repr.R2	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus/fq_fp1_clmp_fp2_fqscrn_repaired/Hmi-CBas_036-Ex1-08C.clmp.fp2_repr.R2_fastqc.zip
FastQC	all_sections	Hmi-ABas_018-Ex1-06B.clmp.fp2_repr.R2	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus/fq_fp1_clmp_fp2_fqscrn_repaired/Hmi-ABas_018-Ex1-06B.clmp.fp2_repr.R2_fastqc.zip
FastQC	all_sections	Hmi-AMac_035-Ex1-10E.clmp.fp2_repr.R1	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus/fq_fp1_clmp_fp2_fqscrn_repaired/Hmi-AMac_035-Ex1-10E.clmp.fp2_repr.R1_fastqc.zip
FastQC	all_sections	Hmi-CBas_022-Ex1-06F.clmp.fp2_repr.R1	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus/fq_fp1_clmp_fp2_fqscrn_repaired/Hmi-CBas_022-Ex1-06F.clmp.fp2_repr.R1_fastqc.zip
FastQC	all_sections	Hmi-AMac_049-Ex1-12F.clmp.fp2_repr.R2	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus/fq_fp1_clmp_fp2_fqscrn_repaired/Hmi-AMac_049-Ex1-12F.clmp.fp2_repr.R2_fastqc.zip
FastQC	all_sections	Hmi-ABas_008-Ex1-08A.clmp.fp2_repr.R2	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus/fq_fp1_clmp_fp2_fqscrn_repaired/Hmi-ABas_008-Ex1-08A.clmp.fp2_repr.R2_fastqc.zip
FastQC	all_sections	Hmi-CPar_020-Ex1-12A.clmp.fp2_repr.R2	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus/fq_fp1_clmp_fp2_fqscrn_repaired/Hmi-CPar_020-Ex1-12A.clmp.fp2_repr.R2_fastqc.zip
FastQC	all_sections	Hmi-ABas_002-Ex1-02A.clmp.fp2_repr.R2	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus/fq_fp1_clmp_fp2_fqscrn_repaired/Hmi-ABas_002-Ex1-02A.clmp.fp2_repr.R2_fastqc.zip
FastQC	all_sections	Hmi-AMac_007-Ex1-06G.clmp.fp2_repr.R1	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus/fq_fp1_clmp_fp2_fqscrn_repaired/Hmi-AMac_007-Ex1-06G.clmp.fp2_repr.R1_fastqc.zip
FastQC	all_sections	Hmi-CBas_030-Ex1-04A.clmp.fp2_repr.R1	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus/fq_fp1_clmp_fp2_fqscrn_repaired/Hmi-CBas_030-Ex1-04A.clmp.fp2_repr.R1_fastqc.zip
