Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sde-AMar_045-SdA02045-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_045-SdA02045-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_046-SdA02046-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_046-SdA02046-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_047-SdA02047-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_047-SdA02047-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_048-SdA02048-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_048-SdA02048-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_049-SdA02049-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_049-SdA02049-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_050-SdA02050-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_050-SdA02050-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_051-SdA02051-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_051-SdA02051-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_052-SdA02052-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_052-SdA02052-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_053-SdA02053-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_053-SdA02053-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_054-SdA02054-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_054-SdA02054-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_055-SdA02055-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_055-SdA02055-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_056-SdA02056-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_056-SdA02056-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_057-SdA02057-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_057-SdA02057-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_058-SdA02058-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_058-SdA02058-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_059-SdA02059-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_059-SdA02059-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_060-SdA02060-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_060-SdA02060-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_061-SdA02061-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_061-SdA02061-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_062-SdA02062-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_062-SdA02062-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_063-SdA02063-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_063-SdA02063-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_064-SdA02064-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_064-SdA02064-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_065-SdA02065-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_065-SdA02065-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_001-SdA01001-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_001-SdA01001-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_002-SdA01002-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_002-SdA01002-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_003-SdA01003-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_003-SdA01003-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_005-SdA01005-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_005-SdA01005-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_006-SdA01006-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_006-SdA01006-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_007-SdA01007-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_007-SdA01007-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_008-SdA01008-L2-clmp-fp2-repr.R1	0.1056217787342858	0.0
Sde-AMat_008-SdA01008-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_009-SdA01009-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_009-SdA01009-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_010-SdA01010-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_010-SdA01010-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_011-SdA01011-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_011-SdA01011-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_012-SdA01012-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_012-SdA01012-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_013-SdA01013-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_013-SdA01013-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_014-SdA01014-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_014-SdA01014-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_015-SdA01015-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_015-SdA01015-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_016-SdA01016-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_016-SdA01016-L2-clmp-fp2-repr.R2	0.0	0.0
