Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SdA01001_CKDL210020579-1a-5UDI301-AK533_HKGLMDSX2_L2_clmp.r1	5.192761713472164	6.973826929994583
SdA01001_CKDL210020579-1a-5UDI301-AK533_HKGLMDSX2_L2_clmp.r2	3.2820738520597437	6.931721966662424
SdA01002_CKDL210020579-1a-5UDI301-AK7557_HKGLMDSX2_L2_clmp.r1	2.35785293373105	4.151465846405326
SdA01002_CKDL210020579-1a-5UDI301-AK7557_HKGLMDSX2_L2_clmp.r2	1.7530116874156079	3.5854266387318825
SdA01003_CKDL210020579-1a-5UDI301-AK8488_HKGLMDSX2_L2_clmp.r1	2.382091306707394	4.101715978066027
SdA01003_CKDL210020579-1a-5UDI301-AK8488_HKGLMDSX2_L2_clmp.r2	1.896449278937422	3.840685771541845
SdA01005_CKDL210020579-1a-5UDI301-GC06_HKGLMDSX2_L2_clmp.r1	2.514073768265913	4.601885816440282
SdA01005_CKDL210020579-1a-5UDI301-GC06_HKGLMDSX2_L2_clmp.r2	1.748644509068464	3.9695742009852917
SdA01006_CKDL210020579-1a-5UDI301-AK4236_HKGLMDSX2_L2_clmp.r1	3.480033160005443	4.798830703022977
SdA01006_CKDL210020579-1a-5UDI301-AK4236_HKGLMDSX2_L2_clmp.r2	2.535309654695493	4.939606428327958
SdA01007_CKDL210020579-1a-5UDI301-AK10343_HKGLMDSX2_L2_clmp.r1	2.3546218376503747	4.708066729948285
SdA01007_CKDL210020579-1a-5UDI301-AK10343_HKGLMDSX2_L2_clmp.r2	1.914087625721392	4.146877786886225
SdA01008_CKDL210020579-1a-5UDI301-AK4234_HKGLMDSX2_L2_clmp.r1	6.928661824657259	14.053562417270602
SdA01008_CKDL210020579-1a-5UDI301-AK4234_HKGLMDSX2_L2_clmp.r2	5.667938376667468	13.12012375393996
SdA01009_CKDL210020579-1a-5UDI301-GD06_HKGLMDSX2_L2_clmp.r1	7.257608926952552	13.020950237719752
SdA01009_CKDL210020579-1a-5UDI301-GD06_HKGLMDSX2_L2_clmp.r2	4.993426633357723	11.40894502566674
SdA01010_CKDL210020579-1a-AK7758-AK533_HKGLMDSX2_L2_clmp.r1	4.703946766147247	6.165423386379858
SdA01010_CKDL210020579-1a-AK7758-AK533_HKGLMDSX2_L2_clmp.r2	2.9414288107225492	6.0514982688799215
SdA01011_CKDL210020579-1a-AK7758-AK7557_HKGLMDSX2_L2_clmp.r1	2.773294830680498	4.084074972563808
SdA01011_CKDL210020579-1a-AK7758-AK7557_HKGLMDSX2_L2_clmp.r2	1.9727987188955964	4.052541033642025
SdA01012_CKDL210020579-1a-AK7758-AK8488_HKGLMDSX2_L2_clmp.r1	1.8317385170240872	3.330394902879709
SdA01012_CKDL210020579-1a-AK7758-AK8488_HKGLMDSX2_L2_clmp.r2	1.2882236406158367	2.955368358931602
SdA01013_CKDL210020579-1a-AK7758-GC06_HKGLMDSX2_L2_clmp.r1	3.949895242475344	5.512660330113954
SdA01013_CKDL210020579-1a-AK7758-GC06_HKGLMDSX2_L2_clmp.r2	2.50724359957075	5.1288389800194185
SdA01014_CKDL210020579-1a-AK7758-AK4236_HKGLMDSX2_L2_clmp.r1	2.1546024883295845	3.0742702508860464
SdA01014_CKDL210020579-1a-AK7758-AK4236_HKGLMDSX2_L2_clmp.r2	1.5325762752620897	3.1318337605650153
