Population	total_n_samples	n_mappedReads<100k	n_100-250k	n_250-500k	n_500k-1M	n_1-2M	n_>2M
Sde-ABul	78	9	40	28	1	0	0
Sde-AGui	35	35	0	0	0	0	0
Sde-AMar	2	2	0	0	0	0	0
Sde-AMat	2	2	0	0	0	0	0
Sde-ATum	41	1	31	9	0	0	0
Sde-CHam	2	2	0	0	0	0	0
Sde-CJol	64	3	38	23	0	0	0
Sde-CMat	2	2	0	0	0	0	0
Sde-CTum	64	4	52	7	1	0	0
Sde-CVal	43	37	6	0	0	0	0
