all	0	1194440	1219869	0.9791543
all	1	11327	1219869	0.0092854
all	2	12007	1219869	0.0098429
all	3	1076	1219869	0.0008821
all	4	570	1219869	0.0004673
all	5	40	1219869	0.0000328
all	6	84	1219869	0.0000689
all	7	34	1219869	0.0000279
all	8	36	1219869	0.0000295
all	9	27	1219869	0.0000221
all	10	11	1219869	0.0000090
all	11	7	1219869	0.0000057
all	12	7	1219869	0.0000057
all	13	14	1219869	0.0000115
all	15	4	1219869	0.0000033
all	16	16	1219869	0.0000131
all	17	13	1219869	0.0000107
all	18	16	1219869	0.0000131
all	19	18	1219869	0.0000148
all	20	12	1219869	0.0000098
all	21	5	1219869	0.0000041
all	22	16	1219869	0.0000131
all	23	2	1219869	0.0000016
all	24	32	1219869	0.0000262
all	25	14	1219869	0.0000115
all	26	4	1219869	0.0000033
all	27	13	1219869	0.0000107
all	28	7	1219869	0.0000057
all	29	12	1219869	0.0000098
all	30	5	1219869	0.0000041
