all	0	1134757	1219869	0.9302286
all	1	33981	1219869	0.0278563
all	2	43768	1219869	0.0358793
all	3	2940	1219869	0.0024101
all	4	2699	1219869	0.0022125
all	5	574	1219869	0.0004705
all	6	368	1219869	0.0003017
all	7	117	1219869	0.0000959
all	8	172	1219869	0.0001410
all	9	75	1219869	0.0000615
all	10	127	1219869	0.0001041
all	11	73	1219869	0.0000598
all	12	11	1219869	0.0000090
all	13	10	1219869	0.0000082
all	15	6	1219869	0.0000049
all	16	3	1219869	0.0000025
all	17	6	1219869	0.0000049
all	19	9	1219869	0.0000074
all	20	1	1219869	0.0000008
all	21	3	1219869	0.0000025
all	23	12	1219869	0.0000098
all	24	6	1219869	0.0000049
all	26	27	1219869	0.0000221
all	27	2	1219869	0.0000016
all	28	10	1219869	0.0000082
all	29	18	1219869	0.0000148
all	30	5	1219869	0.0000041
all	31	15	1219869	0.0000123
all	32	4	1219869	0.0000033
all	33	2	1219869	0.0000016
all	34	3	1219869	0.0000025
all	35	2	1219869	0.0000016
all	36	3	1219869	0.0000025
all	37	1	1219869	0.0000008
all	38	1	1219869	0.0000008
all	39	3	1219869	0.0000025
all	40	3	1219869	0.0000025
all	41	4	1219869	0.0000033
all	43	1	1219869	0.0000008
all	45	2	1219869	0.0000016
all	46	1	1219869	0.0000008
all	47	6	1219869	0.0000049
all	48	5	1219869	0.0000041
all	49	4	1219869	0.0000033
all	50	12	1219869	0.0000098
all	51	1	1219869	0.0000008
all	52	1	1219869	0.0000008
all	53	3	1219869	0.0000025
all	54	5	1219869	0.0000041
all	55	7	1219869	0.0000057
