Sample	Protists_1k	Human	Fungi_RefSeq_release	Bacteria_24k	Bird	Plant	Coral	Viruses	Vectors	Multiple Genomes	No hits
Tzo-AMvi_001_Ex1_L4_clmp.fp2_r1_screen	69978.0	11944.0	8127.0	2911.0	4927.0	1509.0	1367.0	191.0	19.0	484629.0	3739371.0
Tzo-AMvi_001_Ex1_L4_clmp.fp2_r2_screen	73113.0	11466.0	8012.0	2644.0	4852.0	1452.0	1261.0	203.0	21.0	491228.0	3730721.0
Tzo-AMvi_002_Ex1_L4_clmp.fp2_r1_screen	27126.0	9782.0	3418.0	4868.0	2187.0	553.0	478.0	113.0	12.0	178617.0	1664217.0
Tzo-AMvi_002_Ex1_L4_clmp.fp2_r2_screen	27754.0	9644.0	3318.0	4766.0	1947.0	566.0	529.0	120.0	9.0	179258.0	1663460.0
Tzo-AMvi_003_Ex1_L4_clmp.fp2_r1_screen	61868.0	20493.0	7558.0	3856.0	4138.0	1372.0	1126.0	282.0	88.0	309959.0	3070107.0
Tzo-AMvi_003_Ex1_L4_clmp.fp2_r2_screen	64131.0	19600.0	7498.0	3821.0	4267.0	1364.0	1198.0	233.0	18.0	314528.0	3064189.0
Tzo-AMvi_004_Ex1_L4_clmp.fp2_r1_screen	50477.0	8573.0	5923.0	3674.0	3687.0	1194.0	1049.0	159.0	26.0	292035.0	2644668.0
Tzo-AMvi_004_Ex1_L4_clmp.fp2_r2_screen	52224.0	8656.0	6036.0	3902.0	3578.0	1042.0	1010.0	130.0	5.0	294129.0	2640753.0
Tzo-AMvi_005_Ex1_L4_clmp.fp2_r1_screen	68234.0	12793.0	7782.0	3470.0	4719.0	1423.0	1483.0	221.0	17.0	411050.0	3861706.0
Tzo-AMvi_005_Ex1_L4_clmp.fp2_r2_screen	70598.0	12635.0	8031.0	3562.0	4849.0	1563.0	1186.0	178.0	14.0	416885.0	3853397.0
Tzo-AMvi_006_Ex1_L4_clmp.fp2_r1_screen	25106.0	5362.0	2365.0	8641.0	1159.0	400.0	301.0	170.0	6.0	308681.0	1638713.0
Tzo-AMvi_006_Ex1_L4_clmp.fp2_r2_screen	25319.0	5535.0	2343.0	8416.0	1041.0	319.0	328.0	129.0	8.0	310744.0	1636722.0
