Sample	Protists_1k	Human	Fungi_RefSeq_release	Bacteria_24k	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
LlA01001_CKDL210012719-1a-AK6881-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	96099.0	19104.0	8376.0	4454.0	1999.0	1056.0	638.0	374.0	63.0	0.0	368766.0	3220681.0
LlA01001_CKDL210012719-1a-AK6881-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	100309.0	19097.0	8503.0	4424.0	2098.0	1203.0	579.0	378.0	18.0	0.0	373252.0	3211749.0
LlA01002_CKDL210012719-1a-AK6881-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	91633.0	8518.0	7995.0	2949.0	2185.0	976.0	617.0	364.0	67.0	0.0	309701.0	3146459.0
LlA01002_CKDL210012719-1a-AK6881-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	94591.0	8534.0	8288.0	2767.0	2155.0	994.0	599.0	374.0	11.0	0.0	314906.0	3138245.0
LlA01003_CKDL210012719-1a-AK6881-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	127987.0	12019.0	11157.0	1878.0	3078.0	1287.0	790.0	491.0	94.0	3.0	496964.0	4346139.0
LlA01003_CKDL210012719-1a-AK6881-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	131204.0	12128.0	11400.0	1940.0	3001.0	1393.0	819.0	468.0	21.0	2.0	500375.0	4339136.0
LlA01004_CKDL210012719-1a-AK6260-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	138966.0	11353.0	11552.0	2966.0	2898.0	1442.0	775.0	549.0	55.0	1.0	561273.0	4140540.0
LlA01004_CKDL210012719-1a-AK6260-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	141924.0	11517.0	11771.0	2969.0	2814.0	1378.0	845.0	549.0	24.0	1.0	567296.0	4131282.0
LlA01005_CKDL210012719-1a-AK6260-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	127046.0	12190.0	10809.0	2386.0	2561.0	1415.0	897.0	450.0	47.0	4.0	481919.0	3969237.0
LlA01005_CKDL210012719-1a-AK6260-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	130106.0	12495.0	11192.0	2448.0	2404.0	1410.0	870.0	460.0	15.0	0.0	489386.0	3958175.0
LlA01006_CKDL210012719-1a-AK6260-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	163163.0	15187.0	13954.0	2005.0	3219.0	1559.0	1015.0	509.0	55.0	1.0	750438.0	4737320.0
LlA01006_CKDL210012719-1a-AK6260-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	166653.0	15032.0	13873.0	2022.0	3040.0	1690.0	1039.0	574.0	21.0	0.0	757400.0	4727081.0
LlA01007_CKDL210012719-1a-AK7010-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	79403.0	17113.0	7240.0	4069.0	2173.0	998.0	657.0	295.0	11.0	3.0	300455.0	2794554.0
LlA01007_CKDL210012719-1a-AK7010-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	81601.0	17113.0	7105.0	4095.0	2016.0	1021.0	603.0	274.0	12.0	0.0	303387.0	2789744.0
LlA01008_CKDL210012719-1a-AK7010-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	52848.0	5608.0	4387.0	1246.0	1122.0	532.0	257.0	89.0	8.0	1.0	178932.0	1751949.0
LlA01008_CKDL210012719-1a-AK7010-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	54016.0	5793.0	4545.0	1286.0	1169.0	541.0	259.0	91.0	4.0	0.0	179523.0	1749752.0
LlA01009_CKDL210012719-1a-5UDI312-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	96856.0	10387.0	8735.0	2728.0	2169.0	1070.0	732.0	375.0	23.0	3.0	347408.0	3112802.0
LlA01009_CKDL210012719-1a-5UDI312-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	98955.0	10342.0	8816.0	2817.0	2170.0	1054.0	654.0	353.0	19.0	0.0	350681.0	3107427.0
LlA01010_CKDL210012719-1a-5UDI312-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	158226.0	19817.0	13317.0	3227.0	3178.0	1511.0	987.0	535.0	24.0	0.0	582455.0	4403984.0
LlA01011_CKDL210012719-1a-5UDI312-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	62191.0	6857.0	5633.0	2997.0	1486.0	638.0	403.0	294.0	9.0	1.0	218777.0	1896499.0
LlA01011_CKDL210012719-1a-5UDI312-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	64094.0	7057.0	5425.0	2968.0	1384.0	660.0	362.0	285.0	4.0	0.0	220780.0	1892766.0
LlA01012_CKDL210012719-1a-5UDI312-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	97753.0	11037.0	7949.0	3082.0	1875.0	1057.0	562.0	446.0	14.0	0.0	428902.0	2510938.0
LlA01012_CKDL210012719-1a-5UDI312-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	102576.0	11437.0	8253.0	3097.0	1897.0	1087.0	526.0	417.0	11.0	0.0	428277.0	2506037.0
LlA01013_CKDL210012719-1a-AK6881-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	7458.0	1108.0	610.0	9967.0	134.0	79.0	44.0	37.0	4.0	0.0	31417.0	280463.0
LlA01013_CKDL210012719-1a-AK6881-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	7483.0	1167.0	668.0	9638.0	136.0	63.0	40.0	31.0	0.0	0.0	31699.0	280396.0
LlA01014_CKDL210012719-1a-AK6881-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	140424.0	20267.0	12277.0	2203.0	3227.0	1422.0	943.0	574.0	84.0	2.0	571857.0	4122313.0
