Sample	Protists_1k	Human	Fungi_RefSeq_release	Plant	Bird	Coral	Bacteria_24k	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
SdA01001_CKDL210020579-1a-5UDI301-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	541.0	142.0	116.0	46.0	28.0	18.0	16.0	13.0	0.0	0.0	203.0	1868894.0
SdA01001_CKDL210020579-1a-5UDI301-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	549.0	132.0	101.0	58.0	46.0	27.0	23.0	10.0	1.0	0.0	176.0	1868894.0
SdA01002_CKDL210020579-1a-5UDI301-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1848.0	327.0	274.0	106.0	75.0	54.0	24.0	25.0	0.0	1.0	202.0	4190217.0
SdA01002_CKDL210020579-1a-5UDI301-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1707.0	336.0	234.0	109.0	71.0	48.0	25.0	18.0	1.0	0.0	387.0	4190217.0
SdA01003_CKDL210020579-1a-5UDI301-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	786.0	186.0	130.0	66.0	44.0	23.0	16.0	10.0	0.0	0.0	241.0	2500281.0
SdA01003_CKDL210020579-1a-5UDI301-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	826.0	157.0	122.0	50.0	25.0	24.0	15.0	4.0	0.0	0.0	279.0	2500281.0
SdA01005_CKDL210020579-1a-5UDI301-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1745.0	376.0	293.0	141.0	76.0	41.0	26.0	29.0	2.0	0.0	492.0	4597644.0
SdA01005_CKDL210020579-1a-5UDI301-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1592.0	361.0	244.0	133.0	96.0	64.0	36.0	21.0	0.0	0.0	214.0	4598104.0
SdA01006_CKDL210020579-1a-5UDI301-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	574.0	112.0	92.0	39.0	24.0	15.0	30.0	5.0	0.0	0.0	126.0	1693257.0
SdA01006_CKDL210020579-1a-5UDI301-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	500.0	117.0	92.0	34.0	21.0	17.0	50.0	9.0	0.0	0.0	177.0	1693257.0
SdA01007_CKDL210020579-1a-5UDI301-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1131.0	208.0	199.0	74.0	70.0	26.0	24.0	17.0	1.0	0.0	177.0	3208867.0
SdA01007_CKDL210020579-1a-5UDI301-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1102.0	219.0	153.0	77.0	57.0	25.0	19.0	12.0	0.0	0.0	263.0	3208867.0
SdA01008_CKDL210020579-1a-5UDI301-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	122.0	23.0	25.0	11.0	6.0	4.0	1.0	2.0	1.0	1.0	31.0	251615.0
SdA01008_CKDL210020579-1a-5UDI301-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	100.0	31.0	17.0	13.0	5.0	1.0	0.0	2.0	0.0	0.0	33.0	251640.0
SdA01009_CKDL210020579-1a-5UDI301-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	353.0	81.0	54.0	37.0	21.0	15.0	9.0	9.0	0.0	0.0	81.0	1099333.0
SdA01009_CKDL210020579-1a-5UDI301-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	272.0	77.0	65.0	21.0	11.0	9.0	22.0	4.0	0.0	0.0	69.0	1099443.0
SdA01010_CKDL210020579-1a-AK7758-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	854.0	225.0	161.0	75.0	46.0	26.0	39.0	14.0	0.0	0.0	321.0	2931967.0
SdA01011_CKDL210020579-1a-AK7758-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	606.0	129.0	95.0	46.0	38.0	18.0	14.0	4.0	0.0	0.0	107.0	2112597.0
SdA01011_CKDL210020579-1a-AK7758-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	682.0	113.0	80.0	45.0	27.0	15.0	12.0	7.0	0.0	0.0	76.0	2112597.0
SdA01012_CKDL210020579-1a-AK7758-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1475.0	247.0	222.0	76.0	64.0	41.0	28.0	16.0	0.0	0.0	167.0	4667892.0
SdA01012_CKDL210020579-1a-AK7758-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1394.0	286.0	211.0	86.0	55.0	32.0	20.0	16.0	0.0	0.0	236.0	4667892.0
SdA01013_CKDL210020579-1a-AK7758-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1336.0	274.0	289.0	107.0	83.0	53.0	29.0	37.0	1.0	0.0	356.0	3202722.0
SdA01013_CKDL210020579-1a-AK7758-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1275.0	284.0	248.0	96.0	84.0	56.0	35.0	28.0	0.0	0.0	138.0	3203043.0
SdA01014_CKDL210020579-1a-AK7758-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1467.0	299.0	201.0	99.0	60.0	33.0	20.0	17.0	0.0	0.0	399.0	3703951.0
SdA01014_CKDL210020579-1a-AK7758-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1340.0	272.0	212.0	91.0	64.0	37.0	20.0	25.0	1.0	0.0	162.0	3704322.0
SdA01015_CKDL210020579-1a-AK7758-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1130.0	285.0	240.0	84.0	64.0	44.0	31.0	20.0	1.0	0.0	109.0	2866029.0
SdA01015_CKDL210020579-1a-AK7758-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1070.0	286.0	193.0	95.0	60.0	37.0	32.0	20.0	0.0	0.0	215.0	2866029.0
SdA01016_CKDL210020579-1a-AK7758-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	612.0	179.0	150.0	50.0	41.0	38.0	31.0	11.0	0.0	0.0	130.0	2067445.0
SdA01016_CKDL210020579-1a-AK7758-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	619.0	162.0	130.0	67.0	58.0	27.0	20.0	10.0	0.0	0.0	149.0	2067445.0
SdA01017_CKDL210020579-1a-AK7758-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	597.0	177.0	112.0	55.0	37.0	16.0	34.0	13.0	0.0	0.0	178.0	1521709.0
SdA01017_CKDL210020579-1a-AK7758-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	565.0	168.0	136.0	48.0	32.0	20.0	21.0	13.0	0.0	0.0	216.0	1521709.0
SdA01018_CKDL210020579-1a-AK7078-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1198.0	266.0	221.0	86.0	60.0	44.0	34.0	21.0	0.0	0.0	85.0	3356080.0
SdA01018_CKDL210020579-1a-AK7078-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1172.0	240.0	175.0	86.0	81.0	36.0	25.0	18.0	0.0	0.0	182.0	3356080.0
SdA01019_CKDL210020579-1a-AK7078-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	839.0	183.0	163.0	59.0	55.0	42.0	21.0	16.0	0.0	0.0	227.0	2672708.0
SdA01019_CKDL210020579-1a-AK7078-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	735.0	172.0	172.0	41.0	63.0	26.0	20.0	12.0	0.0	0.0	97.0	2672975.0
SdA01020_CKDL210020579-1a-AK7078-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1091.0	219.0	164.0	85.0	37.0	29.0	17.0	14.0	1.0	0.0	257.0	3187278.0
SdA01020_CKDL210020579-1a-AK7078-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1035.0	193.0	181.0	53.0	45.0	32.0	23.0	16.0	0.0	0.0	17.0	3187597.0
SdA01021_CKDL210020579-1a-AK7078-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	971.0	218.0	193.0	81.0	69.0	26.0	11.0	9.0	3.0	0.0	134.0	3428143.0
SdA01021_CKDL210020579-1a-AK7078-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1008.0	221.0	184.0	65.0	53.0	38.0	16.0	13.0	0.0	0.0	117.0	3428143.0
SdA01022_CKDL210020579-1a-AK7078-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1102.0	208.0	182.0	47.0	56.0	35.0	21.0	22.0	0.0	3.0	196.0	3116828.0
SdA01022_CKDL210020579-1a-AK7078-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1110.0	190.0	165.0	61.0	46.0	34.0	18.0	15.0	0.0	0.0	233.0	3116828.0
SdA01023_CKDL210020579-1a-AK7078-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	996.0	256.0	198.0	82.0	75.0	38.0	25.0	19.0	0.0	2.0	237.0	2751011.0
SdA01023_CKDL210020579-1a-AK7078-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	917.0	203.0	179.0	85.0	51.0	38.0	27.0	11.0	0.0	0.0	141.0	2751287.0
SdA01024_CKDL210020579-1a-AK7078-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	948.0	245.0	171.0	59.0	72.0	25.0	17.0	15.0	3.0	2.0	155.0	1221021.0
SdA01024_CKDL210020579-1a-AK7078-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	991.0	212.0	172.0	61.0	63.0	22.0	13.0	13.0	0.0	0.0	165.0	1221021.0
SdA01025_CKDL210020579-1a-AK7078-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1258.0	299.0	211.0	99.0	68.0	21.0	43.0	15.0	0.0	0.0	249.0	3768756.0
SdA01025_CKDL210020579-1a-AK7078-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1266.0	267.0	223.0	80.0	76.0	36.0	35.0	19.0	0.0	0.0	261.0	3768756.0
SdA01026_CKDL210020579-1a-AK9143-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	723.0	166.0	136.0	49.0	43.0	29.0	16.0	9.0	0.0	0.0	91.0	1575188.0
SdA01026_CKDL210020579-1a-AK9143-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	620.0	145.0	116.0	47.0	35.0	25.0	14.0	14.0	0.0	0.0	88.0	1575346.0
SdA01027_CKDL210020579-1a-AK9143-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	826.0	163.0	142.0	50.0	42.0	27.0	14.0	9.0	0.0	2.0	255.0	2183110.0
SdA01027_CKDL210020579-1a-AK9143-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	752.0	182.0	135.0	48.0	36.0	16.0	18.0	8.0	0.0	0.0	116.0	2183329.0
SdA01028_CKDL210020579-1a-AK9143-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	226.0	50.0	43.0	24.0	17.0	12.0	8.0	5.0	0.0	0.0	57.0	550810.0
SdA01028_CKDL210020579-1a-AK9143-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	219.0	69.0	42.0	21.0	11.0	12.0	7.0	5.0	0.0	0.0	56.0	550810.0
SdA01029_CKDL210020579-1a-AK9143-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1257.0	257.0	245.0	99.0	81.0	40.0	27.0	20.0	1.0	0.0	401.0	3031496.0
SdA01029_CKDL210020579-1a-AK9143-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1153.0	234.0	211.0	104.0	69.0	38.0	29.0	20.0	0.0	0.0	266.0	3031800.0
SdA01030_CKDL210020579-1a-AK9143-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	924.0	232.0	144.0	82.0	58.0	31.0	17.0	21.0	0.0	1.0	257.0	2521634.0
SdA01030_CKDL210020579-1a-AK9143-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	813.0	206.0	158.0	62.0	35.0	34.0	11.0	6.0	0.0	0.0	190.0	2521886.0
SdA01031_CKDL210020579-1a-AK9143-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	786.0	158.0	117.0	46.0	37.0	17.0	10.0	11.0	1.0	0.0	201.0	2765921.0
SdA01031_CKDL210020579-1a-AK9143-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	812.0	154.0	120.0	50.0	32.0	23.0	7.0	11.0	0.0	0.0	175.0	2765921.0
SdA01032_CKDL210020579-1a-AK9143-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	261.0	62.0	71.0	30.0	16.0	18.0	16.0	5.0	0.0	0.0	77.0	925004.0
SdA01032_CKDL210020579-1a-AK9143-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	231.0	58.0	50.0	30.0	18.0	12.0	8.0	5.0	0.0	0.0	51.0	925097.0
