Sequence Name	Extraction_ID
SgA0103511C	Sgr-AMvi_035_Ex1-cssl
SgA0104307D	Sgr-AMvi_043_Ex1-cssl
SgA0104610D	Sgr-AMvi_046_Ex1-cssl
SgA0105406E	Sgr-AMvi_054_Ex1-cssl
SgA0104711D	Sgr-AMvi_047_Ex1-cssl
SgA0104408D	Sgr-AMvi_044_Ex1-cssl
SgA0104812D	Sgr-AMvi_048_Ex1-cssl
SgA0104206D	Sgr-AMvi_042_Ex1-cssl
SgA0103903D	Sgr-AMvi_039_Ex1-cssl
SgA0106909F	Sgr-AMvi_069_Ex1-cssl
SgA0103802D	Sgr-AMvi_038_Ex1-cssl
SgA0101402B	Sgr-AMvi_014_Ex1-cssl
SgA0107907G	Sgr-AMvi_079_Ex1-cssl
SgA0108501H	Sgr-AMvi_085_Ex1-cssl
SgA0100303A	Sgr-AMvi_003_Ex1-cssl
SgA0100606A	Sgr-AMvi_006_Ex1-cssl
SgA0106606F	Sgr-AMvi_066_Ex1-cssl
SgA0102311B	Sgr-AMvi_023_Ex1-cssl
SgA0108602H	Sgr-AMvi_086_Ex1-cssl
SgA0108703H	Sgr-AMvi_087_Ex1-cssl
SgA0102905C	Sgr-AMvi_029_Ex1-cssl
SgA0103701D	Sgr-AMvi_037_Ex1-cssl
SgA0104105D	Sgr-AMvi_041_Ex1-cssl
SgA0107301G	Sgr-AMvi_073_Ex1-cssl
SgA0105305E	Sgr-AMvi_053_Ex1-cssl
SgA0103612C	Sgr-AMvi_036_Ex1-cssl
SgA0104509D	Sgr-AMvi_045_Ex1-cssl
SgA0106202F	Sgr-AMvi_062_Ex1-cssl
SgA0106808F	Sgr-AMvi_068_Ex1-cssl
SgA0107503G	Sgr-AMvi_075_Ex1-cssl
SgA0101806B	Sgr-AMvi_018_Ex1-cssl
SgA0100505A	Sgr-AMvi_005_Ex1-cssl
SgA0105204E	Sgr-AMvi_052_Ex1-cssl
SgA0102210B	Sgr-AMvi_022_Ex1-cssl
SgA0103208C	Sgr-AMvi_032_Ex1-cssl
SgA0107402G	Sgr-AMvi_074_Ex1-cssl
SgA0109309H	Sgr-AMvi_093_Ex1-cssl
SgA0108210G	Sgr-AMvi_082_Ex1-cssl
SgA0106303F	Sgr-AMvi_063_Ex1-cssl
SgA0103410C	Sgr-AMvi_034_Ex1-cssl
SgA0101301B	Sgr-AMvi_013_Ex1-cssl
