Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Tbi-ARos_001_Ex1b-7D-cssl-2-2.clmp.fp2_r1_screen	38077.0	8027.0	5306.0	2618.0	3183.0	972.0	469.0	234.0	12.0	0.0	306028.0	2393391.0
Tbi-ARos_001_Ex1b-7D-cssl-2-2.clmp.fp2_r2_screen	38737.0	7770.0	5156.0	2753.0	3023.0	963.0	478.0	205.0	16.0	1.0	304169.0	2395046.0
Tbi-ARos_002_Ex1b-7E-cssl-1-2.clmp.fp2_r1_screen	53020.0	5978.0	10558.0	4138.0	5110.0	1379.0	721.0	284.0	14.0	8.0	406557.0	3267175.0
Tbi-ARos_002_Ex1b-7E-cssl-1-2.clmp.fp2_r2_screen	53814.0	5878.0	10355.0	4144.0	4731.0	1302.0	672.0	280.0	10.0	0.0	402451.0	3271305.0
Tbi-ARos_003_Ex1b-7F-cssl-1-2.clmp.fp2_r1_screen	25002.0	4257.0	5890.0	2301.0	2960.0	748.0	396.0	186.0	8.0	0.0	175230.0	1668146.0
Tbi-ARos_003_Ex1b-7F-cssl-1-2.clmp.fp2_r2_screen	25204.0	4103.0	5912.0	2253.0	2877.0	736.0	340.0	185.0	10.0	0.0	175358.0	1668146.0
Tbi-ARos_004_Ex1b-7G-cssl-2-2.clmp.fp2_r1_screen	15946.0	4034.0	2875.0	1327.0	2202.0	358.0	194.0	127.0	7.0	0.0	121277.0	960369.0
Tbi-ARos_004_Ex1b-7G-cssl-2-2.clmp.fp2_r2_screen	16224.0	4097.0	2842.0	1212.0	2082.0	377.0	189.0	104.0	3.0	0.0	119886.0	961700.0
Tbi-ARos_005_Ex1b-7H-cssl-1-2.clmp.fp2_r1_screen	50866.0	12229.0	9361.0	4681.0	5433.0	1456.0	782.0	528.0	19.0	0.0	342430.0	3858634.0
Tbi-ARos_005_Ex1b-7H-cssl-1-2.clmp.fp2_r2_screen	51877.0	12139.0	9465.0	4537.0	5114.0	1310.0	700.0	501.0	8.0	1.0	340419.0	3860348.0
Tbi-ARos_006_Ex1b-8A-cssl-2-2.clmp.fp2_r1_screen	23607.0	3814.0	4531.0	2122.0	2689.0	574.0	340.0	153.0	20.0	0.0	155224.0	1549466.0
Tbi-ARos_006_Ex1b-8A-cssl-2-2.clmp.fp2_r2_screen	23470.0	3963.0	4429.0	2078.0	2667.0	567.0	272.0	193.0	12.0	0.0	154726.0	1550163.0
Tbi-ARos_007_Ex1b-8B-cssl-2-2.clmp.fp2_r1_screen	16932.0	1267.0	2227.0	1339.0	1919.0	277.0	202.0	166.0	24.0	0.0	111584.0	1055440.0
Tbi-ARos_007_Ex1b-8B-cssl-2-2.clmp.fp2_r2_screen	17299.0	1254.0	2240.0	1370.0	1943.0	274.0	195.0	157.0	1.0	0.0	111799.0	1054845.0
Tbi-ARos_008_Ex1b-8C-cssl-1-2.clmp.fp2_r1_screen	25479.0	3771.0	4135.0	2190.0	3175.0	694.0	392.0	158.0	14.0	0.0	189208.0	1777921.0
Tbi-ARos_008_Ex1b-8C-cssl-1-2.clmp.fp2_r2_screen	25975.0	3633.0	3867.0	2175.0	3032.0	745.0	353.0	146.0	10.0	0.0	188276.0	1778925.0
Tbi-ARos_009_Ex1b-8D-cssl-2-2.clmp.fp2_r1_screen	16648.0	622.0	2019.0	1260.0	2177.0	365.0	170.0	74.0	7.0	0.0	134719.0	1065314.0
Tbi-ARos_009_Ex1b-8D-cssl-2-2.clmp.fp2_r2_screen	16856.0	616.0	1897.0	1187.0	2043.0	350.0	175.0	90.0	7.0	1.0	133982.0	1066171.0
Tbi-ARos_010_Ex1b-8E-cssl-2-2.clmp.fp2_r1_screen	10111.0	2837.0	3003.0	715.0	1391.0	246.0	122.0	45.0	6.0	0.0	81182.0	668122.0
