"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0675459275516695,0.0338115956761498,0.00749927314599448,0.0495613784545357,0.467823430319552,-5360.93045773293
"Std.",0.000328495850413257,0.00412147002486674,0.00405975054699168,0.0242675036128088,0.00293121456884043,1.62934794784952
"Acceptance ratio",0.20508,0.23206,0.17316,0.16742,0.27444,0.6918
"0%",0.0661082512262254,0.0245329710774141,3.53664158232519e-06,0.0129149665903532,0.451931760755134,-5374.65744586746
"2.5%",0.0669032917391502,0.0269244643957332,0.00039823215352904,0.0205221107085456,0.462043969016174,-5364.94902640773
"5%",0.0670072504575421,0.0275429501334094,0.000733825299413614,0.0230194866400251,0.463053198009841,-5364.0244384938
"7.5%",0.0670796421134286,0.0280409441268508,0.00112429252183445,0.0246333582489681,0.463665868767422,-5363.48035340476
"10%",0.0671287916317351,0.0284695545988663,0.00153136875940095,0.0260383356451622,0.464157529261286,-5363.10124840006
"12.5%",0.0671769405193552,0.028865822066028,0.00201209890514456,0.0270570668461087,0.464517717701108,-5362.76558771027
"15%",0.067210429747797,0.0292428453773396,0.00243106933698922,0.0281012856108984,0.464828646523223,-5362.50290680505
"17.5%",0.0672510634310389,0.0295706159874261,0.00289104006357727,0.0288736447838289,0.46512718654268,-5362.28390676329
"20%",0.0672793308911643,0.0298737152215409,0.00342910085671143,0.0298505522107666,0.465382479803832,-5362.0802151731
"22.5%",0.0673070274279431,0.0301951175915404,0.00394386397678878,0.0307495764169094,0.465657515764507,-5361.89587516773
"25%",0.0673323475051125,0.030510178394154,0.00441694655157175,0.0318557201989947,0.465881065793879,-5361.73410698347
"27.5%",0.0673560952275572,0.0307786238452635,0.00479952787274255,0.0329253888180407,0.466071622879085,-5361.59269763822
"30%",0.0673813139224071,0.0311714964266344,0.00513588940575433,0.0340012202562965,0.466292725834464,-5361.45992720851
"32.5%",0.0674037539316664,0.0314954563255864,0.0054458002178513,0.0351632513140679,0.466479256707616,-5361.3320176561
"35%",0.0674240108906356,0.0318053766811308,0.00576697625773581,0.0360914480930963,0.466687098291384,-5361.20913697609
"37.5%",0.0674429012568659,0.0320711002048351,0.00614755865903061,0.0372326627527563,0.466890685164968,-5361.09359073076
"40%",0.067459858864516,0.0323435316707633,0.00644405446025908,0.038336058566854,0.467064749994078,-5360.98513955538
"42.5%",0.0674807507034437,0.0325984308827991,0.0067802090928718,0.0394629036490932,0.467256484061014,-5360.88329752178
"45%",0.0675009626385473,0.0328468960074067,0.00709599032228417,0.0408239783606171,0.467456317022986,-5360.78175366243
"47.5%",0.0675197384414638,0.0331096635938236,0.00744024693110556,0.042053627097823,0.467614127087352,-5360.68039208001
"50%",0.0675423265891114,0.0333882400936111,0.00775983942794503,0.0432058633397214,0.467790462687119,-5360.5875217352
"52.5%",0.0675627242693889,0.0337506669886103,0.00807816669150588,0.0445493963729604,0.467970175825826,-5360.50264264516
"55%",0.0675818737773349,0.0340450243744568,0.00840077148942819,0.0458567836679098,0.468156259480064,-5360.41210612715
"57.5%",0.0676017781750775,0.0344134327686225,0.00863916436294166,0.0474200478313885,0.468340221582679,-5360.3242480759
"60%",0.0676225797720324,0.0348015302169936,0.00892592252275873,0.048786428543579,0.468536361944855,-5360.24185645102
"62.5%",0.0676468680501213,0.0351357853694523,0.00919493685544985,0.0505523013125474,0.468722082773125,-5360.15154569555
"65%",0.0676707772127593,0.0354734147280079,0.00947173462609742,0.0523714869241668,0.468907535007901,-5360.0713584977
"67.5%",0.0676932179602344,0.0358835822165966,0.00973093614054065,0.054153051430629,0.469110507730025,-5359.9927385287
"70%",0.0677157452412455,0.0362138022065656,0.0100527501494749,0.0560543452096124,0.469307815435056,-5359.91238142498
"72.5%",0.0677383744821366,0.0366120950309963,0.0103103526389577,0.0583207617671201,0.469530497067494,-5359.83311756521
"75%",0.0677624415821505,0.037040653576652,0.0106046641018256,0.0605223772396389,0.469781603734689,-5359.75098164503
"77.5%",0.0677885662527078,0.0374391768339912,0.0109172989448492,0.0631138011996906,0.470005874049373,-5359.6645534762
"80%",0.0678173387334766,0.0378120700996661,0.0112349798405188,0.0664713484416978,0.470259490357201,-5359.57533754526
"82.5%",0.0678499395865729,0.0382930844903852,0.011590082839073,0.0698433146237485,0.470517533053334,-5359.48647592767
"85%",0.0678807515471603,0.0388099361595511,0.0119082990613089,0.0733437372313615,0.470811593143242,-5359.40151499118
"87.5%",0.067924432853195,0.0392595770251443,0.0122528753196841,0.0776451062495111,0.471167274366002,-5359.30660114014
"90%",0.0679670443593411,0.0396750890685676,0.0126485871414191,0.0825759171519408,0.471533485167448,-5359.2077141925
"92.5%",0.0680167576261342,0.0402050732509473,0.0132056092662999,0.0887233055372349,0.472027170642364,-5359.10026471121
"95%",0.0680838628289998,0.0407923344634744,0.0139581648126922,0.0981110538865107,0.472682632263093,-5358.97417347978
"97.5%",0.0681959918689198,0.0415990082306304,0.0147724165197368,0.111693041229054,0.473645617551577,-5358.81081996767
"100%",0.0689057874845222,0.0444702310957723,0.0210643553324109,0.228788243472246,0.479662254273603,-5358.36746207557
