Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Leq-ABas_001_Ex1-1A-cssl-1-2.clmp.fp2_r1_screen	16908.0	17755.0	3433.0	1397.0	3096.0	414.0	201.0	124.0	3.0	0.0	144164.0	1242671.0
Leq-ABas_001_Ex1-1A-cssl-1-2.clmp.fp2_r2_screen	16892.0	17807.0	3483.0	1427.0	2929.0	437.0	195.0	116.0	5.0	0.0	142631.0	1244244.0
Leq-ABas_002_Ex1-1D-cssl-1-2.clmp.fp2_r1_screen	9763.0	47385.0	36166.0	3398.0	7562.0	1382.0	613.0	277.0	12.0	0.0	396360.0	3353810.0
Leq-ABas_002_Ex1-1D-cssl-1-2.clmp.fp2_r2_screen	9733.0	48400.0	36113.0	3284.0	7319.0	1327.0	549.0	320.0	10.0	0.0	392392.0	3357281.0
Leq-ABas_003_Ex1-1G-cssl-1-2.clmp.fp2_r1_screen	7655.0	6746.0	4024.0	646.0	756.0	178.0	75.0	70.0	1.0	0.0	54935.0	491596.0
Leq-ABas_003_Ex1-1G-cssl-1-2.clmp.fp2_r2_screen	7696.0	6935.0	3991.0	626.0	684.0	173.0	90.0	69.0	2.0	0.0	54423.0	491993.0
Leq-ABas_004_Ex1-2C-cssl-1-2.clmp.fp2_r1_screen	20894.0	11787.0	10797.0	903.0	1792.0	318.0	140.0	94.0	6.0	0.0	111069.0	781482.0
Leq-ABas_004_Ex1-2C-cssl-1-2.clmp.fp2_r2_screen	21132.0	11939.0	10874.0	912.0	1704.0	299.0	123.0	122.0	3.0	0.0	110504.0	781670.0
Leq-ABas_005_Ex1-2H-cssl-1-2.clmp.fp2_r1_screen	13824.0	21097.0	10143.0	1875.0	3655.0	542.0	243.0	203.0	4.0	0.0	167816.0	1432715.0
Leq-ABas_005_Ex1-2H-cssl-1-2.clmp.fp2_r2_screen	13644.0	21283.0	10093.0	1753.0	3623.0	503.0	232.0	199.0	6.0	1.0	167404.0	1433376.0
Leq-ABas_006_Ex1-3E3E-cssl-1and2-2.clmp.fp2_r1_screen	27842.0	34660.0	29175.0	2670.0	3346.0	920.0	397.0	221.0	7.0	0.0	272502.0	2283540.0
Leq-ABas_006_Ex1-3E3E-cssl-1and2-2.clmp.fp2_r2_screen	27808.0	34572.0	29243.0	2680.0	3165.0	844.0	369.0	226.0	13.0	1.0	269898.0	2286461.0
Leq-ABas_008_Ex1-4G-cssl-1-2.clmp.fp2_r1_screen	8379.0	19053.0	25238.0	1530.0	3249.0	529.0	226.0	124.0	2.0	0.0	154392.0	1440126.0
Leq-ABas_008_Ex1-4G-cssl-1-2.clmp.fp2_r2_screen	8421.0	19103.0	25263.0	1467.0	3162.0	488.0	223.0	150.0	3.0	0.0	153616.0	1440952.0
Leq-ABas_009_Ex1-5D5D-cssl-1and2-2.clmp.fp2_r2_screen	13797.0	28682.0	6427.0	2070.0	3272.0	703.0	340.0	201.0	8.0	0.0	209785.0	1962122.0
Leq-ABas_010_Ex1-5H-cssl-1-2.clmp.fp2_r1_screen	5589.0	8200.0	8661.0	655.0	1220.0	200.0	91.0	74.0	2.0	0.0	66273.0	532080.0
Leq-ABas_010_Ex1-5H-cssl-1-2.clmp.fp2_r2_screen	5498.0	8256.0	8833.0	642.0	1147.0	169.0	95.0	69.0	1.0	0.0	66068.0	532267.0
Leq-ABas_011_Ex1-6E6E-cssl-1and2-2.clmp.fp2_r1_screen	13361.0	26543.0	22622.0	2065.0	2557.0	695.0	306.0	208.0	7.0	0.0	187409.0	1888172.0
Leq-ABas_011_Ex1-6E6E-cssl-1and2-2.clmp.fp2_r2_screen	13339.0	26932.0	22739.0	2101.0	2590.0	656.0	302.0	239.0	6.0	0.0	187298.0	1887743.0
Leq-ABas_012_Ex1-7A-cssl-2-2.clmp.fp2_r1_screen	20914.0	23120.0	79077.0	2117.0	2208.0	503.0	257.0	189.0	12.0	0.0	214637.0	1425182.0
Leq-ABas_012_Ex1-7A-cssl-2-2.clmp.fp2_r2_screen	21018.0	23155.0	79347.0	2025.0	2205.0	516.0	248.0	175.0	0.0	0.0	212577.0	1426950.0
Leq-ABas_013_Ex1-1B-cssl-2-2.clmp.fp2_r1_screen	13971.0	7817.0	2608.0	877.0	348.0	113.0	76.0	68.0	2.0	0.0	46827.0	469877.0
Leq-ABas_013_Ex1-1B-cssl-2-2.clmp.fp2_r2_screen	13953.0	7749.0	2556.0	859.0	323.0	130.0	79.0	49.0	1.0	0.0	46845.0	470040.0
Leq-ABas_013_Ex1-1B1B-cssl-1and2-2.clmp.fp2_r1_screen	4518.0	3344.0	1226.0	446.0	478.0	94.0	40.0	25.0	0.0	0.0	34628.0	196181.0
Leq-ABas_013_Ex1-1B1B-cssl-1and2-2.clmp.fp2_r2_screen	4490.0	3394.0	1253.0	442.0	453.0	86.0	30.0	24.0	1.0	0.0	34457.0	196350.0
Leq-ABas_014_Ex1-1E1E-cssl-1and2-2.clmp.fp2_r1_screen	22196.0	57814.0	32905.0	6779.0	6088.0	1409.0	510.0	314.0	11.0	0.0	438652.0	3624727.0
Leq-ABas_014_Ex1-1E1E-cssl-1and2-2.clmp.fp2_r2_screen	22040.0	57778.0	32748.0	6590.0	6139.0	1313.0	593.0	323.0	6.0	0.0	436634.0	3627241.0
Leq-ABas_015_Ex1-1H1H-cssl-1and2-2.clmp.fp2_r1_screen	23317.0	4527.0	9212.0	465.0	331.0	92.0	32.0	74.0	1.0	0.0	39072.0	302791.0
Leq-ABas_015_Ex1-1H1H-cssl-1and2-2.clmp.fp2_r2_screen	23261.0	4551.0	9171.0	485.0	312.0	82.0	49.0	78.0	2.0	0.0	38714.0	303209.0
Leq-ABas_016_Ex1-2D-cssl-1-2.clmp.fp2_r1_screen	51566.0	45918.0	13198.0	3470.0	4236.0	1236.0	500.0	414.0	15.0	0.0	371170.0	2968672.0
Leq-ABas_016_Ex1-2D-cssl-1-2.clmp.fp2_r2_screen	51807.0	46168.0	12989.0	3378.0	4150.0	1138.0	517.0	396.0	11.0	0.0	369092.0	2970749.0
Leq-ABas_017_Ex1-3A3A-cssl-1and2-2.clmp.fp2_r1_screen	36393.0	21164.0	10666.0	1627.0	2851.0	532.0	240.0	233.0	7.0	0.0	202556.0	1256853.0
Leq-ABas_017_Ex1-3A3A-cssl-1and2-2.clmp.fp2_r2_screen	36105.0	21568.0	10569.0	1542.0	2740.0	534.0	258.0	215.0	6.0	0.0	200126.0	1259459.0
Leq-ABas_018_Ex1-3F3F-cssl-1and2-2.clmp.fp2_r1_screen	28562.0	14382.0	38441.0	2077.0	1617.0	298.0	126.0	267.0	5.0	0.0	124365.0	907623.0
Leq-ABas_018_Ex1-3F3F-cssl-1and2-2.clmp.fp2_r2_screen	28364.0	14301.0	38514.0	2088.0	1576.0	292.0	155.0	235.0	2.0	0.0	123831.0	908405.0
Leq-ABas_019_Ex1-4C4C-cssl-1and2-2.clmp.fp2_r1_screen	19302.0	19282.0	12111.0	1412.0	2801.0	468.0	199.0	282.0	5.0	0.0	151659.0	1312779.0
Leq-ABas_019_Ex1-4C4C-cssl-1and2-2.clmp.fp2_r2_screen	19248.0	19289.0	12210.0	1443.0	2757.0	454.0	192.0	238.0	0.0	0.0	150930.0	1313539.0
Leq-ABas_020_Ex1-4H-cssl-1-2.clmp.fp2_r1_screen	8403.0	2658.0	2716.0	398.0	354.0	56.0	26.0	87.0	1.0	0.0	21463.0	180375.0
