all	0	1468325	1600000	0.9177032
all	1	47439	1600000	0.0296494
all	2	72727	1600000	0.0454544
all	3	6002	1600000	0.0037512
all	4	3860	1600000	0.0024125
all	5	514	1600000	0.0003213
all	6	413	1600000	0.0002581
all	7	124	1600000	0.0000775
all	8	138	1600000	0.0000863
all	9	66	1600000	0.0000413
all	10	63	1600000	0.0000394
all	12	10	1600000	0.0000062
all	13	12	1600000	0.0000075
all	14	6	1600000	0.0000037
all	15	26	1600000	0.0000163
all	16	43	1600000	0.0000269
all	17	14	1600000	0.0000088
all	18	3	1600000	0.0000019
all	19	9	1600000	0.0000056
all	20	2	1600000	0.0000012
all	21	40	1600000	0.0000250
all	22	28	1600000	0.0000175
all	23	20	1600000	0.0000125
all	24	15	1600000	0.0000094
all	25	14	1600000	0.0000088
all	26	5	1600000	0.0000031
all	27	12	1600000	0.0000075
all	28	16	1600000	0.0000100
all	29	33	1600000	0.0000206
all	30	21	1600000	0.0000131
