Sample	Unique Reads	Duplicate Reads
Leq-ABas_001_Ex1_L3_1	6000115.0	3546467.0
Leq-ABas_001_Ex1_L3_2	6040961.0	3505621.0
Leq-ABas_002_Ex1_L3_1	3951925.0	4540604.0
Leq-ABas_002_Ex1_L3_2	4019770.0	4472759.0
Leq-ABas_003_Ex1_L3_1	8269694.0	6511065.0
Leq-ABas_003_Ex1_L3_2	8531095.0	6249664.0
Leq-ABas_004_Ex1_L3_1	8267844.0	4629218.0
Leq-ABas_004_Ex1_L3_2	8292312.0	4604750.0
Leq-ABas_005_Ex1_L3_1	6359659.0	3754150.0
Leq-ABas_005_Ex1_L3_2	6392671.0	3721138.0
Leq-ABas_006_Ex1_L3_1	12085102.0	9826392.0
Leq-ABas_006_Ex1_L3_2	12248948.0	9662546.0
Leq-ABas_007_Ex1_L3_1	284349.0	69265.0
Leq-ABas_007_Ex1_L3_2	286125.0	67489.0
Leq-ABas_008_Ex1_L3_1	5948800.0	3623953.0
Leq-ABas_008_Ex1_L3_2	5979300.0	3593453.0
Leq-ABas_009_Ex1_L3_1	19355234.0	12601214.0
Leq-ABas_009_Ex1_L3_2	19487163.0	12469285.0
Leq-ABas_010_Ex1_L3_1	6404664.0	3090991.0
Leq-ABas_010_Ex1_L3_2	6423080.0	3072575.0
Leq-ABas_011_Ex1_L3_1	12533445.0	6608625.0
Leq-ABas_011_Ex1_L3_2	12591198.0	6550872.0
Leq-ABas_012_Ex1_L3_1	27200601.0	18169953.0
Leq-ABas_012_Ex1_L3_2	27450927.0	17919627.0
Leq-ABas_013_Ex1-1_L3_1	1204429.0	733278.0
Leq-ABas_013_Ex1-1_L3_2	1234828.0	702879.0
Leq-ABas_013_Ex1-2_L3_1	15671985.0	12349653.0
Leq-ABas_013_Ex1-2_L3_2	15950422.0	12071216.0
Leq-ABas_014_Ex1_L3_1	11590995.0	8270160.0
Leq-ABas_014_Ex1_L3_2	11686183.0	8174972.0
Leq-ABas_015_Ex1_L3_1	7602692.0	5174749.0
Leq-ABas_015_Ex1_L3_2	7705380.0	5072061.0
Leq-ABas_016_Ex1_L3_1	10990972.0	7466463.0
Leq-ABas_016_Ex1_L3_2	10991201.0	7466234.0
Leq-ABas_017_Ex1_L3_1	8331861.0	4949553.0
Leq-ABas_017_Ex1_L3_2	8348378.0	4933036.0
Leq-ABas_018_Ex1_L3_1	14177695.0	11562908.0
Leq-ABas_018_Ex1_L3_2	14328862.0	11411741.0
Leq-ABas_019_Ex1_L3_1	10274486.0	5489238.0
Leq-ABas_019_Ex1_L3_2	10296678.0	5467046.0
Leq-ABas_020_Ex1_L3_1	4073957.0	1989170.0
Leq-ABas_020_Ex1_L3_2	4080594.0	1982533.0
Leq-ABas_021_Ex1_L3_1	14611475.0	9398326.0
Leq-ABas_021_Ex1_L3_2	14687876.0	9321925.0
Leq-ABas_022_Ex1_L3_1	11434820.0	6707944.0
Leq-ABas_022_Ex1_L3_2	11484444.0	6658320.0
Leq-ABas_023_Ex1_L3_1	19132619.0	15740579.0
Leq-ABas_023_Ex1_L3_2	19389642.0	15483556.0
Leq-ABas_025_Ex1_L3_1	16239187.0	10305275.0
Leq-ABas_025_Ex1_L3_2	16324630.0	10219832.0
Leq-ABas_026_Ex1_L3_1	12625799.0	9533688.0
Leq-ABas_026_Ex1_L3_2	12708043.0	9451444.0
Leq-ABas_027_Ex1_L3_1	7231770.0	4421563.0
Leq-ABas_027_Ex1_L3_2	7246087.0	4407246.0
Leq-ABas_028_Ex1_L3_1	7108773.0	4118307.0
Leq-ABas_028_Ex1_L3_2	7159432.0	4067648.0
Leq-ABas_029_Ex1_L3_1	12616491.0	10011190.0
Leq-ABas_029_Ex1_L3_2	12662078.0	9965603.0
Leq-ABas_030_Ex1_L3_1	10262566.0	6026313.0
Leq-ABas_030_Ex1_L3_2	10319424.0	5969455.0
