Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Leq-ABas_001_Ex1_L3_1	Leq-ABas_001_Ex1_L3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9546582.0	0.0	150.0	49.0	62.85092338173391	150.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
Leq-ABas_001_Ex1_L3_2	Leq-ABas_001_Ex1_L3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9546582.0	0.0	150.0	49.0	63.27877480266893	150.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
Leq-ABas_002_Ex1_L3_1	Leq-ABas_002_Ex1_L3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8492529.0	0.0	150.0	48.0	46.534132387848494	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Leq-ABas_002_Ex1_L3_2	Leq-ABas_002_Ex1_L3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8492529.0	0.0	150.0	48.0	47.333008853162745	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Leq-ABas_003_Ex1_L3_1	Leq-ABas_003_Ex1_L3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14780759.0	0.0	150.0	46.0	55.949046988195285	150.0	pass	pass	pass	pass	pass	warn	pass	pass	warn	warn	fail
Leq-ABas_003_Ex1_L3_2	Leq-ABas_003_Ex1_L3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14780759.0	0.0	150.0	46.0	57.71756813872515	150.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	fail
Leq-ABas_004_Ex1_L3_1	Leq-ABas_004_Ex1_L3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12897062.0	0.0	150.0	48.0	64.1064078581898	150.0	pass	pass	pass	pass	pass	fail	pass	pass	warn	warn	fail
Leq-ABas_004_Ex1_L3_2	Leq-ABas_004_Ex1_L3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12897062.0	0.0	150.0	48.0	64.29613025904672	150.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
Leq-ABas_005_Ex1_L3_1	Leq-ABas_005_Ex1_L3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10113809.0	0.0	150.0	49.0	62.8809429950411	150.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
Leq-ABas_005_Ex1_L3_2	Leq-ABas_005_Ex1_L3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10113809.0	0.0	150.0	49.0	63.20735122189812	150.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
Leq-ABas_006_Ex1_L3_1	Leq-ABas_006_Ex1_L3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21911494.0	0.0	150.0	50.0	55.15416376161677	150.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	fail
Leq-ABas_006_Ex1_L3_2	Leq-ABas_006_Ex1_L3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21911494.0	0.0	150.0	50.0	55.901927706636236	150.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	fail
