pos	3pG>A
1	0.0238420899656346
2	0.036921885925482
3	0.0215475334995984
4	0.0245629375592639
5	0.0241442959990979
6	0.0339886473764364
7	0.0366039505304496
8	0.0309552050193435
9	0.031388432530323
10	0.0340298219950758
11	0.0267516264624776
12	0.0266449099905253
13	0.0284009586726761
14	0.0293425308638491
15	0.0287067973315752
16	0.0299920230993068
17	0.0289155264050662
18	0.027893994925289
19	0.0284009627829878
20	0.0298647993414747
21	0.0301443819528194
22	0.0297862311967949
23	0.0306754092347196
24	0.0300650069711801
25	0.0307444571153505
