Sample	Passed Filter	Low Quality	Too Many N	Too short
Tbi-CJos_048_Ex1_L4_fastp	56638622.0	925500.0	9644.0	194992.0
Tbi-CJos_052_Ex1_L4_fastp	57187064.0	846234.0	9802.0	135022.0
Tbi-CJos_053_Ex1_L4_fastp	56082962.0	1022490.0	9662.0	240628.0
Tbi-CJos_055_Ex1_L4_fastp	65544942.0	832186.0	11456.0	120174.0
Tbi-CJos_056_Ex1_L4_fastp	40950236.0	607302.0	7090.0	126492.0
Tbi-CJos_057_Ex1_L4_fastp	76740608.0	1046172.0	13028.0	153952.0
Tbi-CJos_059_Ex1_L4_fastp	61750436.0	832446.0	10578.0	97172.0
Tbi-CJos_060_Ex1_L4_fastp	44635532.0	766052.0	7742.0	215684.0
Tbi-CJos_067_Ex1_L4_fastp	42457970.0	458700.0	7254.0	53498.0
Tbi-CJos_068_Ex1_L4_fastp	50948542.0	674834.0	8988.0	111890.0
Tbi-CJos_070_Ex1_L4_fastp	21474158.0	285358.0	3542.0	34224.0
Tbi-CJos_071_Ex1_L4_fastp	64114920.0	856920.0	11054.0	124174.0
Tbi-CJos_072_Ex1_L4_fastp	1554634.0	26144.0	284.0	6242.0
Tbi-CJos_073_Ex1_L4_fastp	33426008.0	478156.0	5820.0	57908.0
Tbi-CJos_080_Ex1_L4_fastp	65225668.0	853358.0	11300.0	135792.0
Tbi-CJos_081_Ex1_L4_fastp	94344858.0	1441112.0	16286.0	242200.0
Tbi-CJos_085_Ex1_L4_fastp	54394654.0	656614.0	9370.0	83448.0
Tbi-CJos_086_Ex1_L4_fastp	57733526.0	808160.0	9856.0	129522.0
Tbi-CJos_087_Ex1_L4_fastp	73926246.0	930584.0	12750.0	115134.0
Tbi-CJos_091_Ex1_L4_fastp	35416750.0	582888.0	6298.0	128280.0
Tbi-CJos_092_Ex1_L4_fastp	70401012.0	925010.0	12030.0	111176.0
Tbi-CJos_093_Ex1_L4_fastp	78811194.0	1224472.0	13584.0	275714.0
Tbi-CJos_095_Ex1_L4_fastp	37277680.0	430666.0	6448.0	61102.0
