Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Tbi-ARos_001_Ex1b_L4_fastp	90.567	0.947994	987333812.0	0.436749	98.12013619130995	65.35729218971957					
Tbi-ARos_001_Ex1b_L4_r1							90.16416381982721	43.0	123.80833260010891	9.090909090909092	4205170.0
Tbi-ARos_001_Ex1b_L4_r2							89.90546667840405	43.0	123.79586223624729	9.090909090909092	4205170.0
Tbi-ARos_002_Ex1b_L4_fastp	90.202	0.948396	1667971409.0	0.397371	97.10598281562291	71.42845385437374					
Tbi-ARos_002_Ex1b_L4_r1							88.97510655750676	39.0	121.16429950539055	9.090909090909092	7256230.0
Tbi-ARos_002_Ex1b_L4_r2							88.77000414190982	39.0	121.13730160152035	9.090909090909092	7256230.0
Tbi-ARos_003_Ex1b_L4_fastp	91.5671	0.948723	1433990114.0	0.383641	98.76460960383791	67.00558945000469					
Tbi-ARos_003_Ex1b_L4_r1							90.68447425922231	38.0	124.55362755900371	9.090909090909092	6066228.0
Tbi-ARos_003_Ex1b_L4_r2							90.5048258627044	38.0	124.5398041418819	9.090909090909092	6066228.0
Tbi-ARos_004_Ex1b_L4_fastp	90.53290000000001	0.947485	736675921.0	0.449973	96.64833832228209	58.26684743822178					
Tbi-ARos_004_Ex1b_L4_r1							90.55508714810863	44.0	127.3349782372108	9.090909090909092	3052458.0
Tbi-ARos_004_Ex1b_L4_r2							90.36276944738567	45.0	127.29495573731072	9.090909090909092	3052458.0
Tbi-ARos_005_Ex1b_L4_fastp	90.5359	0.950226	3634608872.0	0.41163	98.46776930759815	70.7753683868782					
Tbi-ARos_005_Ex1b_L4_r1							87.53417928015307	41.0	121.93684057805574	9.090909090909092	15680495.0
Tbi-ARos_005_Ex1b_L4_r2							87.91268815319346	41.0	121.93082660974669	9.090909090909092	15680495.0
Tbi-ARos_006_Ex1b_L4_fastp	90.4877	0.945262	2161991135.0	0.421983	97.93101654169834	64.4795786418928					
Tbi-ARos_006_Ex1b_L4_r1							89.50647438682074	42.0	125.49855115639652	9.090909090909092	9110024.0
Tbi-ARos_006_Ex1b_L4_r2							88.36746796838474	42.0	125.48533670163766	9.090909090909092	9110024.0
Tbi-ARos_007_Ex1b_L4_fastp	90.2536	0.941651	1634690156.0	0.468911	97.99002215055646	47.8835558488017					
Tbi-ARos_007_Ex1b_L4_r1							90.06212039999969	46.0	132.49014789306358	9.090909090909092	6549462.0
Tbi-ARos_007_Ex1b_L4_r2							88.19543302355983	46.0	132.46152248841202	9.090909090909092	6549462.0
Tbi-ARos_008_Ex1b_L4_fastp	90.7882	0.943983	1337230473.0	0.37912	98.42467081869707	64.80455164011157					
Tbi-ARos_008_Ex1b_L4_r1							90.32055663265533	37.0	126.05010025533781	9.090909090909092	5617656.0
Tbi-ARos_008_Ex1b_L4_r2							89.5303751675378	37.0	126.03596998463416	9.090909090909092	5617656.0
Tbi-ARos_009_Ex1b_L4_fastp	91.2256	0.941782	694992650.0	0.473902	95.92860348740147	44.19330945200174					
Tbi-ARos_009_Ex1b_L4_r1							92.26356495152189	47.0	134.4076492792248	9.090909090909092	2744337.0
Tbi-ARos_009_Ex1b_L4_r2							91.40293700329148	47.0	134.3789917200402	9.090909090909092	2744337.0
Tbi-ARos_010_Ex1b_L4_fastp	90.30930000000001	0.941814	294826477.0	0.470976	97.11199948364367	48.90208920055459					
Tbi-ARos_010_Ex1b_L4_r1							91.3173458270198	47.0	131.66913200511857	9.090909090909092	1188613.0
Tbi-ARos_010_Ex1b_L4_r2							90.47978664777479	47.0	131.60483858076597	9.090909090909092	1188613.0
Tbi-ARos_011_Ex1b_L4_fastp	91.0652	0.939193	2874288335.0	0.473528	97.18568159765663	43.40487231330024					
Tbi-ARos_011_Ex1b_L4_r1							89.98851752406736	47.0	133.9139068302488	9.090909090909092	11423171.0
Tbi-ARos_011_Ex1b_L4_r2							87.63048294996236	47.0	133.87756875914752	9.090909090909092	11423171.0
Tbi-ARos_012_Ex1b_L4_fastp	90.33590000000001	0.941048	2130289451.0	0.441432	97.63619527410287	55.443919305229926					
Tbi-ARos_012_Ex1b_L4_r1							89.26748130688756	44.0	128.85458893477204	9.090909090909092	8781003.0
Tbi-ARos_012_Ex1b_L4_r2							87.86747270685672	44.0	128.84184688241194	9.090909090909092	8781003.0
Tbi-ARos_013_Ex1b_L4_fastp	90.41799999999999	0.950964	5698499065.0	0.419944	98.70111816690242	75.79514469779282					
Tbi-ARos_013_Ex1b_L4_r1							87.91178440615083	41.0	121.0581667016445	9.090909090909092	24744243.0
Tbi-ARos_013_Ex1b_L4_r2							87.97085471168617	42.0	121.0569890135657	9.090909090909092	24744243.0
Tbi-ARos_014_Ex1b_L4_fastp	88.8323	0.948036	1195115235.0	0.425387	96.67433491329595	68.05496943507784					
Tbi-ARos_014_Ex1b_L4_r1							87.96127674592663	42.0	120.75302989480882	9.090909090909092	5218498.0
Tbi-ARos_014_Ex1b_L4_r2							87.4463882202888	42.0	120.74967586458786	9.090909090909092	5218498.0
Tbi-ARos_015_Ex1b_L4_fastp	88.7633	0.944521	592560888.0	0.407497	95.62376083631186	63.53899109236668					
Tbi-ARos_015_Ex1b_L4_r1							89.05465468069002	40.0	123.79636081402616	9.090909090909092	2533039.0
Tbi-ARos_015_Ex1b_L4_r2							88.79105418601358	40.0	123.80034022373916	9.090909090909092	2533039.0
Tbi-ARos_016_Ex1b_L4_fastp	91.46	0.945138	1671029572.0	0.385961	98.70731151076713	58.31439714667953					
Tbi-ARos_016_Ex1b_L4_r1							90.72352516979569	38.0	129.47847843594823	9.090909090909092	6825503.0
Tbi-ARos_016_Ex1b_L4_r2							90.24871243870325	38.0	129.4587976886099	9.090909090909092	6825503.0
Tbi-ARos_017_Ex1b_L4_fastp	90.9874	0.946824	1013637467.0	0.436015	98.0968458508282	60.8622693689032					
Tbi-ARos_017_Ex1b_L4_r1							91.09581271335792	43.0	126.64659752955066	18.181818181818183	4225709.0
Tbi-ARos_017_Ex1b_L4_r2							90.93741463716466	43.0	126.62508871292368	18.181818181818183	4225709.0
Tbi-ARos_018_Ex1b_L4_fastp	90.4016	0.94499	658939469.0	0.44923	96.21923448416867	56.13935518439921					
Tbi-ARos_018_Ex1b_L4_r1							91.29951432890992	44.0	127.70440640286526	18.181818181818183	2729528.0
Tbi-ARos_018_Ex1b_L4_r2							91.00798583510243	44.0	127.67344463951277	18.181818181818183	2729528.0
Tbi-ARos_019_Ex1b_L4_fastp	91.49199999999999	0.942697	4375742925.0	0.433805	97.92083054788331	51.04375390982015					
Tbi-ARos_019_Ex1b_L4_r1							89.1974320422464	43.0	131.10989697192431	18.181818181818183	17697312.0
Tbi-ARos_019_Ex1b_L4_r2							88.62935601189453	43.0	131.07661643756973	18.181818181818183	17697312.0
Tbi-ARos_020_Ex1b_L4_fastp	89.67150000000001	0.948442	464502430.0	0.416586	98.06874196157852	70.48102496057173					
Tbi-ARos_020_Ex1b_L4_r1							90.04191362672975	41.0	121.0525168756027	18.181818181818183	2022150.0
Tbi-ARos_020_Ex1b_L4_r2							90.13660772058749	41.0	121.06274460351607	18.181818181818183	2022150.0
Tbi-ARos_021_Ex1b_L4_fastp	90.7253	0.949356	2005403931.0	0.43177	97.66329491283634	63.35841330956814					
Tbi-ARos_021_Ex1b_L4_r1							88.92490747813568	43.0	126.51594566420289	9.090909090909092	8346689.0
Tbi-ARos_021_Ex1b_L4_r2							88.45488806111806	43.0	126.48850100920257	9.090909090909092	8346689.0
Tbi-ARos_022_Ex1b_L4_fastp	89.8168	0.943844	716282095.0	0.390657	96.74911261557104	70.38969802236494					
Tbi-ARos_022_Ex1b_L4_r1							89.52918983839302	39.0	121.69168198544155	9.090909090909092	3117090.0
Tbi-ARos_022_Ex1b_L4_r2							89.619637212917	39.0	121.70005325479855	9.090909090909092	3117090.0
Tbi-ARos_023_Ex1b_L4_fastp	88.53659999999999	0.944459	1586164114.0	0.424761	95.85849715172411	73.45554648308746					
Tbi-ARos_023_Ex1b_L4_r1							88.7380127601759	42.0	119.49623636750817	18.181818181818183	7025128.0
Tbi-ARos_023_Ex1b_L4_r2							88.33698566506472	42.0	119.50585370117099	18.181818181818183	7025128.0
Tbi-ARos_024_Ex1b_L4_fastp	88.56439999999999	0.942961	496083256.0	0.431182	93.28770789621603	70.94054807542153					
Tbi-ARos_024_Ex1b_L4_r1							89.57933381367388	43.0	119.95223959839483	18.181818181818183	2192402.0
Tbi-ARos_024_Ex1b_L4_r2							89.58236443323554	43.0	119.94982671973479	18.181818181818183	2192402.0
Tbi-ARos_025_Ex1b_L4_fastp	90.5187	0.944227	596174901.0	0.434123	96.53617155966889	60.42528509246279					
