"","Position","C.T","G.A"
"1",1,0.511259017609637,0.439414653825059
"2",2,0.539262832525943,0.46912905419205
"3",3,0.552463479856084,0.500467404510978
"4",4,0.560518293291774,0.526008815434653
"5",5,0.569697441799308,0.542052897503741
"6",6,0.58181235510104,0.549070968590849
"7",7,0.59248114322781,0.553251568738599
"8",8,0.596895779608991,0.56123716727467
"9",9,0.597684025221726,0.570673930311742
"10",10,0.597214920511648,0.579310383733477
"11",11,0.596919932143179,0.586059634987521
"12",12,0.595889270616187,0.592228175641946
"13",-12,0.596997744906653,0.591130594957899
"14",-11,0.590421132144869,0.592482156368738
"15",-10,0.584192489729799,0.592211873661299
"16",-9,0.5766873507962,0.591582819984116
"17",-8,0.5689987097558,0.589227766920205
"18",-7,0.561264055927848,0.584591557728894
"19",-6,0.555401922624517,0.575377667409818
"20",-5,0.547677801399861,0.563905482464034
"21",-4,0.534088025323211,0.552490717791571
"22",-3,0.512160379183485,0.541372616742888
"23",-2,0.483960124870424,0.525767708614498
"24",-1,0.455327796931764,0.496745903326833
