pos	5pC>T
1	0.0189311843335717
2	0.0294128030817149
3	0.0181451411898028
4	0.0201704882228058
5	0.0197354177823863
6	0.0302416997601145
7	0.0330655245483067
8	0.0270308345219857
9	0.0287643675186247
10	0.0310071255982886
11	0.02450380802422
12	0.024108983458577
13	0.0271996433297713
14	0.0272224962649358
15	0.0261642934761585
16	0.0277518326681951
17	0.0265240176850536
18	0.0267109828857134
19	0.0273669810641515
20	0.0275561097256858
21	0.0284341841124176
22	0.0285211305790621
23	0.0281229372039548
24	0.0276254897558644
25	0.0280425332903118
