Sequence_Name	Individual_ID
AeA01001	Aen-AHam_001
AeA01002	Aen-AHam_002
AeA01003	Aen-AHam_003
AeA01004	Aen-AHam_004
AeA01005	Aen-AHam_005
AeA01006	Aen-AHam_006
AeA01007	Aen-AHam_007
AeA01008	Aen-AHam_008
AeA01009	Aen-AHam_009
AeA01010	Aen-AHam_010
AeA01011	Aen-AHam_011
AeA01012	Aen-AHam_012
AeA01013	Aen-AHam_013
AeA01014	Aen-AHam_014
AeA01015	Aen-AHam_015
AeA01016	Aen-AHam_016
AeA01017	Aen-AHam_017
AeA01018	Aen-AHam_018
AeA01019	Aen-AHam_019
AeA01020	Aen-AHam_020
AeA01021	Aen-AHam_021
AeA01022	Aen-AHam_022
AeA01023	Aen-AHam_023
AeA01024	Aen-AHam_024
AeA01025	Aen-AHam_025
AeA01026	Aen-AHam_026
AeA01027	Aen-AHam_027
AeA01028	Aen-AHam_028
AeA01029	Aen-AHam_029
AeA01030	Aen-AHam_030
AeA01031	Aen-AHam_031
AeA01032	Aen-AHam_032
AeA01033	Aen-AHam_033
AeA01034	Aen-AHam_034
AeA01035	Aen-AHam_035
AeA01036	Aen-AHam_036
AeA01037	Aen-AHam_037
AeA01038	Aen-AHam_038
AeA01039	Aen-AHam_039
AeA01040	Aen-AHam_040
AeA01041	Aen-AHam_041
AeA01042	Aen-AHam_042
AeA01043	Aen-AHam_043
AeA01044	Aen-AHam_044
AeA01045	Aen-AHam_045
AeA01046	Aen-AHam_046
AeA01047	Aen-AHam_047
AeA01048	Aen-AHam_048
AeA01049	Aen-AHam_049
AeA01050	Aen-AHam_050
AeA01051	Aen-AHam_051
AeA01052	Aen-AHam_052
AeA01053	Aen-AHam_053
AeA01054	Aen-AHam_054
AeA01055	Aen-AHam_055
AeA01056	Aen-AHam_056
AeA01057	Aen-AHam_057
AeA01058	Aen-AHam_058
AeA01059	Aen-AHam_059
AeA01060	Aen-AHam_060
AeC01001	Aen-Cbat_001
AeC01013	Aen-Cbat_013
AeC01025	Aen-Cbat_025
AeC01037	Aen-Cbat_037
AeC01049	Aen-Cbat_049
AeC01061	Aen-Cbat_061
AeC01073	Aen-Cbat_073
AeC01085	Aen-Cbat_085
AeC01002	Aen-Cbat_002
AeC01014	Aen-Cbat_014
AeC01026	Aen-Cbat_026
AeC01038	Aen-Cbat_038
AeC01050	Aen-Cbat_050
AeC01062	Aen-Cbat_062
AeC01074	Aen-Cbat_074
AeC01086	Aen-Cbat_086
AeC01003	Aen-Cbat_003
AeC01015	Aen-Cbat_015
AeC01027	Aen-Cbat_027
AeC01039	Aen-Cbat_039
AeC01051	Aen-Cbat_051
AeC01063	Aen-Cbat_063
AeC01075	Aen-Cbat_075
AeC01087	Aen-Cbat_087
AeC01004	Aen-Cbat_004
AeC01016	Aen-Cbat_016
AeC01028	Aen-Cbat_028
AeC01040	Aen-Cbat_040
AeC01052	Aen-Cbat_052
AeC01064	Aen-Cbat_064
AeC01076	Aen-Cbat_076
AeC01088	Aen-Cbat_088
AeC01005	Aen-Cbat_005
AeC01017	Aen-Cbat_017
AeC01029	Aen-Cbat_029
AeC01041	Aen-Cbat_041
AeC01053	Aen-Cbat_053
AeC01065	Aen-Cbat_065
AeC01077	Aen-Cbat_077
AeC01089	Aen-Cbat_089
AeC01006	Aen-Cbat_006
AeC01018	Aen-Cbat_018
AeC01030	Aen-Cbat_030
AeC01042	Aen-Cbat_042
AeC01054	Aen-Cbat_054
AeC01066	Aen-Cbat_066
AeC01078	Aen-Cbat_078
AeC01090	Aen-Cbat_090
AeC01007	Aen-Cbat_007
AeC01019	Aen-Cbat_019
AeC01031	Aen-Cbat_031
AeC01043	Aen-Cbat_043
AeC01055	Aen-Cbat_055
AeC01067	Aen-Cbat_067
AeC01079	Aen-Cbat_079
AeC01091	Aen-Cbat_091
AeC01008	Aen-Cbat_008
AeC01020	Aen-Cbat_020
AeC01032	Aen-Cbat_032
AeC01044	Aen-Cbat_044
AeC01056	Aen-Cbat_056
AeC01068	Aen-Cbat_068
AeC01080	Aen-Cbat_080
AeC01092	Aen-Cbat_092
AeC01009	Aen-Cbat_009
AeC01021	Aen-Cbat_021
AeC01033	Aen-Cbat_033
AeC01045	Aen-Cbat_045
AeC01057	Aen-Cbat_057
AeC01069	Aen-Cbat_069
AeC01081	Aen-Cbat_081
AeC01010	Aen-Cbat_010
AeC01022	Aen-Cbat_022
AeC01034	Aen-Cbat_034
AeC01046	Aen-Cbat_046
AeC01058	Aen-Cbat_058
AeC01070	Aen-Cbat_070
AeC01082	Aen-Cbat_082
AeC01094	Aen-Cbat_094
AeC01011	Aen-Cbat_011
AeC01023	Aen-Cbat_023
AeC01035	Aen-Cbat_035
AeC01047	Aen-Cbat_047
AeC01059	Aen-Cbat_059
AeC01071	Aen-Cbat_071
AeC01083	Aen-Cbat_083
AeC01095	Aen-Cbat_095
AeC01012	Aen-Cbat_012
AeC01024	Aen-Cbat_024
AeC01036	Aen-Cbat_036
AeC01048	Aen-Cbat_048
AeC01060	Aen-Cbat_060
AeC01072	Aen-Cbat_072
AeC01084	Aen-Cbat_084
AeC01096	Aen-Cbat_096
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
