"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0282621072031637,0.0157817976702699,0.0354758031695001,0.162094332769678,0.592942137154412,-129939.550610811
"Std.",4.27400827839605e-05,0.000236851800840919,0.00027323430865463,0.00940788595391547,0.00110122325787137,1.56484121533607
"Acceptance ratio",0.20086,0.11518,0.1884,0.27268,0.19892,0.66178
"0%",0.0280926653933999,0.0148298369081472,0.0343701474463414,0.129613986278378,0.588731013941189,-129952.366488299
"2.5%",0.0281774881079072,0.0152843899774988,0.0349405046702617,0.143147788432602,0.590748481085489,-129943.429925147
"5%",0.0281906904582212,0.0153567282122417,0.0350221202361234,0.145937114908914,0.591161606523618,-129942.572153305
"7.5%",0.0281996245927151,0.0154224121828772,0.0350758882076772,0.148191650715503,0.59137047639578,-129942.063215928
"10%",0.0282063056667195,0.0154728510074103,0.0351255311008273,0.149935741996833,0.591536100084643,-129941.666259148
"12.5%",0.0282123323133748,0.015503562575081,0.0351629952280289,0.151260074706034,0.591697078013593,-129941.35497214
"15%",0.028217532872769,0.0155315627072133,0.0351912274292776,0.152206552495028,0.591823164371894,-129941.103208304
"17.5%",0.0282220050351263,0.0155532792727556,0.0352187859697343,0.153236250851075,0.591938037419901,-129940.886078605
"20%",0.028226081111079,0.0155782148276358,0.0352446976097466,0.154101995543771,0.592024901129715,-129940.688002999
"22.5%",0.0282304617905313,0.015599965077116,0.0352675808268573,0.154913621606528,0.592126562320445,-129940.523600671
"25%",0.0282342236435781,0.0156217396946981,0.0352915384780116,0.155676904389485,0.592218325734869,-129940.36492837
"27.5%",0.0282374914373472,0.0156428223978452,0.0353129585100669,0.156364661054913,0.592305307583527,-129940.222893552
"30%",0.0282406925936621,0.0156625270050148,0.0353310322669979,0.157148689430704,0.592385525170348,-129940.078690303
"32.5%",0.0282434190426881,0.015687731653506,0.0353498005636704,0.157871283160069,0.592455326732111,-129939.95861123
"35%",0.028246577621617,0.0157063928778291,0.0353715292646613,0.15860614575638,0.592517598011832,-129939.83682257
"37.5%",0.0282494665169176,0.0157208821929476,0.0353907357162065,0.159290412178022,0.592586931210583,-129939.727198814
"40%",0.0282522844528605,0.0157367343032272,0.035409516795035,0.159932299459779,0.592653310819662,-129939.620110373
"42.5%",0.0282546663233424,0.0157527758688555,0.0354262845361005,0.16051895633946,0.592712770338664,-129939.518611019
"45%",0.0282573276411353,0.0157700339383577,0.0354443898025724,0.161162038425652,0.592786137876876,-129939.421825809
"47.5%",0.0282598881732058,0.0157863990636459,0.0354607732739178,0.161757287269561,0.592857584145779,-129939.331983178
"50%",0.0282624976043239,0.0158004813832236,0.0354781035174832,0.162394913848961,0.592929074676054,-129939.245918066
"52.5%",0.0282651498377748,0.0158179616303327,0.0354962787357732,0.162935085440063,0.592992985363006,-129939.151937804
"55%",0.0282678716764439,0.0158342689549622,0.0355102495922877,0.163530012664309,0.593062993973632,-129939.068043637
"57.5%",0.0282706910412884,0.0158514539186554,0.0355268922351705,0.164161407433396,0.593133645695337,-129938.982311315
"60%",0.0282731933151595,0.0158649408976422,0.0355484863215043,0.164748928949275,0.593210598799285,-129938.898384384
"62.5%",0.028275850029863,0.0158789781708487,0.0355648908909229,0.165362309570831,0.59328591916835,-129938.81512933
"65%",0.0282788339101282,0.0158921546163416,0.0355824601881249,0.165966136916806,0.593358446489269,-129938.72908535
"67.5%",0.0282817852514649,0.0159061661222351,0.0356029823066615,0.166614953397206,0.593442685733802,-129938.638881788
"70%",0.0282848643466831,0.0159203926082485,0.0356223643831121,0.167285960966323,0.593504795115025,-129938.557658933
"72.5%",0.028288148212009,0.015936161522216,0.0356442775370744,0.167886621380308,0.593587667781595,-129938.471875861
"75%",0.0282917653995792,0.0159522198752317,0.0356601116280733,0.168527992839434,0.593677009307706,-129938.392684062
"77.5%",0.0282944204243622,0.0159663458186695,0.035684030048154,0.169371474750201,0.593757965796184,-129938.310525834
"80%",0.0282974255192266,0.0159854838097503,0.035705936981658,0.170105993667145,0.593858539023225,-129938.222745671
"82.5%",0.0283009673338784,0.0160041078048996,0.0357283731558554,0.171006198433047,0.593947379525895,-129938.133274107
"85%",0.0283054051353672,0.01602578344925,0.0357521733550382,0.171881255284943,0.594079365212665,-129938.047070978
"87.5%",0.0283096511973505,0.0160500332628679,0.0357829675893903,0.172897724437675,0.594208207802409,-129937.954718481
"90%",0.0283149107535834,0.0160728919018513,0.0358204174633923,0.174098006104685,0.594344821819631,-129937.850268275
"92.5%",0.0283215592629268,0.0160991365376955,0.0358640235244288,0.17553647066574,0.594546375539537,-129937.747922356
"95%",0.0283319972857357,0.0161372762134205,0.035926860967462,0.177075387221965,0.594798567511203,-129937.620659011
"97.5%",0.0283449881165531,0.0161926342074009,0.0360162535980722,0.179920943867153,0.595133597420545,-129937.465336726
"100%",0.0284615937188052,0.0164288153733461,0.0365463391391895,0.195062338722683,0.596969035316783,-129937.062172715
