Sequence_Name	Extraction_ID
SdA1000101A	Sde-ABul_001_Ex1-cssl
SdA1000202A	Sde-ABul_002_Ex1-cssl
SdA1000303A	Sde-ABul_003_Ex1-cssl
SdA1000404A	Sde-ABul_004_Ex1-cssl
SdA1000606A	Sde-ABul_006_Ex1-cssl
SdA1000707A	Sde-ABul_007_Ex1-cssl
SdA1000808A	Sde-ABul_008_Ex1-cssl
SdA1000909A	Sde-ABul_009_Ex1-cssl
SdA1001111A	Sde-ABul_011_Ex1-cssl
SdA1001402B	Sde-ABul_014_Ex1-cssl
SdA1001604B	Sde-ABul_016_Ex1-cssl
SdA1001705B	Sde-ABul_017_Ex1-cssl
SdA1001806B	Sde-ABul_018_Ex1-cssl
SdA1001907B	Sde-ABul_019_Ex1-cssl
SdA1002008B	Sde-ABul_020_Ex1-cssl
SdA1002109B	Sde-ABul_021_Ex1-cssl
SdA1002210B	Sde-ABul_022_Ex1-cssl
SdA1002412B	Sde-ABul_024_Ex1-cssl
SdA1002703C	Sde-ABul_027_Ex1-cssl
SdA1002804C	Sde-ABul_028_Ex1-cssl
SdA1002905C	Sde-ABul_029_Ex1-cssl
SdA1003006C	Sde-ABul_030_Ex1-cssl
SdA1003107C	Sde-ABul_031_Ex1-cssl
SdA1003208C	Sde-ABul_032_Ex1-cssl
SdA1003410C	Sde-ABul_034_Ex1-cssl
SdA1003511C	Sde-ABul_035_Ex1-cssl
SdA1003903D	Sde-ABul_039_Ex1-cssl
SdA1004004D	Sde-ABul_040_Ex1-cssl
SdA1004105D	Sde-ABul_041_Ex1-cssl
SdA1004206D	Sde-ABul_042_Ex1-cssl
SdA1004307D	Sde-ABul_043_Ex1-cssl
SdA1004610D	Sde-ABul_046_Ex1-cssl
SdA1004711D	Sde-ABul_047_Ex1-cssl
SdA1004901E	Sde-ABul_049_Ex1-cssl
SdA1005002E	Sde-ABul_050_Ex1-cssl
SdA1005103E	Sde-ABul_051_Ex1-cssl
SdA1005204E	Sde-ABul_052_Ex1-cssl
SdA1005305E	Sde-ABul_053_Ex1-cssl
SdA1005406E	Sde-ABul_054_Ex1-cssl
SdA1005507E	Sde-ABul_055_Ex1-cssl
SdA1005608E	Sde-ABul_056_Ex1-cssl
SdA1005709E	Sde-ABul_057_Ex1-cssl
SdA1005810E	Sde-ABul_058_Ex1-cssl
SdA1005911E	Sde-ABul_059_Ex1-cssl
SdA1006012E	Sde-ABul_060_Ex1-cssl
SdA1006101F	Sde-ABul_061_Ex1-cssl
SdA1006202F	Sde-ABul_062_Ex1-cssl
SdA1006303F	Sde-ABul_063_Ex1-cssl
SdA1006505F	Sde-ABul_065_Ex1-cssl
SdA1006606F	Sde-ABul_066_Ex1-cssl
SdA1006707F	Sde-ABul_067_Ex1-cssl
SdA1006808F	Sde-ABul_068_Ex1-cssl
SdA1006909F	Sde-ABul_069_Ex1-cssl
SdA1007010F	Sde-ABul_070_Ex1-cssl
SdA1007111F	Sde-ABul_071_Ex1-cssl
SdA1007212F	Sde-ABul_072_Ex1-cssl
SdA1007301G	Sde-ABul_073_Ex1-cssl
SdA1007402G	Sde-ABul_074_Ex1-cssl
SdA1007503G	Sde-ABul_075_Ex1-cssl
SdA1007604G	Sde-ABul_076_Ex1-cssl
SdA1007705G	Sde-ABul_077_Ex1-cssl
SdA1007806G	Sde-ABul_078_Ex1-cssl
SdA1007907G	Sde-ABul_079_Ex1-cssl
SdA1008008G	Sde-ABul_080_Ex1-cssl
SdA1008109G	Sde-ABul_081_Ex1-cssl
SdA1008210G	Sde-ABul_082_Ex1-cssl
SdA1008311G	Sde-ABul_083_Ex1-cssl
SdA1008501H	Sde-ABul_085_Ex1-cssl
SdA1008602H	Sde-ABul_086_Ex1-cssl
SdA1008703H	Sde-ABul_087_Ex1-cssl
SdA1008905H	Sde-ABul_089_Ex1-cssl
SdA1009006H	Sde-ABul_090_Ex1-cssl
SdA1009107H	Sde-ABul_091_Ex1-cssl
SdA1009208H	Sde-ABul_092_Ex1-cssl
SdA1009309H	Sde-ABul_093_Ex1-cssl
SdA1009410H	Sde-ABul_094_Ex1-cssl
SdA1009511H	Sde-ABul_095_Ex1-cssl
SdA1009612H	Sde-ABul_096_Ex1-cssl
SdA0700104D	Sde-AGui_001_Ex1-cssl
SdA0700204E	Sde-AGui_002_Ex1-cssl
SdA0700304F	Sde-AGui_003_Ex1-cssl
SdA0700404G	Sde-AGui_004_Ex1-cssl
SdA0700504H	Sde-AGui_005_Ex1-cssl
SdA0700605A	Sde-AGui_006_Ex1-cssl
SdA0700705B	Sde-AGui_007_Ex1-cssl
SdA0700805C	Sde-AGui_008_Ex1-cssl
SdA0700905D	Sde-AGui_009_Ex1-cssl
SdA0701005E	Sde-AGui_010_Ex1-cssl
SdA0701105F	Sde-AGui_011_Ex1-cssl
SdA0701205G	Sde-AGui_012_Ex1-cssl
SdA0701305H	Sde-AGui_013_Ex1-cssl
SdA0701406A	Sde-AGui_014_Ex1-cssl
SdA0701506B	Sde-AGui_015_Ex1-cssl
SdA0701606C	Sde-AGui_016_Ex1-cssl
SdA0701706D	Sde-AGui_017_Ex1-cssl
SdA0701806E	Sde-AGui_018_Ex1-cssl
SdA0701906F	Sde-AGui_019_Ex1-cssl
SdA0702006G	Sde-AGui_020_Ex1-cssl
SdA0702106H	Sde-AGui_021_Ex1-cssl
SdA0702207A	Sde-AGui_022_Ex1-cssl
SdA0702307B	Sde-AGui_023_Ex1-cssl
SdA0702407C	Sde-AGui_024_Ex1-cssl
SdA0702507D	Sde-AGui_025_Ex1-cssl
SdA0702607E	Sde-AGui_026_Ex1-cssl
SdA0702707F	Sde-AGui_027_Ex1-cssl
SdA0702807G	Sde-AGui_028_Ex1-cssl
SdA0702907H	Sde-AGui_029_Ex1-cssl
SdA0703008A	Sde-AGui_030_Ex1-cssl
SdA0703108B	Sde-AGui_031_Ex1-cssl
SdA0703208C	Sde-AGui_032_Ex1-cssl
SdA0703308D	Sde-AGui_033_Ex1-cssl
SdA0703408E	Sde-AGui_034_Ex1-cssl
SdA0703508F	Sde-AGui_035_Ex1-cssl
SdA0205509B	Sde-AMar_055_Ex1b-cssl2
SdA0206109A	Sde-AMar_061_Ex1_b-cssl2
SdA0100208H	Sde-AMat_002_Ex1-cssl2
SdA0100508G	Sde-AMat_005_Ex1-cssl2
SdA0800101A	Sde-ATum_001_Ex1-cssl
SdA0800202A	Sde-ATum_002_Ex1-cssl
SdA0800303A	Sde-ATum_003_Ex1-cssl
SdA0800404A	Sde-ATum_004_Ex1-cssl
SdA0800707A	Sde-ATum_007_Ex1-cssl
SdA0800808A	Sde-ATum_008_Ex1-cssl
SdA0800909A	Sde-ATum_009_Ex1-cssl
SdA0801010A	Sde-ATum_010_Ex1-cssl
SdA0801111A	Sde-ATum_011_Ex1-cssl
SdA0801212A	Sde-ATum_012_Ex1-cssl
SdA0801301B	Sde-ATum_013_Ex1-cssl
SdA0801402B	Sde-ATum_014_Ex1-cssl
SdA0801705B	Sde-ATum_017_Ex1-cssl
SdA0801806B	Sde-ATum_018_Ex1-cssl
SdA0801907B	Sde-ATum_019_Ex1-cssl
SdA0802008B	Sde-ATum_020_Ex1-cssl
SdA0802109B	Sde-ATum_021_Ex1-cssl
SdA0802210B	Sde-ATum_022_Ex1-cssl
SdA0802311B	Sde-ATum_023_Ex1-cssl
SdA0802412B	Sde-ATum_024_Ex1-cssl
SdA0802501C	Sde-ATum_025_Ex1-cssl
SdA0802602C	Sde-ATum_026_Ex1-cssl
SdA0802703C	Sde-ATum_027_Ex1-cssl
SdA0802905C	Sde-ATum_029_Ex1-cssl
SdA0803006C	Sde-ATum_030_Ex1-cssl
SdA0803107C	Sde-ATum_031_Ex1-cssl
SdA0803208C	Sde-ATum_032_Ex1-cssl
