Sample	Unique Reads	Duplicate Reads
Hte-ATic_001-Ex1-cssl.clmp.r1	33085.0	29108.0
Hte-ATic_001-Ex1-cssl.clmp.r2	33915.0	28278.0
Hte-ATic_002-Ex1-cssl.clmp.r1	252147.0	407589.0
Hte-ATic_002-Ex1-cssl.clmp.r2	293817.0	365919.0
Hte-ATic_003-Ex1-cssl.clmp.r1	436309.0	769162.0
Hte-ATic_003-Ex1-cssl.clmp.r2	533663.0	671808.0
Hte-ATic_004-Ex1-cssl.clmp.r1	534228.0	977482.0
Hte-ATic_004-Ex1-cssl.clmp.r2	657944.0	853766.0
Hte-ATic_005-Ex1-cssl.clmp.r1	559745.0	660341.0
Hte-ATic_005-Ex1-cssl.clmp.r2	595743.0	624343.0
Hte-ATic_006-Ex1-cssl.clmp.r1	603770.0	1077308.0
Hte-ATic_006-Ex1-cssl.clmp.r2	784244.0	896834.0
Hte-ATic_007-Ex1-cssl.clmp.r1	432767.0	517171.0
Hte-ATic_007-Ex1-cssl.clmp.r2	467630.0	482308.0
Hte-ATic_008-Ex1-cssl.clmp.r1	110422.0	215573.0
Hte-ATic_008-Ex1-cssl.clmp.r2	140421.0	185574.0
Hte-ATic_010-Ex1-cssl.clmp.r1	161643.0	278405.0
Hte-ATic_010-Ex1-cssl.clmp.r2	206342.0	233706.0
Hte-ATic_011-Ex1-cssl.clmp.r1	238800.0	279907.0
Hte-ATic_011-Ex1-cssl.clmp.r2	260990.0	257717.0
Hte-ATic_012-Ex1-cssl.clmp.r1	222816.0	369871.0
Hte-ATic_012-Ex1-cssl.clmp.r2	278875.0	313812.0
Hte-ATic_013-Ex1-cssl.clmp.r1	511605.0	785397.0
Hte-ATic_013-Ex1-cssl.clmp.r2	600452.0	696550.0
Hte-ATic_014-Ex1-cssl.clmp.r1	187152.0	300432.0
Hte-ATic_014-Ex1-cssl.clmp.r2	216907.0	270677.0
Hte-ATic_015-Ex1-cssl.clmp.r1	432115.0	638807.0
