pos	3pG>A
1	0.00683089578210162
2	0.00707844694668972
3	0.00517076207543692
4	0.00583290323036786
5	0.00708235075089984
6	0.00907247055152508
7	0.00863428685677895
8	0.00836755084964182
9	0.0081253957750788
10	0.00845577431677931
11	0.00846994157228699
12	0.0084970976991398
13	0.00820652309713254
14	0.00825321872068186
15	0.0086841925104402
16	0.00886148052896012
17	0.00854056857687563
18	0.00907537191126771
19	0.00897816752048645
20	0.00822157616680734
21	0.00948006357301291
22	0.00868717312295009
23	0.0116228938143164
24	0.00884127350130262
25	0.00838045234248788
