"","Position","C.T","G.A"
"1",1,0.366620791138355,0.368202380547166
"2",2,0.394241674811142,0.38967237951277
"3",3,0.410370962557874,0.412284621570724
"4",4,0.430059245593497,0.423875181377585
"5",5,0.455588463177914,0.423160543129257
"6",6,0.475528843938656,0.422631088708051
"7",7,0.487024197545702,0.427542538329871
"8",8,0.491942253983236,0.437084988022789
"9",9,0.494615952451194,0.446649638228712
"10",10,0.494736000681789,0.456952693283268
"11",11,0.492209221254795,0.468250678366827
"12",12,0.488733956027373,0.478828178740735
"13",-12,0.496291197149749,0.471004103300893
"14",-11,0.484678320744536,0.476005650077635
"15",-10,0.474647025110784,0.477711368182306
"16",-9,0.465477473196242,0.476847169966304
"17",-8,0.455685942686148,0.474584861644648
"18",-7,0.442260324665484,0.47317481244216
"19",-6,0.428436230354967,0.469191822042154
"20",-5,0.421477404918891,0.456026179756995
"21",-4,0.419315559767203,0.434110301476341
"22",-3,0.408156228344919,0.414396978210953
"23",-2,0.387362219153183,0.396277981302058
"24",-1,0.365038056746927,0.369717932642964
