"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0207430625164982,0.00920430253566629,1.27324729525292e-05,0.149741152200369,0.663939351314392,-15114.3474847252
"Std.",7.15312888937612e-05,0.000120655316488697,1.26687999158879e-05,0.00720083052941422,0.00278736650875044,1.75874644351052
"Acceptance ratio",0.15792,0.16362,0.13856,0.16034,0.23592,0.60904
"0%",0.0204415985675394,0.00878072488815895,3.55853147917065e-09,0.122657924442312,0.652366279955354,-15127.3511052463
"2.5%",0.0206002742425427,0.00897684783485987,3.32504558117326e-07,0.135926869167338,0.658529473696994,-15118.6360743816
"5%",0.0206241758346445,0.00901517923583158,6.97595064642396e-07,0.138127392345216,0.659380821610627,-15117.639377163
"7.5%",0.0206410601418204,0.00903639183029394,1.06000814394466e-06,0.139320299144114,0.659942606015795,-15117.0750532115
"10%",0.0206528702561902,0.00905072926309547,1.46542917140748e-06,0.140458585381803,0.660391091476437,-15116.6677176286
"12.5%",0.0206621606488919,0.00906503617278258,1.76971142142493e-06,0.141483537937824,0.660720811447904,-15116.3464182277
"15%",0.0206686857680089,0.00907892850454734,2.16288134113238e-06,0.142244638659819,0.661030932168742,-15116.0665490465
"17.5%",0.0206768425432697,0.00908921306434361,2.57262597285258e-06,0.143107367273913,0.66131562189823,-15115.8446970174
"20%",0.0206829843311025,0.00910035642420397,3.00798021600972e-06,0.143690900709582,0.661548251514395,-15115.6321721718
"22.5%",0.0206893312600806,0.00911035702418454,3.41680094215177e-06,0.144235043767241,0.661813297161551,-15115.4439100201
"25%",0.0206952202669804,0.00911960860956481,3.91165800050549e-06,0.14484911564634,0.662026149044713,-15115.2860356393
"27.5%",0.0207004679327516,0.00912860582570037,4.34893169820667e-06,0.14545702754828,0.66224314756851,-15115.1271362577
"30%",0.0207054480314848,0.0091367980976729,4.81573012357007e-06,0.145995877697196,0.662453300028339,-15114.9777546634
"32.5%",0.0207103542982258,0.00914409940552411,5.17126410700191e-06,0.146489443870885,0.662643159155914,-15114.8288543512
"35%",0.0207153601220655,0.00915470600198405,5.59137065770743e-06,0.146936627540299,0.662848729401124,-15114.6938254886
"37.5%",0.0207200006947986,0.00916446523247947,6.20564088477211e-06,0.147427020447094,0.663048139160227,-15114.5651592074
"40%",0.0207251503624389,0.00917308626867172,6.70785500491218e-06,0.147884044955766,0.663233711267358,-15114.4439888839
"42.5%",0.0207296001786364,0.00918063568363411,7.32380647364724e-06,0.148321019213904,0.663413988656402,-15114.3340234289
"45%",0.0207344403214605,0.00918866858966907,7.80007367046447e-06,0.148745888485643,0.663580876898042,-15114.2283783564
"47.5%",0.0207385706154298,0.00919553945801598,8.45114300870501e-06,0.14916264665647,0.663778846053605,-15114.1229528651
"50%",0.0207431616839677,0.00920271467406304,9.0942703029206e-06,0.149601178586925,0.663953840522249,-15114.0189618145
"52.5%",0.0207479614480288,0.00920928232848073,9.7583089451429e-06,0.150093990387332,0.664135917176142,-15113.9201058366
"55%",0.0207521920645357,0.00921690974207347,1.0428235167655e-05,0.150552540598024,0.664327139324303,-15113.8126955877
"57.5%",0.0207560301735805,0.00922250643603373,1.11168249520237e-05,0.151034546601668,0.664500086642173,-15113.7180389214
"60%",0.0207605609844721,0.00923117213867539,1.18447973417381e-05,0.151515599020398,0.664687110946184,-15113.6235628942
"62.5%",0.020765669905081,0.00923810366644495,1.26117104049983e-05,0.152069509498244,0.664872190033076,-15113.5339190267
"65%",0.020770699124669,0.00924627802986204,1.34295631922455e-05,0.152513593530536,0.665056118793466,-15113.4410964532
"67.5%",0.0207748956975702,0.00925492970547438,1.42534139425287e-05,0.15305883228869,0.665267295299002,-15113.3509104575
"70%",0.0207802925549585,0.00926358844438383,1.52864517427915e-05,0.153543183515504,0.66546482547276,-15113.2586157979
"72.5%",0.0207846315563651,0.0092736032699315,1.62615098393447e-05,0.154119855524642,0.665638766647177,-15113.1683147764
"75%",0.0207898799173243,0.00928473741553414,1.74163787544582e-05,0.15471863734275,0.665850327022933,-15113.0653527431
"77.5%",0.0207961296631423,0.0092962207680987,1.87644693417268e-05,0.155263914438981,0.666035258197345,-15112.964864993
"80%",0.0208017972169484,0.00930690268948646,2.02240686784108e-05,0.155891736486428,0.666268168686862,-15112.8624520792
"82.5%",0.0208093054861329,0.00931882174693801,2.17754844757652e-05,0.156565834936685,0.666535982901885,-15112.7578834108
"85%",0.0208168326599865,0.00933112841412073,2.35072979896508e-05,0.157139526107594,0.6667976649372,-15112.6487958498
"87.5%",0.02082498896354,0.00934658315915636,2.5773346264811e-05,0.157889798679643,0.6670862204296,-15112.5463434538
"90%",0.0208349700725129,0.0093638919117261,2.8416182902403e-05,0.158861434220278,0.667441635826099,-15112.4330589457
"92.5%",0.0208457613783459,0.00938580766440988,3.19481933821091e-05,0.160110190888219,0.667902933430157,-15112.299487406
"95%",0.0208624476831605,0.00941046936620596,3.72007600325642e-05,0.16171060131009,0.668512710551031,-15112.1349337629
"97.5%",0.020886732844342,0.0094413446801934,4.66403463557847e-05,0.164031450134201,0.669428740621698,-15111.9325752777
"100%",0.0210332188608041,0.00966512149717311,0.000128631734439806,0.176306690666008,0.676796567492058,-15111.3595668145
