Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Ssp-AAtu_005-Ex1-cssl.clmp.fp2_r1_screen	4055.0	6657.0	1058.0	556.0	309.0	107.0	65.0	23.0	0.0	0.0	39958.0	257182.0
Ssp-AAtu_005-Ex1-cssl.clmp.fp2_r2_screen	4059.0	6691.0	1101.0	532.0	316.0	116.0	63.0	29.0	0.0	0.0	39974.0	257089.0
Ssp-AAtu_006-Ex1-cssl.clmp.fp2_r1_screen	14507.0	3145.0	853.0	367.0	154.0	62.0	41.0	46.0	0.0	0.0	22495.0	142872.0
Ssp-AAtu_006-Ex1-cssl.clmp.fp2_r2_screen	14471.0	3295.0	854.0	311.0	146.0	52.0	28.0	59.0	0.0	0.0	22454.0	142872.0
Ssp-AAtu_007-Ex1-cssl.clmp.fp2_r1_screen	52053.0	2987.0	26181.0	1608.0	87.0	24.0	14.0	291.0	1.0	0.0	27502.0	104088.0
Ssp-AAtu_007-Ex1-cssl.clmp.fp2_r2_screen	51783.0	2983.0	26050.0	1559.0	100.0	38.0	14.0	300.0	0.0	0.0	27492.0	104517.0
Ssp-AAtu_008-Ex1-cssl.clmp.fp2_r1_screen	344.0	7576.0	874.0	624.0	372.0	135.0	61.0	28.0	1.0	0.0	51672.0	269963.0
Ssp-AAtu_008-Ex1-cssl.clmp.fp2_r2_screen	300.0	7727.0	929.0	668.0	362.0	139.0	62.0	23.0	0.0	0.0	51544.0	269896.0
Ssp-AAtu_009-Ex1-cssl.clmp.fp2_r1_screen	1415.0	11974.0	1219.0	927.0	514.0	225.0	118.0	29.0	2.0	0.0	77107.0	364499.0
Ssp-AAtu_009-Ex1-cssl.clmp.fp2_r2_screen	1474.0	12163.0	1168.0	953.0	494.0	195.0	97.0	42.0	1.0	0.0	76851.0	364591.0
Ssp-AAtu_011-Ex1-cssl.clmp.fp2_r1_screen	25612.0	2658.0	2041.0	274.0	59.0	34.0	16.0	58.0	1.0	0.0	31139.0	122036.0
Ssp-AAtu_011-Ex1-cssl.clmp.fp2_r2_screen	25463.0	2670.0	2005.0	296.0	61.0	27.0	15.0	63.0	1.0	0.0	30997.0	122330.0
Ssp-AAtu_012-Ex1-cssl.clmp.fp2_r1_screen	22627.0	2928.0	1797.0	377.0	56.0	27.0	23.0	129.0	0.0	0.0	22222.0	155914.0
Ssp-AAtu_012-Ex1-cssl.clmp.fp2_r2_screen	22681.0	2938.0	1749.0	404.0	62.0	31.0	7.0	134.0	0.0	0.0	22324.0	155770.0
Ssp-AAtu_013-Ex1-cssl.clmp.fp2_r1_screen	2723.0	11298.0	1043.0	735.0	326.0	177.0	101.0	34.0	1.0	0.0	159864.0	254964.0
Ssp-AAtu_013-Ex1-cssl.clmp.fp2_r2_screen	2648.0	11668.0	1073.0	738.0	388.0	190.0	73.0	34.0	3.0	0.0	159660.0	254791.0
Ssp-AAtu_014-Ex1-cssl.clmp.fp2_r1_screen	14478.0	3422.0	1209.0	246.0	82.0	33.0	22.0	83.0	1.0	0.0	20154.0	181483.0
Ssp-AAtu_014-Ex1-cssl.clmp.fp2_r2_screen	14444.0	3444.0	1222.0	251.0	82.0	36.0	14.0	97.0	0.0	0.0	20185.0	181438.0
Ssp-AAtu_015-Ex1-cssl.clmp.fp2_r1_screen	10586.0	3192.0	771.0	210.0	81.0	33.0	22.0	22.0	0.0	0.0	39884.0	98145.0
Ssp-AAtu_015-Ex1-cssl.clmp.fp2_r2_screen	10513.0	3135.0	774.0	197.0	93.0	38.0	19.0	17.0	0.0	0.0	39939.0	98221.0
Ssp-AAtu_016-Ex1-cssl.clmp.fp2_r1_screen	7743.0	1933.0	285.0	125.0	73.0	29.0	10.0	58.0	0.0	0.0	10703.0	95088.0
Ssp-AAtu_016-Ex1-cssl.clmp.fp2_r2_screen	7546.0	1851.0	270.0	144.0	68.0	19.0	9.0	60.0	0.0	0.0	10887.0	95193.0
Ssp-AAtu_017-Ex1-cssl.clmp.fp2_r1_screen	19582.0	2891.0	458.0	232.0	90.0	39.0	17.0	35.0	1.0	0.0	33945.0	131598.0
Ssp-AAtu_017-Ex1-cssl.clmp.fp2_r2_screen	19558.0	2906.0	503.0	196.0	101.0	39.0	21.0	30.0	0.0	0.0	33766.0	131768.0
Ssp-AAtu_018-Ex1-cssl.clmp.fp2_r1_screen	13928.0	2659.0	792.0	272.0	101.0	41.0	26.0	99.0	1.0	0.0	18620.0	141698.0
Ssp-AAtu_018-Ex1-cssl.clmp.fp2_r2_screen	13933.0	2571.0	779.0	249.0	73.0	48.0	12.0	87.0	0.0	0.0	18787.0	141698.0
Ssp-AAtu_019-Ex1-cssl.clmp.fp2_r1_screen	828.0	7967.0	1018.0	637.0	334.0	184.0	82.0	27.0	1.0	0.0	54415.0	268483.0
Ssp-AAtu_019-Ex1-cssl.clmp.fp2_r2_screen	843.0	8024.0	1007.0	637.0	344.0	147.0	81.0	39.0	2.0	0.0	54469.0	268383.0
Ssp-AAtu_020-Ex1-cssl.clmp.fp2_r1_screen	8009.0	4412.0	536.0	398.0	230.0	87.0	47.0	30.0	1.0	0.0	28372.0	170611.0
Ssp-AAtu_020-Ex1-cssl.clmp.fp2_r2_screen	8017.0	4386.0	579.0	423.0	198.0	93.0	34.0	23.0	2.0	0.0	28303.0	170675.0
Ssp-AAtu_021-Ex1-cssl.clmp.fp2_r1_screen	9158.0	1005.0	176.0	71.0	26.0	11.0	8.0	32.0	0.0	0.0	7663.0	54216.0
Ssp-AAtu_021-Ex1-cssl.clmp.fp2_r2_screen	9029.0	1002.0	149.0	77.0	27.0	18.0	4.0	28.0	0.0	0.0	7649.0	54383.0
Ssp-AAtu_022-Ex1-cssl.clmp.fp2_r1_screen	55698.0	2292.0	2448.0	303.0	28.0	8.0	5.0	76.0	0.0	0.0	35750.0	125377.0
Ssp-AAtu_022-Ex1-cssl.clmp.fp2_r2_screen	55534.0	2326.0	2454.0	264.0	19.0	9.0	11.0	57.0	0.0	0.0	35934.0	125377.0
Ssp-AAtu_023-Ex1-cssl.clmp.fp2_r1_screen	483.0	5457.0	691.0	440.0	256.0	79.0	42.0	20.0	0.0	0.0	46056.0	156701.0
Ssp-AAtu_023-Ex1-cssl.clmp.fp2_r2_screen	506.0	5548.0	659.0	425.0	235.0	86.0	41.0	28.0	1.0	0.0	45974.0	156722.0
Ssp-AAtu_024-Ex1-cssl.clmp.fp2_r1_screen	1898.0	7419.0	776.0	585.0	276.0	95.0	65.0	24.0	0.0	0.0	79185.0	213383.0
Ssp-AAtu_024-Ex1-cssl.clmp.fp2_r2_screen	1863.0	7568.0	855.0	509.0	295.0	122.0	60.0	18.0	3.0	0.0	79273.0	213140.0
Ssp-AAtu_025-Ex1-cssl.clmp.fp2_r1_screen	7496.0	2761.0	372.0	212.0	89.0	46.0	17.0	54.0	0.0	0.0	22100.0	129336.0
Ssp-AAtu_025-Ex1-cssl.clmp.fp2_r2_screen	7568.0	2793.0	398.0	232.0	84.0	40.0	19.0	59.0	1.0	0.0	22132.0	129157.0
Ssp-AAtu_026-Ex1-cssl.clmp.fp2_r1_screen	17569.0	5889.0	787.0	474.0	267.0	93.0	50.0	42.0	1.0	0.0	52517.0	214155.0
Ssp-AAtu_026-Ex1-cssl.clmp.fp2_r2_screen	17618.0	6184.0	785.0	490.0	230.0	87.0	54.0	34.0	0.0	0.0	52849.0	213513.0
Ssp-AAtu_027-Ex1-cssl.clmp.fp2_r1_screen	2831.0	6201.0	731.0	468.0	290.0	107.0	63.0	17.0	2.0	0.0	54299.0	180120.0
Ssp-AAtu_027-Ex1-cssl.clmp.fp2_r2_screen	2828.0	6338.0	657.0	519.0	280.0	116.0	53.0	19.0	3.0	0.0	53853.0	180463.0
Ssp-AAtu_029-Ex1-cssl.clmp.fp2_r1_screen	22861.0	3131.0	557.0	205.0	94.0	28.0	20.0	40.0	0.0	0.0	31543.0	130712.0
Ssp-AAtu_029-Ex1-cssl.clmp.fp2_r2_screen	22858.0	3098.0	586.0	223.0	70.0	40.0	23.0	46.0	0.0	0.0	31403.0	130844.0
Ssp-AAtu_030-Ex1-cssl.clmp.fp2_r1_screen	44237.0	2686.0	1525.0	179.0	108.0	39.0	16.0	281.0	0.0	0.0	21025.0	166475.0
Ssp-AAtu_030-Ex1-cssl.clmp.fp2_r2_screen	44196.0	2665.0	1510.0	184.0	80.0	27.0	23.0	297.0	0.0	0.0	21067.0	166522.0
Ssp-AAtu_031-Ex1-cssl.clmp.fp2_r1_screen	2948.0	4269.0	14337.0	374.0	185.0	87.0	51.0	21.0	0.0	0.0	34171.0	140358.0
Ssp-AAtu_031-Ex1-cssl.clmp.fp2_r2_screen	2965.0	4276.0	14380.0	402.0	172.0	72.0	45.0	20.0	0.0	0.0	34209.0	140260.0
Ssp-AAtu_033-Ex1-cssl.clmp.fp2_r1_screen	5278.0	4801.0	804.0	398.0	211.0	75.0	37.0	92.0	1.0	0.0	24705.0	214990.0
Ssp-AAtu_033-Ex1-cssl.clmp.fp2_r2_screen	5297.0	4825.0	813.0	383.0	236.0	56.0	25.0	105.0	0.0	0.0	24587.0	215065.0
Ssp-AAtu_034-Ex1-cssl.clmp.fp2_r1_screen	5170.0	4787.0	783.0	348.0	168.0	68.0	42.0	21.0	0.0	0.0	31836.0	158658.0
Ssp-AAtu_034-Ex1-cssl.clmp.fp2_r2_screen	5179.0	4956.0	804.0	392.0	197.0	70.0	38.0	25.0	0.0	0.0	31724.0	158496.0
Ssp-AAtu_035-Ex1-cssl.clmp.fp2_r1_screen	461.0	7957.0	1154.0	643.0	411.0	144.0	79.0	30.0	4.0	0.0	43581.0	285298.0
Ssp-AAtu_035-Ex1-cssl.clmp.fp2_r2_screen	440.0	7890.0	1146.0	664.0	403.0	126.0	88.0	23.0	0.0	0.0	43786.0	285196.0
Ssp-AAtu_036-Ex1-cssl.clmp.fp2_r1_screen	1278.0	7557.0	849.0	658.0	378.0	131.0	73.0	31.0	2.0	0.0	43239.0	271501.0
Ssp-AAtu_036-Ex1-cssl.clmp.fp2_r2_screen	1168.0	7738.0	839.0	637.0	383.0	149.0	71.0	30.0	4.0	0.0	43633.0	271045.0
Ssp-AAtu_037-Ex1-cssl.clmp.fp2_r1_screen	1896.0	9030.0	884.0	593.0	298.0	120.0	65.0	35.0	5.0	0.0	97995.0	233553.0
Ssp-AAtu_037-Ex1-cssl.clmp.fp2_r2_screen	1891.0	9047.0	831.0	655.0	265.0	149.0	45.0	39.0	2.0	0.0	98204.0	233346.0
Ssp-AAtu_038-Ex1-cssl.clmp.fp2_r1_screen	3810.0	4594.0	638.0	314.0	209.0	81.0	42.0	65.0	1.0	0.0	25686.0	184682.0
Ssp-AAtu_038-Ex1-cssl.clmp.fp2_r2_screen	3760.0	4616.0	589.0	353.0	210.0	92.0	47.0	55.0	1.0	0.0	25783.0	184616.0
Ssp-AAtu_039-Ex1-cssl.clmp.fp2_r1_screen	8019.0	4108.0	891.0	349.0	169.0	73.0	44.0	111.0	0.0	0.0	25806.0	188759.0
Ssp-AAtu_039-Ex1-cssl.clmp.fp2_r2_screen	7882.0	4036.0	906.0	358.0	135.0	67.0	22.0	117.0	0.0	0.0	25864.0	188942.0
