pos	3pG>A
1	0.00691912357768016
2	0.0073984933977081
3	0.00556404596139696
4	0.0060798572265729
5	0.00720773983526209
6	0.00939284834264405
7	0.00927410919740604
8	0.00866015830610482
9	0.00905220614342172
10	0.00896766457133181
11	0.00921768287531922
12	0.00886414702907999
13	0.00884173297966401
14	0.00848669657372023
15	0.00904760075300626
16	0.00878359540984237
17	0.00922969794910199
18	0.0093244529019981
19	0.00922000398173623
20	0.00862614315050495
21	0.0102365965688263
22	0.00924050548852159
23	0.0116197708544047
24	0.00900467817389902
25	0.00912867410339294
