Sample	Protists_1k	Human	Bacteria_24k	Bird	Fungi_RefSeq_release	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sfa-ABas_001-Ex1-cssl.clmp.fp2_r1_screen	72131.0	124359.0	90445.0	5408.0	13902.0	1573.0	1493.0	350.0	31.0	0.0	348578.0	4468440.0
Sfa-ABas_001-Ex1-cssl.clmp.fp2_r2_screen	72738.0	123742.0	89875.0	5279.0	13533.0	1631.0	1446.0	375.0	18.0	0.0	351684.0	4466389.0
Sfa-ABas_002-Ex1-cssl.clmp.fp2_r1_screen	56524.0	19867.0	18828.0	4067.0	7935.0	1225.0	1042.0	331.0	25.0	0.0	287991.0	3608555.0
Sfa-ABas_002-Ex1-cssl.clmp.fp2_r2_screen	57480.0	19778.0	18693.0	4256.0	7767.0	1167.0	1231.0	312.0	17.0	0.0	289538.0	3606151.0
Sfa-ABas_003-Ex1-cssl.clmp.fp2_r1_screen	57570.0	27385.0	24299.0	4377.0	9014.0	1349.0	1222.0	297.0	19.0	0.0	238053.0	3541726.0
Sfa-ABas_003-Ex1-cssl.clmp.fp2_r2_screen	57596.0	27155.0	24360.0	4375.0	8913.0	1250.0	1155.0	306.0	30.0	0.0	240007.0	3540164.0
Sfa-ABas_004-Ex1-cssl.clmp.fp2_r1_screen	65089.0	12806.0	3996.0	4894.0	8269.0	1520.0	1385.0	254.0	64.0	0.0	253163.0	3802696.0
Sfa-ABas_004-Ex1-cssl.clmp.fp2_r2_screen	66074.0	12793.0	3886.0	4921.0	8127.0	1448.0	1442.0	280.0	10.0	0.0	257029.0	3798126.0
Sfa-ABas_005-Ex1-cssl.clmp.fp2_r1_screen	64511.0	12774.0	4105.0	4765.0	8013.0	1372.0	1358.0	263.0	59.0	0.0	260097.0	3802363.0
Sfa-ABas_005-Ex1-cssl.clmp.fp2_r2_screen	64912.0	12556.0	4127.0	4734.0	7963.0	1265.0	1328.0	264.0	21.0	0.0	263059.0	3799451.0
Sfa-ABas_006-Ex1-cssl.clmp.fp2_r1_screen	47026.0	15282.0	5379.0	3578.0	6466.0	992.0	1036.0	195.0	44.0	0.0	201316.0	2952169.0
Sfa-ABas_006-Ex1-cssl.clmp.fp2_r2_screen	47069.0	15043.0	5274.0	3663.0	6313.0	979.0	984.0	203.0	10.0	0.0	203392.0	2950553.0
Sfa-ABas_007-Ex1-cssl.clmp.fp2_r1_screen	55965.0	15358.0	22128.0	4370.0	7825.0	1189.0	1247.0	275.0	45.0	0.0	247225.0	3604584.0
Sfa-ABas_007-Ex1-cssl.clmp.fp2_r2_screen	55853.0	15292.0	21978.0	4289.0	7593.0	1164.0	1114.0	336.0	12.0	0.0	249581.0	3602999.0
Sfa-ABas_008-Ex1-cssl.clmp.fp2_r1_screen	57027.0	12188.0	29748.0	3982.0	7368.0	1113.0	1053.0	349.0	47.0	0.0	296230.0	3498297.0
Sfa-ABas_008-Ex1-cssl.clmp.fp2_r2_screen	56383.0	12095.0	29507.0	3991.0	7580.0	1093.0	1041.0	310.0	16.0	0.0	298262.0	3497124.0
Sfa-ABas_009-Ex1-cssl.clmp.fp2_r1_screen	66836.0	23074.0	21787.0	4703.0	9139.0	1342.0	1188.0	458.0	36.0	0.0	371705.0	4055902.0
Sfa-ABas_009-Ex1-cssl.clmp.fp2_r2_screen	65955.0	22947.0	21851.0	4515.0	8805.0	1320.0	1233.0	419.0	24.0	0.0	375021.0	4054080.0
Sfa-ABas_010-Ex1-cssl.clmp.fp2_r1_screen	67099.0	17772.0	34692.0	4914.0	10257.0	1558.0	1527.0	302.0	28.0	0.0	250500.0	3997901.0
Sfa-ABas_010-Ex1-cssl.clmp.fp2_r2_screen	66689.0	17703.0	34611.0	4798.0	10031.0	1447.0	1477.0	334.0	16.0	0.0	254613.0	3994831.0
Sfa-ABas_013-Ex1-cssl.clmp.fp2_r1_screen	55343.0	23159.0	39105.0	4303.0	9057.0	1176.0	1155.0	305.0	25.0	0.0	258592.0	3834285.0
Sfa-ABas_013-Ex1-cssl.clmp.fp2_r2_screen	56301.0	22451.0	39066.0	4381.0	9028.0	1238.0	1133.0	286.0	31.0	0.0	261264.0	3831326.0
Sfa-ABas_014-Ex1-cssl.clmp.fp2_r1_screen	35345.0	30830.0	46931.0	2573.0	8401.0	776.0	650.0	260.0	8.0	0.0	201838.0	2206119.0
Sfa-ABas_014-Ex1-cssl.clmp.fp2_r2_screen	34684.0	31038.0	46867.0	2599.0	8437.0	724.0	684.0	294.0	11.0	0.0	201767.0	2206626.0
Sfa-ABas_016-Ex1-cssl.clmp.fp2_r1_screen	57347.0	32441.0	35664.0	4541.0	8756.0	1168.0	1101.0	317.0	51.0	0.0	291447.0	3777598.0
Sfa-ABas_016-Ex1-cssl.clmp.fp2_r2_screen	57701.0	32321.0	35589.0	4596.0	8789.0	1114.0	1137.0	323.0	29.0	0.0	295023.0	3773809.0
Sfa-ABas_017-Ex1-cssl.clmp.fp2_r1_screen	54333.0	15008.0	18780.0	4201.0	7482.0	980.0	1025.0	298.0	43.0	0.0	247817.0	3569026.0
Sfa-ABas_017-Ex1-cssl.clmp.fp2_r2_screen	54426.0	15091.0	18633.0	4057.0	7425.0	1067.0	1006.0	266.0	20.0	0.0	250327.0	3566675.0
Sfa-ABas_018-Ex1-cssl.clmp.fp2_r1_screen	55985.0	14392.0	14824.0	4604.0	8007.0	1198.0	1239.0	304.0	53.0	0.0	250131.0	3616869.0
Sfa-ABas_018-Ex1-cssl.clmp.fp2_r2_screen	55838.0	14434.0	14910.0	4478.0	7726.0	1186.0	1226.0	318.0	20.0	0.0	253378.0	3614092.0
Sfa-ABas_019-Ex1-cssl.clmp.fp2_r1_screen	50018.0	13633.0	17872.0	3891.0	7032.0	1033.0	1047.0	290.0	33.0	0.0	225782.0	3298224.0
Sfa-ABas_019-Ex1-cssl.clmp.fp2_r2_screen	50689.0	13530.0	17705.0	4004.0	6938.0	993.0	1003.0	223.0	16.0	0.0	229149.0	3294605.0
Sfa-ABas_020-Ex1-cssl.clmp.fp2_r1_screen	32073.0	12833.0	67801.0	2085.0	6605.0	531.0	515.0	280.0	14.0	0.0	163793.0	2077577.0
Sfa-ABas_020-Ex1-cssl.clmp.fp2_r2_screen	32256.0	12657.0	67480.0	2108.0	6505.0	549.0	495.0	288.0	11.0	0.0	164891.0	2076867.0
Sfa-ABas_021-Ex1-cssl.clmp.fp2_r1_screen	22863.0	7052.0	10997.0	1723.0	3267.0	548.0	506.0	143.0	8.0	0.0	97549.0	1478865.0
Sfa-ABas_021-Ex1-cssl.clmp.fp2_r2_screen	23425.0	6920.0	10987.0	1704.0	3320.0	468.0	456.0	141.0	6.0	0.0	98366.0	1477728.0
Sfa-ABas_022-Ex1-cssl.clmp.fp2_r1_screen	55917.0	16840.0	23249.0	4094.0	7903.0	1249.0	1169.0	271.0	21.0	0.0	229440.0	3569650.0
Sfa-ABas_022-Ex1-cssl.clmp.fp2_r2_screen	56684.0	16695.0	23252.0	3899.0	7475.0	1230.0	1137.0	272.0	27.0	0.0	232610.0	3566522.0
Sfa-ABas_023-Ex1-cssl.clmp.fp2_r1_screen	45811.0	10408.0	26331.0	3352.0	6226.0	878.0	952.0	207.0	14.0	0.0	217285.0	2837814.0
Sfa-ABas_023-Ex1-cssl.clmp.fp2_r2_screen	45424.0	10433.0	26154.0	3379.0	6323.0	903.0	1024.0	198.0	15.0	0.0	219186.0	2836239.0
Sfa-ABas_024-Ex1-cssl.clmp.fp2_r1_screen	45678.0	14885.0	34706.0	3331.0	7235.0	869.0	907.0	253.0	23.0	0.0	218242.0	2846329.0
Sfa-ABas_024-Ex1-cssl.clmp.fp2_r2_screen	45048.0	14893.0	34526.0	3263.0	7023.0	868.0	842.0	248.0	20.0	0.0	221302.0	2844425.0
Sfa-ABas_025-Ex1-cssl.clmp.fp2_r1_screen	56732.0	10858.0	5449.0	4134.0	6584.0	1150.0	1028.0	223.0	12.0	0.0	257752.0	3659819.0
Sfa-ABas_025-Ex1-cssl.clmp.fp2_r2_screen	57625.0	10575.0	5393.0	4103.0	6469.0	1026.0	1023.0	236.0	12.0	0.0	259462.0	3657817.0
Sfa-ABas_026-Ex1-cssl.clmp.fp2_r1_screen	72912.0	68614.0	71122.0	5579.0	11637.0	1610.0	1570.0	468.0	46.0	0.0	327510.0	4448466.0
Sfa-ABas_026-Ex1-cssl.clmp.fp2_r2_screen	73511.0	68206.0	70690.0	5650.0	11563.0	1596.0	1587.0	407.0	30.0	0.0	328830.0	4447464.0
Sfa-ABas_027-Ex1-cssl.clmp.fp2_r1_screen	71296.0	23410.0	11270.0	5506.0	9550.0	1628.0	1548.0	316.0	66.0	0.0	318046.0	4019417.0
Sfa-ABas_027-Ex1-cssl.clmp.fp2_r2_screen	71765.0	23479.0	11234.0	5334.0	9367.0	1632.0	1572.0	322.0	16.0	0.0	324162.0	4013170.0
Sfa-ABas_028-Ex1-cssl.clmp.fp2_r1_screen	50634.0	34701.0	30363.0	3721.0	9854.0	1115.0	1025.0	259.0	31.0	0.0	239637.0	3209559.0
Sfa-ABas_028-Ex1-cssl.clmp.fp2_r2_screen	51604.0	34656.0	30389.0	3823.0	10007.0	1067.0	1061.0	268.0	18.0	0.0	242386.0	3205620.0
Sfa-ABas_029-Ex1-cssl.clmp.fp2_r1_screen	44904.0	20475.0	11174.0	3654.0	5635.0	961.0	809.0	236.0	46.0	0.0	218992.0	2893170.0
Sfa-ABas_029-Ex1-cssl.clmp.fp2_r2_screen	44770.0	20169.0	11059.0	3410.0	5663.0	858.0	921.0	281.0	8.0	0.0	221027.0	2891890.0
Sfa-ABas_030-Ex1-cssl.clmp.fp2_r1_screen	60530.0	100250.0	27735.0	4405.0	8712.0	1327.0	1285.0	279.0	69.0	0.0	249804.0	3528033.0
Sfa-ABas_030-Ex1-cssl.clmp.fp2_r2_screen	60842.0	100152.0	27852.0	4497.0	9002.0	1248.0	1331.0	249.0	14.0	0.0	251598.0	3525644.0
Sfa-ABas_031-Ex1-cssl.clmp.fp2_r1_screen	20162.0	1927929.0	5015.0	1243.0	3110.0	391.0	411.0	102.0	27.0	0.0	483391.0	1142221.0
Sfa-ABas_031-Ex1-cssl.clmp.fp2_r2_screen	20268.0	1922989.0	4969.0	1378.0	3168.0	391.0	390.0	85.0	15.0	0.0	484186.0	1146163.0
