Sample	Protists_1k	Bacteria_24k	Human	Bird	Fungi_RefSeq_release	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Sde-ABul_001-Ex1-cssl.clmp.fp2_r1_screen	141406.0	267356.0	22595.0	10305.0	9847.0	2895.0	1629.0	616.0	63.0	1.0	0.0	3974725.0	12764672.0
Sde-ABul_001-Ex1-cssl.clmp.fp2_r2_screen	142983.0	263250.0	22763.0	9872.0	10002.0	2824.0	1511.0	565.0	25.0	0.0	0.0	3962167.0	12780148.0
Sde-ABul_002-Ex1-cssl.clmp.fp2_r1_screen	133208.0	200613.0	23596.0	6638.0	8800.0	2911.0	1554.0	501.0	23.0	0.0	0.0	3303162.0	12563503.0
Sde-ABul_002-Ex1-cssl.clmp.fp2_r2_screen	136217.0	196945.0	23482.0	6406.0	8684.0	2922.0	1587.0	491.0	19.0	0.0	0.0	3291258.0	12576498.0
Sde-ABul_003-Ex1-cssl.clmp.fp2_r1_screen	144616.0	477463.0	32942.0	8146.0	9235.0	2847.0	1522.0	604.0	23.0	0.0	0.0	5079451.0	12495684.0
Sde-ABul_003-Ex1-cssl.clmp.fp2_r2_screen	146136.0	467554.0	32859.0	8030.0	9026.0	2888.0	1461.0	584.0	20.0	0.0	0.0	5057262.0	12526713.0
Sde-ABul_004-Ex1-cssl.clmp.fp2_r1_screen	174345.0	192472.0	25752.0	11334.0	12490.0	3388.0	1820.0	545.0	16.0	0.0	0.0	2952881.0	15757850.0
Sde-ABul_004-Ex1-cssl.clmp.fp2_r2_screen	175821.0	190920.0	25454.0	10905.0	12232.0	3385.0	1757.0	534.0	28.0	1.0	0.0	2948266.0	15763590.0
Sde-ABul_006-Ex1-cssl.clmp.fp2_r1_screen	98046.0	91739.0	9588.0	8898.0	5345.0	1685.0	752.0	305.0	63.0	0.0	0.0	4160008.0	6209997.0
Sde-ABul_006-Ex1-cssl.clmp.fp2_r2_screen	100834.0	91579.0	9441.0	8460.0	5413.0	1591.0	683.0	278.0	11.0	0.0	0.0	4151787.0	6216349.0
Sde-ABul_007-Ex1-cssl.clmp.fp2_r1_screen	125187.0	225597.0	33739.0	7176.0	8528.0	2303.0	1546.0	460.0	20.0	0.0	0.0	3312385.0	13563117.0
Sde-ABul_007-Ex1-cssl.clmp.fp2_r2_screen	127111.0	223593.0	33652.0	6922.0	8528.0	2304.0	1463.0	408.0	20.0	0.0	0.0	3306028.0	13570029.0
Sde-ABul_008-Ex1-cssl.clmp.fp2_r1_screen	50225.0	66270.0	10000.0	5823.0	3799.0	824.0	348.0	215.0	4.0	0.0	0.0	1621182.0	3747540.0
Sde-ABul_008-Ex1-cssl.clmp.fp2_r2_screen	51093.0	65893.0	9915.0	5463.0	3772.0	875.0	345.0	194.0	4.0	0.0	0.0	1616731.0	3751945.0
Sde-ABul_009-Ex1-cssl.clmp.fp2_r1_screen	161641.0	233492.0	21852.0	9968.0	9954.0	3313.0	1489.0	578.0	20.0	1.0	0.0	5153040.0	11557772.0
Sde-ABul_009-Ex1-cssl.clmp.fp2_r2_screen	164769.0	230727.0	21846.0	9611.0	9983.0	3225.0	1441.0	544.0	32.0	0.0	0.0	5142878.0	11568064.0
Sde-ABul_011-Ex1-cssl.clmp.fp2_r1_screen	9780.0	6570.0	1374.0	641.0	509.0	173.0	62.0	40.0	1.0	0.0	0.0	547441.0	592081.0
Sde-ABul_011-Ex1-cssl.clmp.fp2_r2_screen	10247.0	6598.0	1406.0	634.0	538.0	154.0	57.0	42.0	4.0	0.0	0.0	545752.0	593240.0
Sde-ABul_014-Ex1-cssl.clmp.fp2_r1_screen	186519.0	170710.0	33339.0	8348.0	11629.0	3700.0	1453.0	644.0	21.0	0.0	0.0	2856312.0	14379293.0
Sde-ABul_014-Ex1-cssl.clmp.fp2_r2_screen	188901.0	168446.0	33264.0	8197.0	11295.0	3610.0	1423.0	612.0	17.0	0.0	0.0	2851615.0	14384588.0
Sde-ABul_016-Ex1-cssl.clmp.fp2_r1_screen	130484.0	164201.0	14076.0	8181.0	9119.0	2713.0	1543.0	461.0	22.0	0.0	0.0	3921792.0	12262325.0
Sde-ABul_016-Ex1-cssl.clmp.fp2_r2_screen	132973.0	162616.0	14265.0	7918.0	8944.0	2635.0	1477.0	440.0	24.0	0.0	0.0	3911391.0	12272234.0
Sde-ABul_017-Ex1-cssl.clmp.fp2_r1_screen	151054.0	217955.0	30725.0	9495.0	11307.0	3124.0	2079.0	638.0	95.0	0.0	0.0	6103150.0	13233155.0
Sde-ABul_017-Ex1-cssl.clmp.fp2_r2_screen	154645.0	214408.0	30883.0	9322.0	10965.0	3051.0	1917.0	633.0	28.0	0.0	0.0	6085984.0	13250941.0
Sde-ABul_018-Ex1-cssl.clmp.fp2_r1_screen	100371.0	44575.0	10769.0	5485.0	5563.0	2069.0	752.0	316.0	51.0	1.0	0.0	2485531.0	8372268.0
Sde-ABul_018-Ex1-cssl.clmp.fp2_r2_screen	101322.0	44524.0	10773.0	5316.0	5674.0	1946.0	757.0	310.0	12.0	1.0	0.0	2479334.0	8377782.0
Sde-ABul_019-Ex1-cssl.clmp.fp2_r1_screen	209728.0	141786.0	19668.0	10719.0	13282.0	4499.0	1919.0	670.0	27.0	0.0	0.0	3630468.0	16916664.0
Sde-ABul_019-Ex1-cssl.clmp.fp2_r2_screen	211964.0	140653.0	19435.0	10631.0	13281.0	4485.0	1866.0	668.0	25.0	0.0	0.0	3621378.0	16925044.0
Sde-ABul_020-Ex1-cssl.clmp.fp2_r1_screen	79446.0	91007.0	7627.0	4756.0	5205.0	1686.0	927.0	278.0	17.0	2.0	0.0	2652218.0	5953763.0
Sde-ABul_020-Ex1-cssl.clmp.fp2_r2_screen	80731.0	89404.0	7733.0	4679.0	5193.0	1675.0	879.0	298.0	21.0	0.0	0.0	2644639.0	5961680.0
Sde-ABul_021-Ex1-cssl.clmp.fp2_r1_screen	142101.0	248416.0	13471.0	11721.0	9443.0	2719.0	1631.0	574.0	15.0	1.0	0.0	4968019.0	13602630.0
Sde-ABul_021-Ex1-cssl.clmp.fp2_r2_screen	145524.0	243874.0	13417.0	11107.0	9669.0	2668.0	1705.0	566.0	24.0	2.0	0.0	4950554.0	13621631.0
