"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0514234381469551,0.0356013528495004,7.77548481510681e-05,0.17899112826847,0.576252661722814,-9756.28254007873
"Std.",0.000184363509420712,0.000406749127730594,7.64077456474768e-05,0.00905166519793212,0.00257402351431645,1.70384095860062
"Acceptance ratio",0.21854,0.23548,0.10666,0.17178,0.23108,0.65628
"0%",0.0508012810054448,0.034178426323604,1.66541354840958e-08,0.146333245330566,0.567052626779412,-9767.43369016308
"2.5%",0.0510637921917151,0.0348363580364625,1.57878253920357e-06,0.161371037533494,0.57126615462536,-9760.45806434996
"5%",0.0511165271647462,0.0349475634529328,3.89170152419746e-06,0.163984866757285,0.572067485167591,-9759.50119591524
"7.5%",0.0511545280155184,0.0350220137049973,5.69497207135119e-06,0.165774614227529,0.572563100778516,-9758.95260447889
"10%",0.0511838988438963,0.0350894990730825,8.31176581975903e-06,0.16714230893032,0.57296833417634,-9758.57353883694
"12.5%",0.0512103093795439,0.0351367014304507,1.08178373268726e-05,0.168380925848364,0.573273008954202,-9758.24354357963
"15%",0.0512322691819099,0.0351809205300335,1.31993753670267e-05,0.169421121172878,0.573566737243843,-9757.96966790915
"17.5%",0.0512491850262744,0.0352195181510307,1.55953771382909e-05,0.170410882907449,0.573822944146185,-9757.74360440405
"20%",0.0512679915917397,0.0352602878269136,1.74260117920492e-05,0.171327052196978,0.574071728927338,-9757.55829014291
"22.5%",0.0512831578292988,0.0352913537219437,2.01598726025416e-05,0.17214275634641,0.574293317182442,-9757.3791858216
"25%",0.0512951020781925,0.0353221036695793,2.226228553018e-05,0.172808977292168,0.574511074711048,-9757.20394691924
"27.5%",0.05131032795827,0.0353508454052457,2.43197759555711e-05,0.173510928503121,0.574708038812641,-9757.0522638092
"30%",0.0513237897283708,0.0353791027276638,2.74186354033722e-05,0.17419690158769,0.574901342196275,-9756.90885185982
"32.5%",0.0513367342597654,0.0354068043985637,2.99854215381983e-05,0.174875956115136,0.575066355241655,-9756.7729005353
"35%",0.0513508908841715,0.035435236776907,3.3803904748042e-05,0.175468634089156,0.575252965971737,-9756.64599593034
"37.5%",0.0513637873047487,0.0354601530992463,3.71927533535735e-05,0.176099818694566,0.575415924561539,-9756.52934834818
"40%",0.05137701729301,0.035489732160875,4.06125868629654e-05,0.176670002452683,0.575569762987228,-9756.41301270507
"42.5%",0.0513872624206488,0.035513693472269,4.3104219690293e-05,0.177262797102359,0.575726801351617,-9756.29799795342
"45%",0.0514003649373663,0.0355407172036069,4.68592496280958e-05,0.177867891334554,0.575878320935778,-9756.18609334694
"47.5%",0.0514120739924927,0.0355643223219592,4.97736486437296e-05,0.178544315414336,0.576024224871045,-9756.0778758439
"50%",0.05142340301169,0.0355892730403185,5.37124223015645e-05,0.179123665546533,0.576182553235164,-9755.97769104011
"52.5%",0.0514343232280599,0.0356149403112215,5.75970811040957e-05,0.179669326460976,0.576346048431874,-9755.8756235803
"55%",0.0514481488580917,0.0356420560132512,6.21796613279564e-05,0.180189759182043,0.576537582595968,-9755.77499447412
"57.5%",0.0514596111550283,0.0356701187340873,6.64678766985513e-05,0.180780176588687,0.576703146865102,-9755.67795211096
"60%",0.0514716981846738,0.0356935456277901,7.24919644624731e-05,0.181337295957437,0.576898173567615,-9755.58378753734
"62.5%",0.0514840408374466,0.0357195040431262,7.77851033927679e-05,0.181963750606057,0.577064858674256,-9755.49024465959
"65%",0.0514959002384484,0.0357467358742721,8.28232458668003e-05,0.182584902695572,0.577228408969187,-9755.39790639827
"67.5%",0.051509881387827,0.0357775770990278,8.90133110792451e-05,0.183159108647823,0.577406726097279,-9755.30672326256
"70%",0.0515211230397176,0.0358078103032732,9.37991930752219e-05,0.183788196879954,0.577593780288555,-9755.21463067053
"72.5%",0.0515345462191344,0.0358387189970052,0.00010095980698222,0.184392183450863,0.577783361493032,-9755.12574829956
"75%",0.0515481840819281,0.0358699262921034,0.000108194056143719,0.18498372164763,0.577988427307685,-9755.03315311943
"77.5%",0.0515638549620713,0.0359034783694208,0.000116190975952625,0.185713326633628,0.578222368627431,-9754.93359536552
"80%",0.0515811432125912,0.0359435662256095,0.000125946922713907,0.186395903264672,0.578495620247632,-9754.82327850329
"82.5%",0.0515980864332548,0.0359814870328161,0.000135168055786298,0.187267101392561,0.578713894418087,-9754.72109644041
"85%",0.0516179507368632,0.0360231084154467,0.00014866167907108,0.188234541298612,0.578990222319573,-9754.61419369588
"87.5%",0.0516394723029093,0.0360737575077151,0.000163276591239034,0.189360509871584,0.579265840617627,-9754.51192149708
"90%",0.0516657388170879,0.0361267685892373,0.000181995367357241,0.190547394191686,0.579593625081134,-9754.38722202337
"92.5%",0.0516909147201081,0.0362013441320903,0.000200753363106341,0.192051134132774,0.580022889322133,-9754.25646170607
"95%",0.0517272774768836,0.0363001450149344,0.000227323941680234,0.194052072211671,0.580563827406495,-9754.10588116042
"97.5%",0.0517847856468544,0.036432539444883,0.000283248088974747,0.197054634348277,0.581361517300775,-9753.91379319675
"100%",0.0520612894383033,0.0372172291897411,0.000698474403104088,0.218735806367097,0.586351892100855,-9753.31522793633
