Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135
Tzo-AMvi_001_Ex1_L4_clmp.r1r2_fastp	36.5148	36.0382	36.0188	35.986	35.9433	35.9591	35.9597	35.9075	35.9276	35.8652	35.8049	35.776	35.7566	35.7312	35.7243	35.6798	35.6784	35.6916	35.6484	35.6144	35.5632	35.5616	35.5688	35.5138	35.5172	35.4656	35.4698	35.4169	35.4126	35.3853	35.3606	35.358	35.3553	35.3144	35.3085	35.2903	35.2751	35.2409	35.204	35.1892	35.1799	35.1468	35.1457	35.1303	35.101	35.0471	35.0516	34.9916	35.0134	34.9922	34.9781	34.9496	34.9112	34.8967	34.8529	34.807	34.8519	34.7943	34.7929	34.7839	34.7592	34.7081	34.7429	34.6685	34.6377	34.6489	34.6471	34.588	34.6273	34.5909	34.5037	34.4851	34.4993	34.4822	34.4785	34.3956	34.4427	34.4491	34.3829	34.3078	34.3441	34.3664	34.2617	34.2716	34.2333	34.2432	34.3264	34.2488	34.1693	34.1586	34.1911	34.2174	34.116	34.0766	34.1163	34.0915	34.0669	34.0704	34.0791	34.01	34.0234	34.0227	33.9917	33.9832	33.9375	33.8936	33.9909	33.9153	33.9704	34.0127	33.9145	33.9126	33.9589	33.9673	33.9329	33.8354	33.9068	33.8215	33.8504	33.8246	33.7589	33.6665	33.6068	33.6264	33.5653	33.5145	33.5671	33.6397	33.6723	33.3866	33.4049	33.5877	33.5898	33.9423	35.6317
Tzo-AMvi_002_Ex1_L4_clmp.r1r2_fastp	36.5212	36.0393	36.0137	35.985	35.9424	35.9601	35.9508	35.8954	35.9192	35.8628	35.8057	35.7819	35.7578	35.7323	35.7208	35.6854	35.6943	35.7006	35.6472	35.6231	35.5812	35.5721	35.5779	35.5422	35.5486	35.497	35.5082	35.4466	35.4413	35.4065	35.3817	35.3652	35.3711	35.3378	35.3435	35.3141	35.3026	35.2723	35.2399	35.2418	35.2218	35.1763	35.1681	35.1628	35.1368	35.0869	35.0925	35.0425	35.0469	35.0191	35.0063	34.9706	34.9499	34.9128	34.8764	34.83	34.8938	34.8277	34.8305	34.8154	34.7723	34.7372	34.7474	34.6784	34.6492	34.6618	34.6432	34.6026	34.6483	34.6094	34.5176	34.5026	34.508	34.4539	34.4444	34.3729	34.4311	34.4319	34.3601	34.3094	34.3325	34.343	34.206	34.2412	34.1845	34.1915	34.2881	34.2089	34.1314	34.1351	34.1523	34.1765	34.0825	34.05	34.0544	34.0675	34.0113	34.014	34.0094	33.9617	33.9981	33.984	33.9681	33.9782	33.9044	33.8781	33.9622	33.8791	33.9317	34.0013	33.8732	33.8723	33.9134	33.89	33.891	33.7996	33.8654	33.7726	33.7994	33.7956	33.6962	33.6001	33.5534	33.5644	33.5539	33.5281	33.5315	33.603	33.6224	33.37	33.3529	33.6049	33.5558	33.9673	35.6437
Tzo-AMvi_003_Ex1_L4_clmp.r1r2_fastp	36.5173	36.0438	36.0203	35.9902	35.9441	35.9689	35.96	35.9072	35.9219	35.8628	35.8041	35.7789	35.7496	35.7304	35.7161	35.6787	35.6758	35.6838	35.6445	35.6138	35.566	35.5584	35.5717	35.5242	35.5238	35.4656	35.474	35.4109	35.4115	35.384	35.3535	35.3577	35.3521	35.3134	35.313	35.2858	35.2734	35.2405	35.1985	35.1983	35.1787	35.1498	35.1513	35.152	35.1078	35.0542	35.0573	35.0087	35.0146	34.9913	34.9695	34.9447	34.9074	34.8912	34.846	34.7995	34.8423	34.7807	34.7745	34.7698	34.7362	34.6815	34.7106	34.6327	34.6142	34.6125	34.6081	34.5376	34.5971	34.5534	34.4697	34.4452	34.469	34.4237	34.4179	34.3453	34.3928	34.3826	34.3205	34.246	34.2656	34.2897	34.1761	34.2042	34.1553	34.1712	34.2392	34.1637	34.0694	34.0644	34.0928	34.1247	34.0247	34.0118	34.012	33.9964	33.9649	33.9754	33.9741	33.9029	33.9288	33.9133	33.9004	33.8916	33.8329	33.7942	33.8797	33.8216	33.8608	33.9097	33.7999	33.7827	33.8415	33.8525	33.8255	33.7242	33.7771	33.7014	33.7176	33.7122	33.6423	33.5492	33.4746	33.5016	33.4423	33.3869	33.4223	33.5334	33.5437	33.2552	33.2533	33.4929	33.4971	33.8639	35.6034
Tzo-AMvi_004_Ex1_L4_clmp.r1r2_fastp	36.5079	36.0238	35.9992	35.9607	35.9163	35.9391	35.9343	35.8836	35.8933	35.8375	35.7746	35.7533	35.73	35.7056	35.6942	35.6568	35.6415	35.6511	35.6118	35.5787	35.5283	35.5215	35.5396	35.4877	35.489	35.4506	35.453	35.3881	35.3768	35.3498	35.3228	35.3255	35.3201	35.2797	35.2806	35.2623	35.2592	35.2192	35.1791	35.1706	35.1578	35.117	35.1148	35.1116	35.0811	35.0255	35.0276	34.9935	34.9956	34.9786	34.9566	34.9187	34.8807	34.8642	34.8237	34.7953	34.8424	34.7842	34.7785	34.7795	34.7443	34.6903	34.7134	34.6418	34.598	34.5987	34.6149	34.5671	34.6074	34.5605	34.4754	34.4601	34.4743	34.4258	34.4273	34.3454	34.4005	34.4245	34.3425	34.2852	34.2987	34.3203	34.2118	34.2198	34.1843	34.1906	34.2716	34.193	34.1131	34.1051	34.1434	34.1645	34.0632	34.0305	34.0476	34.0226	34.0067	34.0028	34.0015	33.9324	33.9621	33.9741	33.9513	33.9361	33.8867	33.8354	33.927	33.854	33.9172	33.9479	33.8564	33.8287	33.8808	33.8747	33.8655	33.7742	33.818	33.7307	33.7428	33.7572	33.7089	33.5927	33.5338	33.5752	33.5338	33.4688	33.4823	33.5875	33.6142	33.3306	33.3463	33.5565	33.5611	33.9072	35.6214
Tzo-AMvi_005_Ex1_L4_clmp.r1r2_fastp	36.5156	36.0331	36.0121	35.9801	35.9404	35.9577	35.9564	35.907	35.9202	35.864	35.803	35.7833	35.7519	35.735	35.7242	35.6813	35.676	35.6907	35.6525	35.6237	35.5635	35.5611	35.5773	35.5201	35.533	35.4832	35.4832	35.4216	35.4246	35.3878	35.3753	35.3677	35.3693	35.3238	35.32	35.2887	35.2924	35.2457	35.2164	35.2093	35.1862	35.1566	35.1625	35.1514	35.1217	35.0657	35.0679	35.0217	35.0323	35.0113	34.9874	34.9547	34.9321	34.9126	34.883	34.8291	34.879	34.8092	34.806	34.8064	34.7762	34.7263	34.7602	34.6994	34.6664	34.666	34.6658	34.5966	34.6544	34.6162	34.5259	34.5064	34.537	34.498	34.4917	34.4025	34.4707	34.4569	34.3864	34.3121	34.3547	34.3865	34.2679	34.2919	34.2571	34.2613	34.3394	34.266	34.1901	34.1705	34.1969	34.2305	34.151	34.1041	34.125	34.1088	34.075	34.0911	34.0855	34.0198	34.0353	34.0473	34.022	34.0272	33.9695	33.9354	34.0132	33.9353	34.0063	34.0258	33.927	33.9109	33.9847	33.9612	33.9605	33.8455	33.9268	33.8279	33.8647	33.8425	33.7861	33.6775	33.6177	33.659	33.5939	33.5479	33.5993	33.6711	33.7164	33.4196	33.4211	33.6099	33.6347	33.98	35.659
Tzo-AMvi_006_Ex1_L4_clmp.r1r2_fastp	36.4745	35.9503	35.9296	35.8866	35.8519	35.8597	35.8648	35.8115	35.8355	35.7683	35.7083	35.6897	35.6473	35.6361	35.6296	35.5835	35.5901	35.6045	35.5573	35.5157	35.468	35.4551	35.4695	35.4219	35.4257	35.3778	35.3898	35.3162	35.3313	35.2784	35.2651	35.2503	35.2426	35.206	35.2171	35.1824	35.184	35.1478	35.1064	35.0972	35.0898	35.0374	35.0491	35.0278	35.0157	34.9534	34.9706	34.918	34.9527	34.9286	34.9098	34.8546	34.846	34.8133	34.7864	34.749	34.8033	34.7547	34.7699	34.747	34.7373	34.6541	34.7133	34.6181	34.6176	34.62	34.6235	34.5744	34.6499	34.594	34.5257	34.4827	34.5026	34.4728	34.4786	34.3861	34.4685	34.454	34.4025	34.3504	34.3795	34.3993	34.2954	34.2941	34.2591	34.2895	34.3853	34.3107	34.249	34.2167	34.2568	34.298	34.2056	34.1465	34.1821	34.1778	34.1357	34.1509	34.1436	34.0916	34.1281	34.1252	34.1104	34.107	34.0436	33.9907	34.0883	34.0223	34.0685	34.1328	34.0183	34.0345	34.0608	34.0655	34.0802	33.9543	34.0278	33.9425	33.9669	33.9391	33.9018	33.7937	33.7542	33.7561	33.724	33.666	33.7331	33.8249	33.8369	33.5617	33.5615	33.7853	33.7763	34.0899	35.6967
Tzo-AMvi_007_Ex1_L4_clmp.r1r2_fastp	36.5197	36.0442	36.0249	35.9871	35.9493	35.9682	35.9661	35.9244	35.9352	35.874	35.8227	35.7928	35.7629	35.7428	35.7354	35.7038	35.6929	35.7155	35.6675	35.6402	35.5779	35.5787	35.5914	35.5511	35.5508	35.4919	35.4967	35.4497	35.4465	35.4111	35.4051	35.4011	35.3952	35.3513	35.3609	35.3177	35.3249	35.2821	35.2663	35.2463	35.2312	35.2005	35.2007	35.1849	35.1627	35.0979	35.0981	35.0686	35.0894	35.0668	35.0479	35.0135	34.9931	34.975	34.9264	34.9039	34.9523	34.8724	34.8716	34.8702	34.858	34.7978	34.8306	34.7516	34.7327	34.7157	34.7329	34.6813	34.7278	34.6757	34.5974	34.5835	34.6039	34.5544	34.558	34.4809	34.5309	34.5318	34.4573	34.3911	34.413	34.4359	34.3284	34.3596	34.3327	34.3236	34.3948	34.3197	34.254	34.2371	34.2663	34.2857	34.2009	34.1562	34.1934	34.169	34.1253	34.1475	34.1233	34.0734	34.0834	34.074	34.0614	34.0631	34.0099	33.9515	34.0638	34.0047	34.0077	34.0593	33.9449	33.96	34.0054	33.9829	33.9729	33.8819	33.9536	33.8439	33.8865	33.8867	33.8056	33.6968	33.6651	33.6611	33.6203	33.5625	33.5932	33.67	33.7203	33.4056	33.4281	33.617	33.6379	33.9502	35.6588
Tzo-AMvi_008_Ex1_L4_clmp.r1r2_fastp	36.5053	36.018	36.0007	35.9613	35.9159	35.9422	35.9359	35.8763	35.9015	35.8346	35.7801	35.7609	35.7305	35.7068	35.7063	35.6564	35.6546	35.6683	35.6206	35.5968	35.5254	35.5247	35.5426	35.4954	35.4867	35.4456	35.4563	35.3933	35.3817	35.349	35.3357	35.3162	35.3105	35.2796	35.2818	35.2565	35.2596	35.2225	35.188	35.1747	35.1708	35.1294	35.1189	35.1314	35.1037	35.0418	35.0506	35.0104	35.0072	35.0002	34.9638	34.9465	34.9075	34.8969	34.8555	34.8224	34.8566	34.8219	34.8143	34.8063	34.7664	34.7167	34.7378	34.6812	34.6375	34.6613	34.6764	34.6197	34.6544	34.627	34.5369	34.5106	34.5241	34.4936	34.4891	34.4089	34.4527	34.482	34.4017	34.3477	34.3646	34.3896	34.2613	34.2937	34.225	34.2657	34.3355	34.2829	34.1887	34.1964	34.2108	34.2432	34.1634	34.1287	34.1329	34.1268	34.054	34.0975	34.0944	34.0301	34.0283	34.0493	34.0399	34.0027	33.9629	33.9031	34.0079	33.9306	33.9707	34.0269	33.9319	33.9514	33.9732	33.9657	33.942	33.8617	33.9171	33.8363	33.8495	33.8423	33.7817	33.6795	33.6267	33.6222	33.6066	33.5312	33.5756	33.6797	33.6914	33.4029	33.4287	33.6359	33.6575	33.9753	35.6457
Tzo-AMvi_009_Ex1_L4_clmp.r1r2_fastp	36.5367	36.0756	36.0594	36.0254	35.9814	35.9942	35.996	35.9502	35.9626	35.9025	35.8548	35.8259	35.8006	35.789	35.7744	35.7356	35.7266	35.7444	35.7048	35.6781	35.6138	35.6163	35.6271	35.5735	35.5784	35.5199	35.5405	35.4803	35.4863	35.4478	35.4283	35.4323	35.4189	35.3833	35.3797	35.3513	35.34	35.3119	35.2772	35.2536	35.2509	35.2198	35.2164	35.2226	35.1708	35.1256	35.121	35.0753	35.0849	35.0658	35.0526	35.0231	34.9851	34.973	34.9342	34.901	34.9369	34.8759	34.8663	34.8661	34.8362	34.7858	34.8255	34.7529	34.7142	34.721	34.7174	34.6707	34.7134	34.6671	34.5709	34.5639	34.5781	34.5491	34.5355	34.4547	34.5002	34.5115	34.43	34.3725	34.4075	34.4229	34.3181	34.3304	34.2892	34.2988	34.3723	34.2949	34.2301	34.1988	34.2201	34.2753	34.1553	34.127	34.1521	34.144	34.105	34.1105	34.0719	34.037	34.0637	34.048	34.0262	34.0214	33.9798	33.9461	34.0203	33.9542	33.9954	34.0138	33.9207	33.9343	33.9635	33.9628	33.932	33.8332	33.9136	33.782	33.8511	33.8398	33.7652	33.6738	33.5798	33.6131	33.5639	33.515	33.5391	33.6609	33.6506	33.3815	33.3722	33.5991	33.6221	33.9385	35.6387
Tzo-AMvi_010_Ex1_L4_clmp.r1r2_fastp	36.5215	36.0474	36.0259	35.9903	35.959	35.9712	35.9729	35.9174	35.9354	35.8712	35.8134	35.7929	35.7771	35.7579	35.7487	35.7043	35.6934	35.7068	35.6775	35.6431	35.5908	35.5812	35.5993	35.5517	35.5507	35.4993	35.5169	35.4481	35.4592	35.4264	35.408	35.394	35.4063	35.3497	35.3623	35.3332	35.3275	35.2901	35.2514	35.2569	35.2379	35.1871	35.2078	35.1833	35.1618	35.1028	35.1138	35.0793	35.0975	35.0842	35.0427	35.021	34.9945	34.9561	34.9432	34.9099	34.9502	34.8948	34.8905	34.8851	34.8564	34.786	34.8247	34.7595	34.7238	34.7277	34.7437	34.6881	34.7333	34.7076	34.6151	34.5941	34.6134	34.5758	34.5685	34.5016	34.5384	34.551	34.4577	34.4265	34.4351	34.4529	34.3433	34.3724	34.325	34.3214	34.4096	34.3426	34.2602	34.2732	34.2766	34.3147	34.2368	34.1799	34.1964	34.1917	34.16	34.1728	34.1476	34.0971	34.0913	34.1099	34.0938	34.0856	34.0419	34.0117	34.0861	34.0147	34.0562	34.0974	34.0075	34.0172	34.0559	34.0493	34.0392	33.9611	34.0073	33.9143	33.9294	33.9416	33.84	33.7446	33.711	33.7542	33.7064	33.6358	33.6582	33.7536	33.7609	33.485	33.5125	33.744	33.7133	34.0539	35.6786
