pos	3pG>A
1	0.0303535443338075
2	0.0354665492957746
3	0.0233394183961056
4	0.0233030642285525
5	0.0224906000381197
6	0.0321212173897925
7	0.0300776168399731
8	0.0297998643147897
9	0.0284213362068966
10	0.0279393949734682
11	0.0268125626461744
12	0.0266395661699168
13	0.0263264753654575
14	0.025241465940147
15	0.0261864703236661
16	0.0269365902626736
17	0.0261937267338823
18	0.0263908641829856
19	0.0255941032275637
20	0.0264813755509943
21	0.027658854387004
22	0.0269348469047578
23	0.0277066475468606
24	0.0269818650652281
25	0.0278010511082337
