Sequence Name	Extraction_ID
SgA0103511C	Sgr-AMvi_035-Ex1-cssl
SgA0104307D	Sgr-AMvi_043-Ex1-cssl
SgA0104610D	Sgr-AMvi_046-Ex1-cssl
SgA0105406E	Sgr-AMvi_054-Ex1-cssl
SgA0104711D	Sgr-AMvi_047-Ex1-cssl
SgA0104408D	Sgr-AMvi_044-Ex1-cssl
SgA0104812D	Sgr-AMvi_048-Ex1-cssl
SgA0104206D	Sgr-AMvi_042-Ex1-cssl
SgA0103903D	Sgr-AMvi_039-Ex1-cssl
SgA0106909F	Sgr-AMvi_069-Ex1-cssl
SgA0103802D	Sgr-AMvi_038-Ex1-cssl
SgA0101402B	Sgr-AMvi_014-Ex1-cssl
SgA0107907G	Sgr-AMvi_079-Ex1-cssl
SgA0108501H	Sgr-AMvi_085-Ex1-cssl
SgA0100303A	Sgr-AMvi_003-Ex1-cssl
SgA0100606A	Sgr-AMvi_006-Ex1-cssl
SgA0106606F	Sgr-AMvi_066-Ex1-cssl
SgA0102311B	Sgr-AMvi_023-Ex1-cssl
SgA0108602H	Sgr-AMvi_086-Ex1-cssl
SgA0108703H	Sgr-AMvi_087-Ex1-cssl
SgA0102905C	Sgr-AMvi_029-Ex1-cssl
SgA0103701D	Sgr-AMvi_037-Ex1-cssl
SgA0104105D	Sgr-AMvi_041-Ex1-cssl
SgA0107301G	Sgr-AMvi_073-Ex1-cssl
SgA0105305E	Sgr-AMvi_053-Ex1-cssl
SgA0103612C	Sgr-AMvi_036-Ex1-cssl
SgA0104509D	Sgr-AMvi_045-Ex1-cssl
SgA0106202F	Sgr-AMvi_062-Ex1-cssl
SgA0106808F	Sgr-AMvi_068-Ex1-cssl
SgA0107503G	Sgr-AMvi_075-Ex1-cssl
SgA0101806B	Sgr-AMvi_018-Ex1-cssl
SgA0100505A	Sgr-AMvi_005-Ex1-cssl
SgA0105204E	Sgr-AMvi_052-Ex1-cssl
SgA0102210B	Sgr-AMvi_022-Ex1-cssl
SgA0103208C	Sgr-AMvi_032-Ex1-cssl
SgA0107402G	Sgr-AMvi_074-Ex1-cssl
SgA0109309H	Sgr-AMvi_093-Ex1-cssl
SgA0108210G	Sgr-AMvi_082-Ex1-cssl
SgA0106303F	Sgr-AMvi_063-Ex1-cssl
SgA0103410C	Sgr-AMvi_034-Ex1-cssl
SgA0101301B	Sgr-AMvi_013-Ex1-cssl
