Sample	Passed Filter	Low Quality	Too Many N	Too short
Gmi-ABas_001-Ex1-b-cssl2	10853480.0	373558.0	1146.0	30994.0
Gmi-ABas_003-Ex1-b-cssl2	8408140.0	374992.0	846.0	44168.0
Gmi-ABas_004-Ex1-b-cssl2	5833686.0	351212.0	560.0	36006.0
Gmi-ABas_008-Ex1-b-cssl	20123820.0	618926.0	2104.0	18400.0
Gmi-ABas_009-Ex1-b-cssl	10636432.0	271970.0	1154.0	26876.0
Gmi-ABas_010-Ex1-b-cssl	11463902.0	336098.0	1120.0	36978.0
Gmi-ABas_011-Ex1-b-cssl	9179718.0	216558.0	920.0	18922.0
Gmi-ABas_012-Ex1-b-cssl	13016160.0	375816.0	1268.0	42654.0
Gmi-ABas_013-Ex1-b-cssl	7867746.0	191028.0	832.0	12628.0
Gmi-ABas_014-Ex1-b-cssl	1295200.0	32306.0	116.0	3834.0
Gmi-ABas_015-Ex1-b-cssl	11731680.0	213074.0	1222.0	17896.0
Gmi-ABas_016-Ex1-b-cssl	13438298.0	303764.0	1392.0	25080.0
Gmi-ABas_017-Ex1-b-cssl2	11484094.0	240496.0	1092.0	23236.0
Gmi-ABas_018-Ex1-b-cssl2	12178966.0	210148.0	1284.0	20826.0
Gmi-ABas_019-Ex1-b-cssl2	8721780.0	162852.0	922.0	18240.0
Gmi-ABas_022-Ex1-b-cssl2	10219798.0	188630.0	996.0	25808.0
Gmi-ABas_024-Ex1-b-cssl	10888104.0	286060.0	1084.0	26318.0
Gmi-ABas_025-Ex1-b-cssl	9804958.0	192612.0	968.0	22522.0
Gmi-ABas_026-Ex1-b-cssl	19310958.0	349858.0	2116.0	34608.0
Gmi-ABas_027-Ex1-b-cssl	21755370.0	411334.0	2118.0	50242.0
Gmi-ABas_028-Ex1-b-cssl2	18957348.0	341968.0	1894.0	36900.0
Gmi-ABas_029-Ex1-b-cssl	18967828.0	420914.0	1834.0	57250.0
Gmi-ABas_030-Ex1-b-cssl2	15581762.0	278474.0	1522.0	26450.0
Gmi-ABas_031-Ex1-b-cssl	18932866.0	346188.0	1870.0	46274.0
Gmi-ABas_032-Ex1-b-cssl	17391086.0	285292.0	1788.0	27902.0
Gmi-ABas_033-Ex1-b-cssl2	17020616.0	280832.0	1824.0	33546.0
Gmi-ABas_034-Ex1-b-cssl2	15903574.0	200010.0	1604.0	25140.0
Gmi-ABas_035-Ex1-b-cssl2	18701886.0	400414.0	2024.0	38012.0
Gmi-ABas_036-Ex1-b-cssl	19439750.0	338508.0	2066.0	34126.0
Gmi-ABas_037-Ex1-b-cssl	26086170.0	432714.0	2560.0	52344.0
Gmi-ABas_038-Ex1-b-cssl	19532764.0	316046.0	2050.0	38690.0
Gmi-ABas_039-Ex1-b-cssl	15348476.0	253848.0	1590.0	29774.0
