Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Snippy_mqc-generalstats-snippy-VariantTotal
Leq-ABas_001_Ex1-1A-cssl-1-2.1	21.849094949715166	46.0	150.0	9.090909090909092	1824653.0	
Leq-ABas_001_Ex1-1A-cssl-1-2.2	20.692927721810292	47.0	150.0	9.090909090909092	1824653.0	
Leq-ABas_002_Ex1-1D-cssl-1-2.1	23.41792394450117	45.0	150.0	9.090909090909092	4937764.0	
Leq-ABas_002_Ex1-1D-cssl-1-2.2	21.90396454652867	45.0	150.0	9.090909090909092	4937764.0	
Leq-ABas_003_Ex1-1G-cssl-1-2.1	24.151023413100106	46.0	150.0	18.181818181818183	755962.0	
Leq-ABas_003_Ex1-1G-cssl-1-2.2	21.090469885254137	46.0	150.0	9.090909090909092	755962.0	
Leq-ABas_004_Ex1-2C-cssl-1-2.1	22.37692214224259	47.0	150.0	18.181818181818183	1222182.0	
Leq-ABas_004_Ex1-2C-cssl-1-2.2	19.949185140308458	47.0	150.0	9.090909090909092	1222182.0	
Leq-ABas_005_Ex1-2H-cssl-1-2.1	22.420619807895164	47.0	150.0	9.090909090909092	2116135.0	
Leq-ABas_005_Ex1-2H-cssl-1-2.2	21.584830483613374	47.0	150.0	9.090909090909092	2116135.0	
Leq-ABas_006_Ex1-3E3E-cssl-1and2-2.1	24.592130869082567	46.0	150.0	18.181818181818183	3523877.0	
Leq-ABas_006_Ex1-3E3E-cssl-1and2-2.2	21.118129879124353	46.0	150.0	9.090909090909092	3523877.0	
Leq-ABas_008_Ex1-4G-cssl-1-2.1	19.90625003352298	46.0	150.0	9.090909090909092	2067572.0	
Leq-ABas_008_Ex1-4G-cssl-1-2.2	18.942904332262003	46.0	150.0	9.090909090909092	2067572.0	
Leq-ABas_009_Ex1-5D5D-cssl-1and2-2.1	21.968640002581125	46.0	150.0	9.090909090909092	2853588.0	
Leq-ABas_009_Ex1-5D5D-cssl-1and2-2.2	19.609945668806645	46.0	150.0	9.090909090909092	2853588.0	
Leq-ABas_010_Ex1-5H-cssl-1-2.1	20.192759308008007	46.0	150.0	9.090909090909092	795726.0	
Leq-ABas_010_Ex1-5H-cssl-1-2.2	18.77049194554924	46.0	150.0	9.090909090909092	795726.0	
Leq-ABas_011_Ex1-6E6E-cssl-1and2-2.1	19.22921985968516	45.0	150.0	9.090909090909092	2688520.0	
Leq-ABas_011_Ex1-6E6E-cssl-1and2-2.2	17.90113976341236	45.0	150.0	9.090909090909092	2688520.0	
Leq-ABas_012_Ex1-7A-cssl-2-2.1	23.125856002100704	48.0	150.0	18.181818181818183	2335504.0	
Leq-ABas_012_Ex1-7A-cssl-2-2.2	19.757469357792274	48.0	150.0	9.090909090909092	2335504.0	
Leq-ABas_013_Ex1-1B-cssl-2-2.1	26.06289430981296	48.0	150.0	18.181818181818183	738274.0	
Leq-ABas_013_Ex1-1B-cssl-2-2.2	21.28255445498928	49.0	150.0	9.090909090909092	738274.0	
Leq-ABas_013_Ex1-1B1B-cssl-1and2-2.1	26.325750847732763	49.0	150.0	18.181818181818183	326209.0	
Leq-ABas_013_Ex1-1B1B-cssl-1and2-2.2	19.60998368090894	49.0	150.0	9.090909090909092	326209.0	
Leq-ABas_014_Ex1-1E1E-cssl-1and2-2.1	21.240114233039918	46.0	150.0	9.090909090909092	5389331.0	
Leq-ABas_014_Ex1-1E1E-cssl-1and2-2.2	20.09363584989387	46.0	150.0	9.090909090909092	5389331.0	
Leq-ABas_015_Ex1-1H1H-cssl-1and2-2.1	21.13468913467007	48.0	150.0	9.090909090909092	491640.0	
Leq-ABas_015_Ex1-1H1H-cssl-1and2-2.2	19.784497169814102	48.0	150.0	9.090909090909092	491640.0	
Leq-ABas_016_Ex1-2D-cssl-1-2.1	21.649696509573317	46.0	150.0	9.090909090909092	4427837.0	
Leq-ABas_016_Ex1-2D-cssl-1-2.2	20.398179175294047	46.0	150.0	9.090909090909092	4427837.0	
Leq-ABas_017_Ex1-3A3A-cssl-1and2-2.1	23.396775511082097	48.0	150.0	9.090909090909092	1992179.0	
Leq-ABas_017_Ex1-3A3A-cssl-1and2-2.2	22.109526577870653	48.0	150.0	9.090909090909092	1992179.0	
Leq-ABas_018_Ex1-3F3F-cssl-1and2-2.1	24.198557077678217	48.0	150.0	18.181818181818183	1501654.0	
Leq-ABas_018_Ex1-3F3F-cssl-1and2-2.2	21.212638180966294	48.0	150.0	9.090909090909092	1501654.0	
Leq-ABas_019_Ex1-4C4C-cssl-1and2-2.1	21.13731128903342	47.0	150.0	18.181818181818183	1948312.0	
Leq-ABas_019_Ex1-4C4C-cssl-1and2-2.2	18.345203638003582	47.0	150.0	9.090909090909092	1948312.0	
Leq-ABas_020_Ex1-4H-cssl-1-2.1	21.04870217497698	49.0	150.0	9.090909090909092	276541.0	
Leq-ABas_020_Ex1-4H-cssl-1-2.2	19.134127048916113	49.0	150.0	9.090909090909092	276541.0	
Leq-ABas_021_Ex1-5E5E-cssl-1and2-2.1	19.253258219976246	47.0	150.0	9.090909090909092	1399059.0	
Leq-ABas_021_Ex1-5E5E-cssl-1and2-2.2	17.664244945850925	47.0	150.0	9.090909090909092	1399059.0	
Leq-ABas_022_Ex1-6A-cssl-2-2.1	19.144475664626754	47.0	150.0	9.090909090909092	2514906.0	
Leq-ABas_022_Ex1-6A-cssl-2-2.2	18.29384803345748	47.0	150.0	9.090909090909092	2514906.0	
Leq-ABas_023_Ex1-6F6F-cssl-1and2-2.1	22.28781667288456	47.0	150.0	9.090909090909092	2926438.0	
Leq-ABas_023_Ex1-6F6F-cssl-1and2-2.2	21.07660530235937	47.0	150.0	9.090909090909092	2926438.0	
Leq-ABas_025_Ex1-1C1C-cssl-1and2-2.1	22.162187771036557	48.0	150.0	18.181818181818183	1737770.0	
Leq-ABas_025_Ex1-1C1C-cssl-1and2-2.2	19.076431273029044	48.0	150.0	9.090909090909092	1737770.0	
Leq-ABas_026_Ex1-1F-cssl-1-2.1	22.410527466391557	46.0	150.0	9.090909090909092	4241329.0	
