Population	total_n_samples	n_<10x	n_10x-20x	n_20x-30x	n_30x-40x	n_40x-50x	n_>50x
Sde-ABul	78	4	42	25	6	1	0
Sde-AGui	35	35	0	0	0	0	0
Sde-AMar	2	2	0	0	0	0	0
Sde-AMat	2	2	0	0	0	0	0
Sde-ATum	41	0	12	26	3	0	0
Sde-CHam	2	2	0	0	0	0	0
Sde-CJol	64	28	36	0	0	0	0
Sde-CMat	2	2	0	0	0	0	0
Sde-CTum	64	54	10	0	0	0	0
Sde-CVal	43	43	0	0	0	0	0
