file	#_reads_raw	#_reads_fp1	#_reads_clmp	#_reads_fp2	#_reads_fqscrn	#_reads_repr	%_readsRemaining_fp1	%_readsRemaining_clmp	%_readsRemaining_fp2	%_readsRemaining_fqscrn	%_readsRemaining_repr	%_total_readsRemaining
	41610082	17349904	17196110	12765073	12574802	41.6964	99.1136	74.2323	98.5094	0.000331587	0.000100207
	37101296	16371632	16244509	12564160	12392698	44.1268	99.2235	77.344	98.6353	0.000356071	0.000118936
	45347832	18428421	18252533	12496393	12282676	40.6379	99.0456	68.4639	98.2898	0.000330855	8.96138e-05
	43036080	19266200	19132893	15757766	15561981	44.7676	99.3081	82.3596	98.7575	0.000287673	0.000104023
	22587758	10679651	10586426	6209819	6102904	47.2807	99.1271	58.6583	98.2783	0.000774725	0.00020932
	42134190	17418584	17280058	13562993	13406856	41.3407	99.2047	78.4893	98.8488	0.000308355	9.81168e-05
	11207720	5549441	5506230	3747808	3694895	49.5145	99.2213	68.0649	98.5882	0.00134008	0.000441789
	38859165	17301833	17153120	11557795	11367714	44.5245	99.1405	67.3801	98.3554	0.000391675	0.000114579
	1537305	1170476	1158672	592137	581264	76.1382	98.9915	51.1048	98.1638	0.0130987	0.00495271
	37437771	17787914	17651968	14379153	14180949	47.5133	99.2357	81.4592	98.6216	0.00033505	0.000126913
	35617510	16636062	16514917	12262279	12103867	46.7075	99.2718	74.2497	98.7081	0.000385889	0.000131136
	49367697	19934499	19762777	13232722	13014230	40.3796	99.1386	66.9578	98.3489	0.000310273	8.17936e-05
	23203582	11111394	11027751	8372282	8274891	47.8865	99.2472	75.9201	98.8367	0.000578696	0.000206375
	44289102	21096622	20949430	16916971	16692607	47.6339	99.3023	80.7515	98.6737	0.000285359	0.000107552
	17241080	8872832	8796932	5953730	5851445	51.4633	99.1446	67.6796	98.282	0.000879497	0.000298492
	46036648	19181412	19000741	13601790	13391395	41.6655	99.0581	71.5856	98.4532	0.000311136	9.05051e-05
	16967778	8889806	8810492	6147608	6047318	52.3923	99.1078	69.776	98.3686	0.000866372	0.000308775
	21668603	10277691	10167546	5777090	5650465	47.4313	98.9283	56.8189	97.8082	0.000839423	0.000218894
	35689319	15768876	15648327	12577836	12435131	44.1837	99.2355	80.3782	98.8654	0.000355314	0.000123801
	24627411	11555534	11482696	9490881	9392666	46.9214	99.3697	82.6538	98.9652	0.000499554	0.000190525
	41635088	15075807	14938204	9848084	9705415	36.2094	99.0873	65.9255	98.5513	0.000373085	8.69685e-05
	31175974	13076137	12970884	10434529	10313443	41.943	99.1951	80.4458	98.8396	0.000406683	0.000134536
	15796941	8015517	7956608	5682820	5613199	50.7409	99.2651	71.4226	98.7749	0.000903957	0.000321207
	1929808	1437262	1421292	689988	675160	74.4769	98.8889	48.5465	97.851	0.011031	0.00385929
	16027858	8213838	8142872	5415751	5326710	51.2473	99.136	66.5091	98.3559	0.000962082	0.000319739
	35794488	15828468	15701157	12537946	12396546	44.2204	99.1957	79.8536	98.8722	0.000356715	0.00012354
	43079631	18046451	17892708	13562602	13401331	41.8909	99.1481	75.7996	98.8109	0.000312588	9.72406e-05
	44043261	16092816	15950879	11345795	11183911	36.5387	99.118	71.1296	98.5732	0.000326708	8.29609e-05
	33820084	14739526	14635947	11460035	11335854	43.5822	99.2973	78.3006	98.9164	0.000384463	0.000128865
	63114871	22779949	22574954	16789703	16584821	36.0928	99.1001	74.3731	98.7797	0.000217626	5.71859e-05
	35735325	16007991	15891706	12206614	12076138	44.796	99.2736	76.8112	98.9311	0.000370946	0.000125355
	7532501	4229363	4193585	2648062	2609843	56.1482	99.1541	63.1455	98.5567	0.0021514	0.000745412
