file 	#reads_raw	#reads_fp1	#reads_clmp	#reads_fp2	#reads_fqscrn	#reads_repr	%_readLoss_fp1	%_readLoss_clmp	%_readLoss_fp2	%_readLoss_fqscrn	%_readLoss_repr	%_total_readLoss
	41610082	17349904	17196110	12765073	12574802	58.3036	0.886426	25.7677	1.49056	99.9995	99.9999
	37101296	16371632	16244509	12564160	12392698	55.8732	0.776483	22.656	1.36469	99.9995	99.9998
	45347832	18428421	18252533	12496393	12282676	59.3621	0.954439	31.5361	1.71023	99.9995	99.9999
	43036080	19266200	19132893	15757766	15561981	55.2324	0.691922	17.6404	1.24247	99.9996	99.9999
	22587758	10679651	10586426	6209819	6102904	52.7193	0.872922	41.3417	1.72171	99.9991	99.9998
	42134190	17418584	17280058	13562993	13406856	58.6593	0.795277	21.5107	1.1512	99.9996	99.9999
	11207720	5549441	5506230	3747808	3694895	50.4855	0.778655	31.9351	1.41184	99.9986	99.9995
	38859165	17301833	17153120	11557795	11367714	55.4755	0.859522	32.6199	1.64461	99.9995	99.9999
	1537305	1170476	1158672	592137	581264	23.8618	1.00848	48.8952	1.83623	99.9959	99.9984
	37437771	17787914	17651968	14379153	14180949	52.4867	0.76426	18.5408	1.37841	99.9996	99.9999
	35617510	16636062	16514917	12262279	12103867	53.2925	0.728207	25.7503	1.29186	99.9996	99.9999
	49367697	19934499	19762777	13232722	13014230	59.6204	0.861431	33.0422	1.65115	99.9995	99.9999
	23203582	11111394	11027751	8372282	8274891	52.1135	0.752768	24.0799	1.16326	99.9994	99.9998
	44289102	21096622	20949430	16916971	16692607	52.3661	0.697704	19.2485	1.32627	99.9997	99.9999
	17241080	8872832	8796932	5953730	5851445	48.5367	0.85542	32.3204	1.718	99.9992	99.9997
	46036648	19181412	19000741	13601790	13391395	58.3345	0.941907	28.4144	1.54682	99.9996	99.9999
	16967778	8889806	8810492	6147608	6047318	47.6077	0.89219	30.224	1.63137	99.9992	99.9997
	21668603	10277691	10167546	5777090	5650465	52.5687	1.07169	43.1811	2.19185	99.9991	99.9998
	35689319	15768876	15648327	12577836	12435131	55.8163	0.764474	19.6218	1.13458	99.9996	99.9998
	24627411	11555534	11482696	9490881	9392666	53.0786	0.63033	17.3462	1.03484	99.9994	99.9998
	41635088	15075807	14938204	9848084	9705415	63.7906	0.912741	34.0745	1.4487	99.9993	99.9998
	31175974	13076137	12970884	10434529	10313443	58.057	0.804924	19.5542	1.16044	99.9994	99.9998
	15796941	8015517	7956608	5682820	5613199	49.2591	0.734937	28.5774	1.22511	99.9991	99.9997
	1929808	1437262	1421292	689988	675160	25.5231	1.11114	51.4535	2.14902	99.9962	99.9987
	16027858	8213838	8142872	5415751	5326710	48.7527	0.863981	33.4909	1.64411	99.9991	99.9997
	35794488	15828468	15701157	12537946	12396546	55.7796	0.804317	20.1464	1.12778	99.9996	99.9998
	43079631	18046451	17892708	13562602	13401331	58.1091	0.851929	24.2004	1.18909	99.9996	99.9999
	44043261	16092816	15950879	11345795	11183911	63.4613	0.88199	28.8704	1.42682	99.9994	99.9999
	33820084	14739526	14635947	11460035	11335854	56.4178	0.70273	21.6994	1.0836	99.9995	99.9998
	63114871	22779949	22574954	16789703	16584821	63.9072	0.899892	25.6269	1.22028	99.9996	99.9999
	35735325	16007991	15891706	12206614	12076138	55.204	0.726418	23.1888	1.0689	99.9995	99.9998
	7532501	4229363	4193585	2648062	2609843	43.8518	0.845943	36.8545	1.44328	99.9983	99.9994
	31072347	14244372	14123689	10251097	10124054	54.1574	0.847233	27.4191	1.23931	99.9995	99.9998
	20036536	9499217	9428979	6986392	6914866	52.5905	0.739408	25.9051	1.02379	99.9992	99.9997
	31110243	12806664	12711014	10294925	10187853	58.8346	0.746877	19.0078	1.04005	99.9994	99.9998
	47167305	19359594	19203873	15916850	15746867	58.9555	0.804361	17.1165	1.06794	99.9996	99.9999
	38865411	15660854	15546272	11917017	11798795	59.7049	0.731646	23.3449	0.992044	99.9995	99.9998
	40460545	17365439	17247316	14133420	13961301	57.0806	0.680219	18.0544	1.21782	99.9996	99.9999
	46484714	20075110	19933329	16153728	15982230	56.8135	0.706253	18.9612	1.06166	99.9996	99.9999
	47030641	20306288	20153898	15424619	15206103	56.8233	0.750457	23.4658	1.41667	99.9996	99.9999
	34440866	14665324	14557760	11441950	11323138	57.4188	0.733458	21.4031	1.03839	99.9995	99.9998
	11816200	5852505	5805770	4307206	4259349	50.4705	0.798547	25.8116	1.11109	99.9988	99.9996
	37500168	16318434	16168024	11122026	10974627	56.4844	0.921718	31.2097	1.32529	99.9995	99.9998
	40497778	17708565	17553143	13083008	12883113	56.2727	0.877666	25.4663	1.5279	99.9996	99.9999
	27669953	12037559	11936534	9467490	9368058	56.4959	0.839248	20.6848	1.05025	99.9994	99.9998
	44064485	17763782	17626201	14409541	14268836	59.6868	0.774503	18.2493	0.976471	99.9996	99.9999
	9290367	5247484	5212616	3769532	3720993	43.5169	0.664471	27.6844	1.28767	99.9988	99.9995
	56169789	21924471	21743908	17539940	17350658	60.9675	0.823568	19.334	1.07915	99.9996	99.9999
	24331238	11557549	11474101	7629324	7542326	52.4991	0.722022	33.5083	1.14031	99.9993	99.9998
	78776069	30112029	29843858	20182179	19858472	61.7752	0.890578	32.3741	1.60392	99.9997	99.9999
	52968217	21333787	21162806	15705518	15505710	59.7234	0.801456	25.7872	1.27222	99.9996	99.9999
	28425780	13088418	12991737	9601878	9483419	53.9558	0.738676	26.0924	1.23371	99.9994	99.9998
	52092335	18527747	18351966	13510862	13312046	64.4329	0.948745	26.3792	1.47153	99.9995	99.9999
	45640513	18832829	18658393	13168008	12931797	58.7366	0.926234	29.4258	1.79382	99.9995	99.9999
	43285143	18478420	18323072	14067105	13902708	57.31	0.8407	23.2274	1.16866	99.9996	99.9999
	47978733	21414530	21225113	13893619	13676704	55.3666	0.884526	34.5416	1.56126	99.9996	99.9999
	38408994	17310324	17174519	13250011	13103044	54.9316	0.784532	22.8508	1.10918	99.9996	99.9999
	40575479	17798885	17651650	12475109	12309448	56.1339	0.827215	29.3261	1.32793	99.9995	99.9999
	41935877	18623784	18473810	14636455	14455379	55.5899	0.805282	20.7719	1.23716	99.9996	99.9999
	38167266	17812955	17686270	13237404	13066855	53.3292	0.711196	25.1543	1.28839	99.9996	99.9999
	55356815	23057311	22873810	15370273	15153555	58.3478	0.795847	32.8041	1.40998	99.9996	99.9999
	70246990	29696653	29450217	20515202	20235463	57.7254	0.829844	30.3394	1.36357	99.9997	99.9999
	39937902	20565595	20406586	12930873	12742312	48.5061	0.77318	36.6338	1.45822	99.9996	99.9999
	43417497	20271410	20102855	13298892	13108582	53.3105	0.831491	33.8458	1.43102	99.9996	99.9999
	38017138	16046366	15899172	10794201	10635822	57.7918	0.917304	32.1084	1.46726	99.9995	99.9998
	13760679	7654558	7588420	4879999	4810962	44.3737	0.864034	35.6915	1.41469	99.9991	99.9997
	10535620	5863676	5811513	3897110	3840766	44.3443	0.889596	32.9416	1.44579	99.9988	99.9996
	16565775	8842831	8775387	5516310	5414660	46.6199	0.762697	37.1388	1.84272	99.9991	99.9997
	26317221	13452211	13348243	8663305	8497458	48.8844	0.772869	35.0978	1.91436	99.9994	99.9998
	32840055	15104201	14991637	11597711	11466227	54.0068	0.74525	22.6388	1.13371	99.9995	99.9998
	43997761	19916930	19781926	14918881	14735812	54.7319	0.677835	24.5833	1.2271	99.9996	99.9999
	56276292	24705986	24499027	15253360	15004286	56.0988	0.837688	37.7389	1.63291	99.9996	99.9999
	48194861	18561435	18398191	12420859	12173929	61.4867	0.879479	32.4887	1.98803	99.9995	99.9999
	52419188	21404148	21220110	14348942	14102862	59.1673	0.859824	32.3805	1.71497	99.9996	99.9999
	48019059	21470206	21288780	13807134	13577262	55.2882	0.845013	35.1436	1.66488	99.9996	99.9999
	28626497	14076199	13956662	9163667	9007086	50.8281	0.849214	34.342	1.70872	99.9994	99.9998
	24443898	12270831	12162278	7090716	6949590	49.8	0.884643	41.6991	1.99029	99.9993	99.9998
	29638249	13763625	13649679	9830349	9693640	53.5613	0.827878	27.9811	1.39068	99.9994	99.9998
	11206405	7351063	7242392	2464083	2402976	34.403	1.4783	65.9769	2.47991	99.9986	99.9997
	3651924	2324505	2285524	924681	899011	36.3485	1.67696	59.5418	2.77609	99.996	99.999
	7979943	4469944	4404970	2117108	2058090	43.9853	1.45358	51.9382	2.78767	99.9979	99.9994
	4415311	2664452	2622991	1515977	1486968	39.6543	1.55608	42.2043	1.91355	99.9973	99.9991
	2875222	1942029	1918697	510921	493119	32.4564	1.20142	73.3715	3.4843	99.9934	99.9989
	3632041	2051483	2020341	1172816	1157140	43.5171	1.51802	41.9496	1.33661	99.9962	99.9988
	5592721	3269867	3230744	1850667	1819308	41.5335	1.19647	42.717	1.69447	99.9977	99.9993
	2263916	1485665	1465605	727322	715782	34.3763	1.35024	50.3739	1.58664	99.9952	99.9985
	4992807	2972458	2929224	1518011	1491714	40.4652	1.45449	48.177	1.73233	99.9973	99.9992
	3449570	2064935	2032623	1263322	1246006	40.1394	1.5648	37.8477	1.37067	99.9968	99.9988
	4534636	2961817	2917463	1084068	1060974	34.6846	1.49753	62.8421	2.13031	99.9967	99.9992
	1327466	965026	952048	256330	247475	27.3031	1.34483	73.0759	3.45453	99.989	99.9979
	2838822	1968492	1940779	363895	349974	30.6581	1.40783	81.2501	3.82555	99.9912	99.9989
	5820000	4004415	3944163	617652	593893	31.1956	1.50464	84.3401	3.84666	99.9947	99.9995
	5206099	3246887	3183222	1135130	1107596	37.633	1.9608	64.3402	2.42563	99.9966	99.9993
	2445023	1541674	1517856	624448	612590	36.9464	1.54494	58.8599	1.89896	99.994	99.9985
	2424758	1497384	1473448	594191	582106	38.246	1.59852	59.6734	2.03386	99.9934	99.9984
	3970155	2143058	2109828	934962	905439	46.0208	1.55059	55.6854	3.15767	99.9949	99.9988
	7464386	4454449	4394850	1337982	1295224	40.324	1.33797	69.5557	3.19571	99.9969	99.9995
	2817474	1851848	1820301	519963	505372	34.2728	1.70354	71.4353	2.80616	99.9932	99.9988
	6374889	4307629	4246396	686182	658018	32.4282	1.4215	83.8408	4.10445	99.9951	99.9995
	6534471	4225243	4166731	1489666	1459877	35.3392	1.38482	64.2486	1.99971	99.9976	99.9995
	1712532	1168368	1151492	403027	394032	31.7754	1.44441	64.9996	2.23186	99.9919	99.9981
	5055304	3083113	3037740	1567858	1540103	39.0123	1.47166	48.3874	1.77025	99.9975	99.9992
	4349651	3111230	3065638	528920	509963	28.4717	1.4654	82.7468	3.5841	99.9944	99.9993
	4224845	2619925	2583042	806776	778651	37.9877	1.40779	68.7664	3.4861	99.9951	99.9991
	5881025	3887609	3839360	945446	915972	33.8957	1.2411	75.3749	3.11747	99.9963	99.9994
	530977	407779	332769	125032	119646	23.2021	18.3948	62.4268	4.3077	99.9806	99.9956
	1082563	736725	726209	195083	188595	31.9462	1.4274	73.1368	3.32576	99.9831	99.997
	4064929	2781178	2751616	482335	460550	31.5811	1.06293	82.4708	4.51657	99.9931	99.9992
	3543816	2245681	2216033	819028	801053	36.631	1.32022	63.0408	2.19467	99.9954	99.999
	7691954	3953592	3888650	2116381	2059055	48.6009	1.64261	45.5754	2.70868	99.9976	99.9994
