file 	#reads_raw	#reads_fp1	#reads_clmp	#reads_fp2	#reads_fqscrn	#reads_repr	%_readLoss_fp1	%_readLoss_clmp	%_readLoss_fp2	%_readLoss_fqscrn	%_readLoss_repr	%_total_readLoss
./raw_fq_capture/Sgr-AJol_001-Ex1-cssl.1.fq.gz	27260590	26796210	9747738	9658046	7108921	7027972	1.70348	63.6227	0.920131	26.3938	1.1387	74.2193
./raw_fq_capture/Sgr-AJol_001-Ex1-cssl.2.fq.gz	27260590	26796210	9747738	9658046	7112014	7027972	1.70348	63.6227	0.920131	26.3618	1.18169	74.2193
./raw_fq_capture/Sgr-AJol_002-Ex1-cssl.1.fq.gz	11426958	11240419	4450949	4414239	3275825	3238557	1.63245	60.4023	0.824768	25.7896	1.13767	71.6586
./raw_fq_capture/Sgr-AJol_002-Ex1-cssl.2.fq.gz	11426958	11240419	4450949	4414239	3276358	3238557	1.63245	60.4023	0.824768	25.7775	1.15375	71.6586
./raw_fq_capture/Sgr-AJol_003-Ex1-cssl.1.fq.gz	30213971	29723178	10760584	10664248	7850518	7759508	1.62439	63.7973	0.895267	26.3847	1.15929	74.3181
./raw_fq_capture/Sgr-AJol_003-Ex1-cssl.2.fq.gz	30213971	29723178	10760584	10664248	7853053	7759508	1.62439	63.7973	0.895267	26.3609	1.19119	74.3181
./raw_fq_capture/Sgr-AJol_004-Ex1-cssl.1.fq.gz	24356783	24016827	9120101	9047836	6981705	6902531	1.39573	62.0262	0.792371	22.8356	1.13402	71.6607
./raw_fq_capture/Sgr-AJol_004-Ex1-cssl.2.fq.gz	24356783	24016827	9120101	9047836	6982714	6902531	1.39573	62.0262	0.792371	22.8245	1.14831	71.6607
./raw_fq_capture/Sgr-AJol_005-Ex1-cssl.1.fq.gz	15386179	15172904	5279474	5233892	4098626	4053966	1.38615	65.2046	0.863381	21.6907	1.08963	73.6519
./raw_fq_capture/Sgr-AJol_005-Ex1-cssl.2.fq.gz	15386179	15172904	5279474	5233892	4099311	4053966	1.38615	65.2046	0.863381	21.6776	1.10616	73.6519
./raw_fq_capture/Sgr-AJol_006-Ex1-cssl.1.fq.gz	14335125	14053805	5094985	5044818	3110139	3067118	1.96245	63.7466	0.984635	38.3498	1.38325	78.6042
./raw_fq_capture/Sgr-AJol_006-Ex1-cssl.2.fq.gz	14335125	14053805	5094985	5044818	3111393	3067118	1.96245	63.7466	0.984635	38.325	1.423	78.6042
./raw_fq_capture/Sgr-AJol_007-Ex1-cssl.1.fq.gz	17537797	17306308	5903947	5851660	4729501	4676972	1.31994	65.8856	0.885628	19.1768	1.11067	73.332
./raw_fq_capture/Sgr-AJol_007-Ex1-cssl.2.fq.gz	17537797	17306308	5903947	5851660	4730862	4676972	1.31994	65.8856	0.885628	19.1535	1.13912	73.332
./raw_fq_capture/Sgr-AJol_008-Ex1-cssl.1.fq.gz	10491786	10342856	3735855	3704742	2891847	2860085	1.41949	63.8799	0.832821	21.942	1.09833	72.7398
./raw_fq_capture/Sgr-AJol_008-Ex1-cssl.2.fq.gz	10491786	10342856	3735855	3704742	2892519	2860085	1.41949	63.8799	0.832821	21.9239	1.12131	72.7398
./raw_fq_capture/Sgr-AJol_009-Ex1-cssl.1.fq.gz	6238912	6126219	2301549	2280837	1607468	1586495	1.80629	62.4312	0.899916	29.5229	1.30472	74.571
./raw_fq_capture/Sgr-AJol_009-Ex1-cssl.2.fq.gz	6238912	6126219	2301549	2280837	1608172	1586495	1.80629	62.4312	0.899916	29.492	1.34793	74.571
./raw_fq_capture/Sgr-AJol_010-Ex1-cssl.1.fq.gz	8948955	8813991	3255711	3225378	2481214	2451758	1.50815	63.062	0.931686	23.0721	1.18716	72.6029
./raw_fq_capture/Sgr-AJol_010-Ex1-cssl.2.fq.gz	8948955	8813991	3255711	3225378	2481044	2451758	1.50815	63.062	0.931686	23.0774	1.18039	72.6029
./raw_fq_capture/Sgr-AJol_011-Ex1-cssl.1.fq.gz	4214851	4116460	1728089	1713045	1088461	1072499	2.33439	58.02	0.870557	36.4605	1.46647	74.5543
./raw_fq_capture/Sgr-AJol_011-Ex1-cssl.2.fq.gz	4214851	4116460	1728089	1713045	1089331	1072499	2.33439	58.02	0.870557	36.4097	1.54517	74.5543
./raw_fq_capture/Sgr-AJol_012-Ex1-cssl.1.fq.gz	11231375	10991623	4186782	4149181	2536821	2499543	2.13466	61.9093	0.898088	38.8597	1.46948	77.745
./raw_fq_capture/Sgr-AJol_012-Ex1-cssl.2.fq.gz	11231375	10991623	4186782	4149181	2538132	2499543	2.13466	61.9093	0.898088	38.8281	1.52037	77.745
./raw_fq_capture/Sgr-AJol_013-Ex1-cssl.1.fq.gz	19117283	18858052	7101422	7048210	5682413	5621490	1.356	62.3428	0.749315	19.3779	1.07213	70.5947
./raw_fq_capture/Sgr-AJol_013-Ex1-cssl.2.fq.gz	19117283	18858052	7101422	7048210	5683738	5621490	1.356	62.3428	0.749315	19.3591	1.09519	70.5947
./raw_fq_capture/Sgr-AJol_014-Ex1-cssl.1.fq.gz	21818258	21500266	8138026	8074858	6339600	6273377	1.45746	62.1492	0.776208	21.4896	1.04459	71.2471
./raw_fq_capture/Sgr-AJol_014-Ex1-cssl.2.fq.gz	21818258	21500266	8138026	8074858	6340072	6273377	1.45746	62.1492	0.776208	21.4838	1.05196	71.2471
./raw_fq_capture/Sgr-AJol_015-Ex1-cssl.1.fq.gz	14735973	14507742	5465345	5421601	4169064	4121563	1.5488	62.3281	0.800389	23.1027	1.13937	72.0306
./raw_fq_capture/Sgr-AJol_015-Ex1-cssl.2.fq.gz	14735973	14507742	5465345	5421601	4169663	4121563	1.5488	62.3281	0.800389	23.0917	1.15357	72.0306
./raw_fq_capture/Sgr-AJol_016-Ex1-cssl.1.fq.gz	19961804	19667549	7487344	7430105	5689272	5626579	1.47409	61.9305	0.764477	23.4295	1.10195	71.8133
./raw_fq_capture/Sgr-AJol_016-Ex1-cssl.2.fq.gz	19961804	19667549	7487344	7430105	5690499	5626579	1.47409	61.9305	0.764477	23.4129	1.12328	71.8133
./raw_fq_capture/Sgr-AJol_017-Ex1-cssl.1.fq.gz	21368057	20951070	8058144	7993046	5071270	5003737	1.95145	61.5383	0.807854	36.554	1.33168	76.5831
./raw_fq_capture/Sgr-AJol_017-Ex1-cssl.2.fq.gz	21368057	20951070	8058144	7993046	5074569	5003737	1.95145	61.5383	0.807854	36.5127	1.39582	76.5831
./raw_fq_capture/Sgr-AJol_018-Ex1-cssl.1.fq.gz	17575054	17217870	5720320	5665299	3593528	3546335	2.03234	66.7768	0.961852	36.5695	1.31328	79.8218
./raw_fq_capture/Sgr-AJol_018-Ex1-cssl.2.fq.gz	17575054	17217870	5720320	5665299	3594753	3546335	2.03234	66.7768	0.961852	36.5479	1.34691	79.8218
./raw_fq_capture/Sgr-AJol_020-Ex1-cssl.1.fq.gz	11336133	11076361	4105888	4069414	2348784	2315674	2.29154	62.9311	0.888334	42.282	1.40967	79.5726
./raw_fq_capture/Sgr-AJol_020-Ex1-cssl.2.fq.gz	11336133	11076361	4105888	4069414	2349617	2315674	2.29154	62.9311	0.888334	42.2615	1.44462	79.5726
./raw_fq_capture/Sgr-AJol_021-Ex1-cssl.1.fq.gz	9764832	9590029	3440455	3410800	2336440	2305023	1.79013	64.1247	0.86195	31.4988	1.34465	76.3946
./raw_fq_capture/Sgr-AJol_021-Ex1-cssl.2.fq.gz	9764832	9590029	3440455	3410800	2337573	2305023	1.79013	64.1247	0.86195	31.4656	1.39247	76.3946
./raw_fq_capture/Sgr-AJol_022-Ex1-cssl.1.fq.gz	7288896	7124214	2823311	2797959	1619280	1595906	2.25935	60.3702	0.897953	42.1264	1.44348	78.105
./raw_fq_capture/Sgr-AJol_022-Ex1-cssl.2.fq.gz	7288896	7124214	2823311	2797959	1620809	1595906	2.25935	60.3702	0.897953	42.0717	1.53645	78.105
./raw_fq_capture/Sgr-AJol_023-Ex1-cssl.1.fq.gz	9146521	8994361	3349917	3322262	2295666	2265282	1.66358	62.7554	0.825543	30.9005	1.32354	75.2334
./raw_fq_capture/Sgr-AJol_023-Ex1-cssl.2.fq.gz	9146521	8994361	3349917	3322262	2296942	2265282	1.66358	62.7554	0.825543	30.8621	1.37835	75.2334
