file	#_reads_raw	#_reads_fp1	#_reads_clmp	#_reads_fp2	#_reads_fqscrn	#_reads_repr	%_readsRemaining_fp1	%_readsRemaining_clmp	%_readsRemaining_fp2	%_readsRemaining_fqscrn	%_readsRemaining_repr	%_total_readsRemaining
./raw_fq_capture/Sgr-AJol_001-Ex1-cssl.1.fq.gz	27260590	26796210	9747738	9658046	7108921	7027972	98.2965	36.3773	99.0799	73.6062	98.8613	25.7807
./raw_fq_capture/Sgr-AJol_001-Ex1-cssl.2.fq.gz	27260590	26796210	9747738	9658046	7112014	7027972	98.2965	36.3773	99.0799	73.6382	98.8183	25.7807
./raw_fq_capture/Sgr-AJol_002-Ex1-cssl.1.fq.gz	11426958	11240419	4450949	4414239	3275825	3238557	98.3676	39.5977	99.1752	74.2104	98.8623	28.3414
./raw_fq_capture/Sgr-AJol_002-Ex1-cssl.2.fq.gz	11426958	11240419	4450949	4414239	3276358	3238557	98.3676	39.5977	99.1752	74.2225	98.8462	28.3414
./raw_fq_capture/Sgr-AJol_003-Ex1-cssl.1.fq.gz	30213971	29723178	10760584	10664248	7850518	7759508	98.3756	36.2027	99.1047	73.6153	98.8407	25.6819
./raw_fq_capture/Sgr-AJol_003-Ex1-cssl.2.fq.gz	30213971	29723178	10760584	10664248	7853053	7759508	98.3756	36.2027	99.1047	73.6391	98.8088	25.6819
./raw_fq_capture/Sgr-AJol_004-Ex1-cssl.1.fq.gz	24356783	24016827	9120101	9047836	6981705	6902531	98.6043	37.9738	99.2076	77.1644	98.866	28.3393
./raw_fq_capture/Sgr-AJol_004-Ex1-cssl.2.fq.gz	24356783	24016827	9120101	9047836	6982714	6902531	98.6043	37.9738	99.2076	77.1755	98.8517	28.3393
./raw_fq_capture/Sgr-AJol_005-Ex1-cssl.1.fq.gz	15386179	15172904	5279474	5233892	4098626	4053966	98.6139	34.7954	99.1366	78.3093	98.9104	26.3481
./raw_fq_capture/Sgr-AJol_005-Ex1-cssl.2.fq.gz	15386179	15172904	5279474	5233892	4099311	4053966	98.6139	34.7954	99.1366	78.3224	98.8938	26.3481
./raw_fq_capture/Sgr-AJol_006-Ex1-cssl.1.fq.gz	14335125	14053805	5094985	5044818	3110139	3067118	98.0375	36.2534	99.0154	61.6502	98.6167	21.3958
./raw_fq_capture/Sgr-AJol_006-Ex1-cssl.2.fq.gz	14335125	14053805	5094985	5044818	3111393	3067118	98.0375	36.2534	99.0154	61.675	98.577	21.3958
./raw_fq_capture/Sgr-AJol_007-Ex1-cssl.1.fq.gz	17537797	17306308	5903947	5851660	4729501	4676972	98.6801	34.1144	99.1144	80.8232	98.8893	26.668
./raw_fq_capture/Sgr-AJol_007-Ex1-cssl.2.fq.gz	17537797	17306308	5903947	5851660	4730862	4676972	98.6801	34.1144	99.1144	80.8465	98.8609	26.668
./raw_fq_capture/Sgr-AJol_008-Ex1-cssl.1.fq.gz	10491786	10342856	3735855	3704742	2891847	2860085	98.5805	36.1201	99.1672	78.058	98.9017	27.2602
./raw_fq_capture/Sgr-AJol_008-Ex1-cssl.2.fq.gz	10491786	10342856	3735855	3704742	2892519	2860085	98.5805	36.1201	99.1672	78.0761	98.8787	27.2602
./raw_fq_capture/Sgr-AJol_009-Ex1-cssl.1.fq.gz	6238912	6126219	2301549	2280837	1607468	1586495	98.1937	37.5688	99.1001	70.4771	98.6953	25.429
./raw_fq_capture/Sgr-AJol_009-Ex1-cssl.2.fq.gz	6238912	6126219	2301549	2280837	1608172	1586495	98.1937	37.5688	99.1001	70.508	98.6521	25.429
./raw_fq_capture/Sgr-AJol_010-Ex1-cssl.1.fq.gz	8948955	8813991	3255711	3225378	2481214	2451758	98.4918	36.938	99.0683	76.9279	98.8128	27.3971
./raw_fq_capture/Sgr-AJol_010-Ex1-cssl.2.fq.gz	8948955	8813991	3255711	3225378	2481044	2451758	98.4918	36.938	99.0683	76.9226	98.8196	27.3971
./raw_fq_capture/Sgr-AJol_011-Ex1-cssl.1.fq.gz	4214851	4116460	1728089	1713045	1088461	1072499	97.6656	41.98	99.1294	63.5395	98.5335	25.4457
./raw_fq_capture/Sgr-AJol_011-Ex1-cssl.2.fq.gz	4214851	4116460	1728089	1713045	1089331	1072499	97.6656	41.98	99.1294	63.5903	98.4548	25.4457
./raw_fq_capture/Sgr-AJol_012-Ex1-cssl.1.fq.gz	11231375	10991623	4186782	4149181	2536821	2499543	97.8653	38.0907	99.1019	61.1403	98.5305	22.255
./raw_fq_capture/Sgr-AJol_012-Ex1-cssl.2.fq.gz	11231375	10991623	4186782	4149181	2538132	2499543	97.8653	38.0907	99.1019	61.1719	98.4796	22.255
./raw_fq_capture/Sgr-AJol_013-Ex1-cssl.1.fq.gz	19117283	18858052	7101422	7048210	5682413	5621490	98.644	37.6572	99.2507	80.6221	98.9279	29.4053
./raw_fq_capture/Sgr-AJol_013-Ex1-cssl.2.fq.gz	19117283	18858052	7101422	7048210	5683738	5621490	98.644	37.6572	99.2507	80.6409	98.9048	29.4053
./raw_fq_capture/Sgr-AJol_014-Ex1-cssl.1.fq.gz	21818258	21500266	8138026	8074858	6339600	6273377	98.5425	37.8508	99.2238	78.5104	98.9554	28.7529
./raw_fq_capture/Sgr-AJol_014-Ex1-cssl.2.fq.gz	21818258	21500266	8138026	8074858	6340072	6273377	98.5425	37.8508	99.2238	78.5162	98.948	28.7529
./raw_fq_capture/Sgr-AJol_015-Ex1-cssl.1.fq.gz	14735973	14507742	5465345	5421601	4169064	4121563	98.4512	37.6719	99.1996	76.8973	98.8606	27.9694
