Population	total_n_samples	n_mappedReads<100k	n_100-250k	n_250-500k	n_500k-1M	n_1-2M	n_>2M
Sgr-AJol	92	0	0	1	10	40	41
Sgr-AMvi	86	31	5	4	18	25	3
Sgr-APal	37	9	5	10	5	4	4
Sgr-CJol	61	3	33	25	0	0	0
Sgr-CMas	64	2	20	33	8	0	1
Sgr-CMvi	61	8	13	11	18	10	1
