pos	5pC>T
1	0.0198415098905087
2	0.0328545780969479
3	0.0174277520405912
4	0.0214540155440415
5	0.0211768644848079
6	0.0331119803511325
7	0.0324046797407626
8	0.0277645942097769
9	0.0292959521184438
10	0.0300421795644314
11	0.0243920801023865
12	0.0249307479224377
13	0.0267123833825054
14	0.0278562777553492
15	0.0261591478696742
16	0.027869247450004
17	0.0253113700281237
18	0.0289299128905938
19	0.0258891846116622
20	0.0277059773828756
21	0.0313186366224681
22	0.0286579873904855
23	0.0317473139995153
24	0.0284086284086284
25	0.0306813545491636
