Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
SdA01001_CKDL210020579-1a-5UDI301-AK533_HKGLMDSX2_L2_fastp	76.2021	0.931014	3097693101.0	0.422593	95.41713256850953	67.72971306949799
SdA01002_CKDL210020579-1a-5UDI301-AK7557_HKGLMDSX2_L2_fastp	71.7784	0.92468	4461454151.0	0.419722	95.29693662929066	74.17965288475756
SdA01003_CKDL210020579-1a-5UDI301-AK8488_HKGLMDSX2_L2_fastp	77.8274	0.936948	3217274026.0	0.420569	94.7920022797334	64.80614871325906
SdA01005_CKDL210020579-1a-5UDI301-GC06_HKGLMDSX2_L2_fastp	70.7884	0.932598	5722761448.0	0.416041	95.50305348609187	76.29760690890741
SdA01006_CKDL210020579-1a-5UDI301-AK4236_HKGLMDSX2_L2_fastp	80.0513	0.93455	2816440747.0	0.471085	94.89522990484467	52.58952103595876
SdA01007_CKDL210020579-1a-5UDI301-AK10343_HKGLMDSX2_L2_fastp	76.75189999999999	0.936336	4170961451.0	0.416486	96.05493117712733	65.39558357526506
SdA01008_CKDL210020579-1a-5UDI301-AK4234_HKGLMDSX2_L2_fastp	63.273900000000005	0.885301	582885986.0	0.426772	79.7920233265438	62.80564208729482
SdA01009_CKDL210020579-1a-5UDI301-GD06_HKGLMDSX2_L2_fastp	71.6604	0.909598	1612316982.0	0.440813	91.32468864672691	73.04333573049094
SdA01010_CKDL210020579-1a-AK7758-AK533_HKGLMDSX2_L2_fastp	74.65220000000001	0.931604	4738813017.0	0.415138	96.216326468333	75.08124187328492
SdA01011_CKDL210020579-1a-AK7758-AK7557_HKGLMDSX2_L2_fastp	74.9336	0.936128	2533125885.0	0.417025	95.957889767589	69.52529059591188
SdA01012_CKDL210020579-1a-AK7758-AK8488_HKGLMDSX2_L2_fastp	76.42020000000001	0.939954	5409859799.0	0.414862	96.88255825284462	72.71612481457184
SdA01013_CKDL210020579-1a-AK7758-GC06_HKGLMDSX2_L2_fastp	72.30969999999999	0.927749	5150781904.0	0.410667	95.83018416154019	72.55291199609874
SdA01014_CKDL210020579-1a-AK7758-AK4236_HKGLMDSX2_L2_fastp	75.1627	0.936232	4596717759.0	0.420927	96.33235340357913	70.29175864248649
SdA01015_CKDL210020579-1a-AK7758-AK10343_HKGLMDSX2_L2_fastp	74.9744	0.927853	4161967129.0	0.416746	95.73379216896296	65.25902225784891
SdA01016_CKDL210020579-1a-AK7758-AK4234_HKGLMDSX2_L2_fastp	75.0954	0.926374	3669928971.0	0.413713	94.495550719539	61.94626081437888
SdA01017_CKDL210020579-1a-AK7758-GD06_HKGLMDSX2_L2_fastp	74.0314	0.917026	2864865280.0	0.437891	92.69818504313304	68.581591156955
SdA01018_CKDL210020579-1a-AK7078-AK533_HKGLMDSX2_L2_fastp	75.8582	0.93584	5013579400.0	0.412459	96.55689738823988	70.93088564745995
SdA01019_CKDL210020579-1a-AK7078-AK7557_HKGLMDSX2_L2_fastp	75.8023	0.935486	4352545819.0	0.410304	96.10099597149471	67.65430439507462
SdA01020_CKDL210020579-1a-AK7078-AK8488_HKGLMDSX2_L2_fastp	78.05199999999999	0.940668	3943889448.0	0.422285	96.97359691684998	68.74762818074144
SdA01021_CKDL210020579-1a-AK7078-GC06_HKGLMDSX2_L2_fastp	74.2799	0.938594	4788836407.0	0.413342	96.25054740429762	73.23159759536179
SdA01022_CKDL210020579-1a-AK7078-AK4236_HKGLMDSX2_L2_fastp	77.3978	0.939127	3660423991.0	0.427976	95.79656895260737	68.56422317366466
SdA01023_CKDL210020579-1a-AK7078-AK10343_HKGLMDSX2_L2_fastp	76.214	0.932023	4268043769.0	0.42169	96.26541622300746	70.27520323879216
SdA01024_CKDL210020579-1a-AK7078-AK4234_HKGLMDSX2_L2_fastp	73.8331	0.914071	1484346201.0	0.418874	92.12109554778088	70.38718233157121
SdA01025_CKDL210020579-1a-AK7078-GD06_HKGLMDSX2_L2_fastp	78.0009	0.934721	5165502289.0	0.424301	97.14664347874806	62.49990342132497
SdA01026_CKDL210020579-1a-AK9143-AK533_HKGLMDSX2_L2_fastp	78.6439	0.930195	2689246423.0	0.414025	95.22662264586353	62.347544703898194
SdA01027_CKDL210020579-1a-AK9143-AK7557_HKGLMDSX2_L2_fastp	77.3058	0.937358	3009390022.0	0.422414	93.98904930913707	63.72444137777503
SdA01028_CKDL210020579-1a-AK9143-AK8488_HKGLMDSX2_L2_fastp	73.9768	0.918563	1005271901.0	0.419055	95.35002289551336	63.35135507847238
SdA01029_CKDL210020579-1a-AK9143-GC06_HKGLMDSX2_L2_fastp	74.2718	0.924829	4446982842.0	0.416098	95.25690681277534	67.31294117506896
SdA01030_CKDL210020579-1a-AK9143-AK4236_HKGLMDSX2_L2_fastp	74.2625	0.932722	3502576720.0	0.419263	95.73108330097133	68.83147536812693
SdA01031_CKDL210020579-1a-AK9143-AK10343_HKGLMDSX2_L2_fastp	74.1767	0.943025	3029893860.0	0.41482	96.73112860807373	72.45718957512133
SdA01032_CKDL210020579-1a-AK9143-AK4234_HKGLMDSX2_L2_fastp	74.12440000000001	0.921969	1578307393.0	0.420285	94.96104314575119	64.17767829429198
SdA01033_CKDL210020579-1a-AK9143-GD06_HKGLMDSX2_L2_fastp	74.1875	0.940342	3778071740.0	0.42285	96.27147532098672	73.72124298544497
SdA01034_CKDL210020579-1a-5UDI225-AK533_HKGLMDSX2_L2_fastp	77.7842	0.93182	4881616804.0	0.412104	96.37707039043013	69.95366638925033
SdA01035_CKDL210020579-1a-5UDI225-AK7557_HKGLMDSX2_L2_fastp	78.2609	0.94027	3363926729.0	0.419288	94.14654941158011	68.20686508072875
SdA01036_CKDL210020579-1a-5UDI225-AK8488_HKGLMDSX2_L2_fastp	76.7146	0.941544	3723771846.0	0.415294	97.50769898920043	73.96982700666057
SdA01037_CKDL210020579-1a-5UDI225-GC06_HKGLMDSX2_L2_fastp	78.684	0.942799	3335232679.0	0.424877	95.58405022965263	65.02322837548853
SdA01038_CKDL210020579-1a-5UDI225-AK4236_HKGLMDSX2_L2_fastp	78.0715	0.927298	1251004296.0	0.452955	93.08876306424796	63.283904874345495
SdA01039_CKDL210020579-1a-5UDI225-AK10343_HKGLMDSX2_L2_fastp	78.5831	0.930539	3925429233.0	0.417947	95.73263906640315	59.4925950148578
SdA01040_CKDL210020579-1a-5UDI225-AK4234_HKGLMDSX2_L2_fastp	76.8204	0.936511	1654109757.0	0.411313	96.71562901841219	60.94428204132322
SdA01041_CKDL210020579-1a-5UDI225-GD06_HKGLMDSX2_L2_fastp	79.18220000000001	0.935631	3273137008.0	0.42114	94.8578185097119	64.2897906089875
SdA01042_CKDL210020579-1a-AK9144-AK533_HKGLMDSX2_L2_fastp	78.06530000000001	0.939193	6226351550.0	0.404582	96.57719690657363	74.21543331545156
SdA01043_CKDL210020579-1a-AK9144-AK7557_HKGLMDSX2_L2_fastp	78.335	0.924736	1577299948.0	0.418104	95.0456394175541	64.50368191837967
SdA01045_CKDL210020579-1a-AK9144-GC06_HKGLMDSX2_L2_fastp	77.60810000000001	0.929925	5945717565.0	0.415029	95.3115265220086	71.49099919293324
SdA01046_CKDL210020579-1a-AK9144-AK4236_HKGLMDSX2_L2_fastp	78.8262	0.932518	3370433396.0	0.437142	94.37226794164008	71.11537638782531
SdA01047_CKDL210020579-1a-AK9144-AK10343_HKGLMDSX2_L2_fastp	82.15299999999999	0.933893	2142754253.0	0.486331	94.36063186077644	57.240294511378856
SdA01048_CKDL210020579-1a-AK9144-AK4234_HKGLMDSX2_L2_fastp	78.99770000000001	0.923361	2963424882.0	0.408331	93.385296720642	61.468928253639774
SdA01049_CKDL210020579-1a-AK9144-GD06_HKGLMDSX2_L2_fastp	76.5668	0.91381	6418829723.0	0.41931	93.63284923212322	69.63480853380389
SdA01050_CKDL210020579-1a-AK3911-GC06_HKGLMDSX2_L2_fastp	72.81689999999999	0.925647	4138359372.0	0.412524	94.42365507157072	72.0725078813194
SdA01051_CKDL210020579-1a-AK3911-GD06_HKGLMDSX2_L2_fastp	75.399	0.931872	5039665722.0	0.406924	96.27125246947553	69.54695088655018
SdA01052_CKDL210020579-1a-5UDI245-GC06_HKGLMDSX2_L2_fastp	73.9171	0.930487	4004932013.0	0.404324	95.15086309815815	71.8739987826934
