Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Sgr-CJol_001-Ex1-cssl.1	Sgr-CJol_001-Ex1-cssl.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7361922.0	0.0	150.0	47.0	6.2519724771619005	150.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	warn	fail
Sgr-CJol_001-Ex1-cssl.2	Sgr-CJol_001-Ex1-cssl.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7361922.0	0.0	150.0	47.0	8.112481752435595	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
Sgr-CJol_002-Ex1-cssl.1	Sgr-CJol_002-Ex1-cssl.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6829774.0	0.0	150.0	47.0	6.2886612526759205	150.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	warn	fail
Sgr-CJol_002-Ex1-cssl.2	Sgr-CJol_002-Ex1-cssl.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6829774.0	0.0	150.0	47.0	8.266621677546722	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
Sgr-CJol_003-Ex1-cssl.1	Sgr-CJol_003-Ex1-cssl.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6564365.0	0.0	150.0	46.0	5.111114418293578	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
Sgr-CJol_003-Ex1-cssl.2	Sgr-CJol_003-Ex1-cssl.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6564365.0	0.0	150.0	46.0	7.422583690810615	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
Sgr-CJol_004-Ex1-cssl.1	Sgr-CJol_004-Ex1-cssl.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4457855.0	0.0	150.0	47.0	6.680412109945536	150.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	warn	fail
Sgr-CJol_004-Ex1-cssl.2	Sgr-CJol_004-Ex1-cssl.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4457855.0	0.0	150.0	47.0	9.252241059785097	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
Sgr-CJol_006-Ex1-cssl.1	Sgr-CJol_006-Ex1-cssl.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7859070.0	0.0	150.0	47.0	6.324020854564498	150.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	warn	fail
Sgr-CJol_006-Ex1-cssl.2	Sgr-CJol_006-Ex1-cssl.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7859070.0	0.0	150.0	47.0	8.283850180403727	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
Sgr-CJol_007-Ex1-cssl.1	Sgr-CJol_007-Ex1-cssl.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13972450.0	0.0	150.0	47.0	5.696672863104623	150.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	warn	fail
Sgr-CJol_007-Ex1-cssl.2	Sgr-CJol_007-Ex1-cssl.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13972450.0	0.0	150.0	47.0	7.962492239396096	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
Sgr-CJol_008-Ex1-cssl.1	Sgr-CJol_008-Ex1-cssl.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10208167.0	0.0	150.0	47.0	6.179536993164529	150.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	warn	fail
Sgr-CJol_008-Ex1-cssl.2	Sgr-CJol_008-Ex1-cssl.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10208167.0	0.0	150.0	47.0	8.61038721672229	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
