Sample	Protists_1k	Human	Bacteria_24k	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	nt	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
Sgr-AJol_001-Ex1-cssl.clmp.fp2_r1_screen	90873.0	6807.0	12553.0	5177.0	2052.0	1854.0	852.0	316.0	19.0	nan	0.0	0.0	2428256.0	7109287.0
Sgr-AJol_001-Ex1-cssl.clmp.fp2_r2_screen	91828.0	6880.0	12402.0	4976.0	2066.0	1935.0	804.0	281.0	9.0	nan	0.0	0.0	2424680.0	7112185.0
Sgr-AJol_002-Ex1-cssl.clmp.fp2_r1_screen	41109.0	3352.0	19059.0	2244.0	909.0	807.0	319.0	283.0	7.0	nan	0.0	0.0	1070344.0	3275806.0
Sgr-AJol_002-Ex1-cssl.clmp.fp2_r2_screen	41624.0	3409.0	19031.0	2205.0	911.0	867.0	377.0	284.0	4.0	nan	0.0	0.0	1069279.0	3276248.0
Sgr-AJol_003-Ex1-cssl.clmp.fp2_r1_screen	100702.0	7645.0	18104.0	5679.0	2329.0	2131.0	994.0	410.0	9.0	nan	0.0	0.0	2675226.0	7851019.0
Sgr-AJol_003-Ex1-cssl.clmp.fp2_r2_screen	101217.0	7784.0	17956.0	5674.0	2389.0	2148.0	1097.0	401.0	21.0	nan	0.0	0.0	2672409.0	7853152.0
Sgr-AJol_004-Ex1-cssl.clmp.fp2_r1_screen	83707.0	7258.0	41204.0	4699.0	1982.0	1671.0	818.0	1005.0	9.0	nan	0.0	0.0	1924173.0	6981310.0
Sgr-AJol_004-Ex1-cssl.clmp.fp2_r2_screen	83944.0	7269.0	40972.0	4794.0	1925.0	1685.0	826.0	1029.0	13.0	nan	0.0	0.0	1922260.0	6983119.0
Sgr-AJol_005-Ex1-cssl.clmp.fp2_r1_screen	47462.0	3803.0	20450.0	2855.0	1181.0	1050.0	537.0	270.0	19.0	nan	0.0	0.0	1057605.0	4098660.0
Sgr-AJol_005-Ex1-cssl.clmp.fp2_r2_screen	48132.0	3911.0	20425.0	2819.0	1167.0	1054.0	526.0	279.0	8.0	nan	0.0	0.0	1056387.0	4099184.0
Sgr-AJol_006-Ex1-cssl.clmp.fp2_r1_screen	46965.0	3619.0	11367.0	2355.0	1099.0	1003.0	488.0	166.0	63.0	nan	0.0	0.0	1867563.0	3110130.0
Sgr-AJol_006-Ex1-cssl.clmp.fp2_r2_screen	47969.0	3597.0	11562.0	2475.0	1082.0	1007.0	448.0	169.0	9.0	nan	0.0	0.0	1864857.0	3111643.0
Sgr-AJol_007-Ex1-cssl.clmp.fp2_r1_screen	57258.0	5286.0	18693.0	3273.0	1287.0	1164.0	517.0	403.0	8.0	nan	0.0	0.0	1034460.0	4729311.0
Sgr-AJol_007-Ex1-cssl.clmp.fp2_r2_screen	57561.0	5303.0	18591.0	3122.0	1352.0	1189.0	533.0	367.0	5.0	nan	0.0	0.0	1032570.0	4731067.0
Sgr-AJol_008-Ex1-cssl.clmp.fp2_r1_screen	35160.0	2741.0	4103.0	2009.0	866.0	763.0	331.0	143.0	5.0	nan	0.0	0.0	766700.0	2891921.0
Sgr-AJol_008-Ex1-cssl.clmp.fp2_r2_screen	35257.0	2731.0	4108.0	1954.0	791.0	787.0	319.0	139.0	7.0	nan	0.0	0.0	765987.0	2892662.0
Sgr-AJol_009-Ex1-cssl.clmp.fp2_r1_screen	22907.0	1652.0	3240.0	1359.0	566.0	495.0	239.0	132.0	3.0	nan	0.0	0.0	642711.0	1607533.0
Sgr-AJol_009-Ex1-cssl.clmp.fp2_r2_screen	23219.0	1668.0	3163.0	1261.0	602.0	507.0	248.0	146.0	5.0	nan	0.0	0.0	641800.0	1608218.0
