Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage	nt counts	nt percentage
Sgr-AJol_001-Ex1-cssl.clmp.fp2_r1_screen	9658046	2389318.0	24.74	50.0	0.0	0.0	0.0	195.0	0.0	1377156.0	14.26	2206075.0	22.84	2508713.0	25.98	2201167.0	22.790000000000003	2382637.0	24.66	2240035.0	23.19	2239429.0	23.19	2283219.0	23.639999999999997	7109287	73.61		
Sgr-AJol_001-Ex1-cssl.clmp.fp2_r2_screen	9658046	2385309.0	24.689999999999998	52.0	0.0	0.0	0.0	23.0	0.0	1367400.0	14.15	2197804.0	22.74	2506161.0	25.95	2195068.0	22.720000000000002	2378355.0	24.619999999999997	2233247.0	23.12	2234757.0	23.14	2278689.0	23.599999999999998	7112185	73.64		
Sgr-AJol_002-Ex1-cssl.clmp.fp2_r1_screen	4414239	1053530.0	23.86	245.0	0.0	0.0	0.0	46.0	0.0	624071.0	14.139999999999999	986032.0	22.34	1106939.0	25.080000000000002	970038.0	21.96	1048715.0	23.759999999999998	985451.0	22.32	996604.0	22.580000000000002	1004973.0	22.759999999999998	3275806	74.21		
Sgr-AJol_002-Ex1-cssl.clmp.fp2_r2_screen	4414239	1052038.0	23.83	239.0	0.0	0.0	0.0	6.0	0.0	619684.0	14.04	983275.0	22.27	1106219.0	25.05	968054.0	21.93	1047661.0	23.740000000000002	983336.0	22.28	994499.0	22.53	1003392.0	22.73	3276248	74.22		
Sgr-AJol_003-Ex1-cssl.clmp.fp2_r1_screen	10664248	2631723.0	24.68	45.0	0.0	0.0	0.0	234.0	0.0	1568556.0	14.709999999999999	2436883.0	22.86	2763801.0	25.92	2428107.0	22.76	2622769.0	24.59	2469331.0	23.16	2473962.0	23.2	2513994.0	23.58	7851019	73.62		
Sgr-AJol_003-Ex1-cssl.clmp.fp2_r2_screen	10664248	2627751.0	24.639999999999997	46.0	0.0	0.0	0.0	21.0	0.0	1557439.0	14.61	2427228.0	22.76	2761093.0	25.88	2421153.0	22.700000000000003	2619066.0	24.560000000000002	2462052.0	23.08	2468901.0	23.15	2509713.0	23.54	7853152	73.64		
Sgr-AJol_004-Ex1-cssl.clmp.fp2_r1_screen	9047836	1887598.0	20.869999999999997	976.0	0.01	0.0	0.0	169.0	0.0	1128907.0	12.48	1764031.0	19.49	1998171.0	22.09	1725788.0	19.07	1879400.0	20.77	1757366.0	19.43	1768581.0	19.55	1792106.0	19.81	6981310	77.16		
Sgr-AJol_004-Ex1-cssl.clmp.fp2_r2_screen	9047836	1886009.0	20.84	951.0	0.01	0.0	0.0	9.0	0.0	1123122.0	12.41	1758268.0	19.439999999999998	1997388.0	22.08	1721811.0	19.03	1878427.0	20.759999999999998	1753389.0	19.38	1766207.0	19.52	1789695.0	19.77	6983119	77.18		
Sgr-AJol_005-Ex1-cssl.clmp.fp2_r1_screen	5233892	1037587.0	19.83	257.0	0.0	0.0	0.0	99.0	0.0	584467.0	11.17	963920.0	18.42	1099547.0	21.0	946096.0	18.07	1033407.0	19.75	964456.0	18.43	978994.0	18.7	982720.0	18.779999999999998	4098660	78.31		
Sgr-AJol_005-Ex1-cssl.clmp.fp2_r2_screen	5233892	1036142.0	19.79	257.0	0.0	0.0	0.0	9.0	0.0	581251.0	11.11	960218.0	18.35	1098652.0	21.0	942969.0	18.009999999999998	1031763.0	19.7	961478.0	18.369999999999997	976333.0	18.65	979978.0	18.720000000000002	4099184	78.32		
Sgr-AJol_006-Ex1-cssl.clmp.fp2_r1_screen	5044818	1843477.0	36.54	35.0	0.0	0.0	0.0	90.0	0.0	1186488.0	23.52	1735260.0	34.4	1907682.0	37.809999999999995	1731940.0	34.33	1837852.0	36.44	1753674.0	34.76	1763593.0	34.96	1784805.0	35.38	3110130	61.65		
Sgr-AJol_006-Ex1-cssl.clmp.fp2_r2_screen	5044818	1840933.0	36.49	35.0	0.0	0.0	0.0	14.0	0.0	1179686.0	23.380000000000003	1729838.0	34.29	1906396.0	37.78	1727610.0	34.239999999999995	1835612.0	36.379999999999995	1749201.0	34.67	1759869.0	34.88	1781272.0	35.31	3111643	61.68		
Sgr-AJol_007-Ex1-cssl.clmp.fp2_r1_screen	5851660	1011624.0	17.28	561.0	0.01	0.0	0.0	104.0	0.0	550754.0	9.41	922801.0	15.77	1085703.0	18.560000000000002	905432.0	15.469999999999999	1006026.0	17.2	925477.0	15.81	942196.0	16.1	948169.0	16.2	4729311	80.82		
Sgr-AJol_007-Ex1-cssl.clmp.fp2_r2_screen	5851660	1009874.0	17.27	572.0	0.01	0.0	0.0	7.0	0.0	548051.0	9.37	919593.0	15.719999999999999	1084381.0	18.53	902864.0	15.42	1004347.0	17.169999999999998	922987.0	15.770000000000001	939996.0	16.060000000000002	946316.0	16.17	4731067	80.85		
Sgr-AJol_008-Ex1-cssl.clmp.fp2_r1_screen	3704742	752442.0	20.310000000000002	86.0	0.0	0.0	0.0	36.0	0.0	409827.0	11.059999999999999	685290.0	18.5	797879.0	21.529999999999998	683160.0	18.43	749027.0	20.22	696938.0	18.82	704429.0	19.02	711449.0	19.21	2891921	78.06		
Sgr-AJol_008-Ex1-cssl.clmp.fp2_r2_screen	3704742	751722.0	20.28	78.0	0.0	0.0	0.0	11.0	0.0	407644.0	11.0	683354.0	18.45	797523.0	21.52	681863.0	18.41	748267.0	20.189999999999998	695045.0	18.76	703098.0	18.98	710780.0	19.19	2892662	78.08		
Sgr-AJol_009-Ex1-cssl.clmp.fp2_r1_screen	2280837	632632.0	27.74	46.0	0.0	0.0	0.0	46.0	0.0	327979.0	14.379999999999999	583222.0	25.57	662840.0	29.05	581677.0	25.5	630366.0	27.64	592168.0	25.959999999999997	599097.0	26.26	604680.0	26.51	1607533	70.48		
