Sequence_Name	Individual_ID
LlA01001	Lle-AHam_001
LlA01013	Lle-AHam_013
LlA01025	Lle-AHam_025
LlA01002	Lle-AHam_002
LlA01014	Lle-AHam_014
LlA01026	Lle-AHam_026
LlA01003	Lle-AHam_003
LlA01015	Lle-AHam_015
LlA01027	Lle-AHam_027
LlA01004	Lle-AHam_004
LlA01016	Lle-AHam_016
LlA01028	Lle-AHam_028
LlA01005	Lle-AHam_005
LlA01017	Lle-AHam_017
LlA01029	Lle-AHam_029
LlA01006	Lle-AHam_006
LlA01018	Lle-AHam_018
LlA01030	Lle-AHam_030
LlA01007	Lle-AHam_007
LlA01019	Lle-AHam_019
LlA01031	Lle-AHam_031
LlA01008	Lle-AHam_008
LlA01020	Lle-AHam_020
LlA01032	Lle-AHam_032
LlA01009	Lle-AHam_009
LlA01021	Lle-AHam_021
LlA01010	Lle-AHam_010
LlA01022	Lle-AHam_022
LlA01011	Lle-AHam_011
LlA01023	Lle-AHam_023
LlA01012	Lle-AHam_012
LlA01024	Lle-AHam_024
LlC01061	Lle-CNas-061
LlC01005	Lle-CNas-005
LlC01090	Lle-CNas-090
LlC01079	Lle-CNas-079
LlC01091	Lle-CNas-091
LlC01008	Lle-CNas-008
LlC01011	Lle-CNas-011
LlC01013	Lle-CNas-013
LlC01025	Lle-CNas-025
LlC01073	Lle-CNas-073
LlC01085	Lle-CNas-085
LlC01002	Lle-CNas-002
LlC01050	Lle-CNas-050
LlC01062	Lle-CNas-062
LlC01074	Lle-CNas-074
LlC01086	Lle-CNas-086
LlC01027	Lle-CNas-027
LlC01039	Lle-CNas-039
LlC01063	Lle-CNas-063
LlC01075	Lle-CNas-075
LlC01087	Lle-CNas-087
LlC01004	Lle-CNas-004
LlC01016	Lle-CNas-016
LlC01028	Lle-CNas-028
LlC01064	Lle-CNas-064
LlC01076	Lle-CNas-076
LlC01088	Lle-CNas-088
LlC01029	Lle-CNas-029
LlC01065	Lle-CNas-065
LlC01077	Lle-CNas-077
LlC01089	Lle-CNas-089
LlC01018	Lle-CNas-018
LlC01030	Lle-CNas-030
LlC01066	Lle-CNas-066
LlC01078	Lle-CNas-078
LlC01007	Lle-CNas-007
LlC01019	Lle-CNas-019
LlC01067	Lle-CNas-067
