Population	n_samples	AVG_numreads	AVG_meanreadlength	AVG_meandepth_wcvg	AVG_numpos	AVG_numpos_wcvg	AVG_meandepth	AVG_pctpos_wcvg
Sfa-ABas	32	4.01121e+06	121.543	1.79783	889154503	1.77514e+08	0.361871	19.9643
Sfa-CBas	49	1.37578e+06	140.11	7.92692	889154503	2.01628e+07	0.181022	2.26764
