Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Snippy_mqc-generalstats-snippy-VariantTotal
Ssp-AAtu_005-Ex1-4E-cssl-1-2.1	87.98047688258048	42.0	150.0	18.181818181818183	7979428.0	
Ssp-AAtu_005-Ex1-4E-cssl-1-2.2	86.63156167385705	42.0	150.0	18.181818181818183	7979428.0	
Ssp-AAtu_006-Ex1-1A-cssl-2-2.1	69.74017693887147	48.0	150.0	18.181818181818183	487703.0	
Ssp-AAtu_006-Ex1-1A-cssl-2-2.2	68.77519910939509	48.0	150.0	27.27272727272727	487703.0	
Ssp-AAtu_007-Ex1-1B-cssl-2-2.1	68.67962239373986	53.0	150.0	27.27272727272727	521609.0	
Ssp-AAtu_007-Ex1-1B-cssl-2-2.2	67.53020023863328	53.0	150.0	27.27272727272727	521609.0	
Ssp-AAtu_008-Ex1-4G-cssl-2-2.1	57.500479175379624	43.0	150.0	18.181818181818183	689390.0	
Ssp-AAtu_008-Ex1-4G-cssl-2-2.2	56.8226460188785	43.0	150.0	18.181818181818183	689390.0	
Ssp-AAtu_009-Ex1-4E-cssl-2-2.1	63.808306137218764	44.0	150.0	18.181818181818183	1067977.0	
Ssp-AAtu_009-Ex1-4E-cssl-2-2.2	63.137617370548284	44.0	150.0	18.181818181818183	1067977.0	
Ssp-AAtu_011-Ex1-1C-cssl-2-2.1	69.66753471173674	54.0	150.0	27.27272727272727	448936.0	
Ssp-AAtu_011-Ex1-1C-cssl-2-2.2	68.44242868468864	54.0	150.0	27.27272727272727	448936.0	
Ssp-AAtu_012-Ex1-1D-cssl-2-2.1	70.62560681292858	55.0	150.0	27.27272727272727	532340.0	
Ssp-AAtu_012-Ex1-1D-cssl-2-2.2	69.49399682736883	55.0	150.0	27.27272727272727	532340.0	
Ssp-AAtu_013-Ex1-6F-cssl-2-2.1	62.15129055780663	45.0	150.0	27.27272727272727	879663.0	
Ssp-AAtu_013-Ex1-6F-cssl-2-2.2	61.30449732560604	45.0	150.0	27.27272727272727	879663.0	
Ssp-AAtu_014-Ex1-1E-cssl-2-2.1	73.12046868477177	52.0	150.0	27.27272727272727	614896.0	
Ssp-AAtu_014-Ex1-1E-cssl-2-2.2	72.10838755942757	52.0	150.0	27.27272727272727	614896.0	
Ssp-AAtu_015-Ex1-4F-cssl-2-2.1	67.1100771104757	49.0	150.0	18.181818181818183	348126.0	
Ssp-AAtu_015-Ex1-4F-cssl-2-2.2	65.95450973031717	49.0	150.0	18.181818181818183	348126.0	
Ssp-AAtu_016-Ex1-1F-cssl-2-2.1	69.56497412225487	52.0	150.0	27.27272727272727	285960.0	
Ssp-AAtu_016-Ex1-1F-cssl-2-2.2	68.38718701916352	52.0	150.0	27.27272727272727	285960.0	
Ssp-AAtu_017-Ex1-1G-cssl-2-2.1	69.60691372445461	56.0	150.0	27.27272727272727	453416.0	
Ssp-AAtu_017-Ex1-1G-cssl-2-2.2	68.19591838206644	56.0	150.0	27.27272727272727	453416.0	
Ssp-AAtu_018-Ex1-1H-cssl-2-2.1	70.50173739833103	53.0	150.0	27.27272727272727	451169.0	
Ssp-AAtu_018-Ex1-1H-cssl-2-2.2	69.39947951810512	53.0	150.0	27.27272727272727	451169.0	
Ssp-AAtu_019-Ex1-4H-cssl-2-2.1	61.37050211497696	43.0	150.0	18.181818181818183	736454.0	
Ssp-AAtu_019-Ex1-4H-cssl-2-2.2	60.71170464525776	43.0	150.0	18.181818181818183	736454.0	
Ssp-AAtu_020-Ex1-4B-cssl-2-2.1	67.66938666375995	46.0	150.0	18.181818181818183	528680.0	
Ssp-AAtu_020-Ex1-4B-cssl-2-2.2	67.03132174683407	46.0	150.0	18.181818181818183	528680.0	
Ssp-AAtu_021-Ex1-4C-cssl-2-2.1	69.5621382287008	54.0	150.0	27.27272727272727	179326.0	
Ssp-AAtu_021-Ex1-4C-cssl-2-2.2	68.18531612816881	54.0	150.0	27.27272727272727	179326.0	
Ssp-AAtu_022-Ex1-2A-cssl-2-2.1	73.5440120565174	60.0	150.0	27.27272727272727	613068.0	
Ssp-AAtu_022-Ex1-2A-cssl-2-2.2	72.26517328807843	60.0	150.0	27.27272727272727	613068.0	
Ssp-AAtu_023-Ex1-5D-cssl-2-2.1	60.4496895245726	44.0	150.0	18.181818181818183	443303.0	
Ssp-AAtu_023-Ex1-5D-cssl-2-2.2	59.70389276465552	44.0	150.0	27.27272727272727	443303.0	
Ssp-AAtu_024-Ex1-5C-cssl-2-2.1	60.74922927546548	44.0	150.0	27.27272727272727	635093.0	
Ssp-AAtu_024-Ex1-5C-cssl-2-2.2	59.86519464999782	44.0	150.0	27.27272727272727	635093.0	
Ssp-AAtu_025-Ex1-2B-cssl-2-2.1	70.90421002320406	51.0	150.0	18.181818181818183	411893.0	
Ssp-AAtu_025-Ex1-2B-cssl-2-2.2	69.8445285380603	51.0	150.0	18.181818181818183	411893.0	
Ssp-AAtu_026-Ex1-6A-cssl-2-2.1	68.05090196734903	48.0	150.0	18.181818181818183	732067.0	
Ssp-AAtu_026-Ex1-6A-cssl-2-2.2	67.17562420744457	49.0	150.0	27.27272727272727	732067.0	
Ssp-AAtu_027-Ex1-5B-cssl-2-2.1	64.1099225348916	45.0	150.0	18.181818181818183	545154.0	
Ssp-AAtu_027-Ex1-5B-cssl-2-2.2	63.24157568441416	45.0	150.0	18.181818181818183	545154.0	
Ssp-AAtu_029-Ex1-2C-cssl-2-2.1	71.79095733035857	55.0	150.0	27.27272727272727	481467.0	
Ssp-AAtu_029-Ex1-2C-cssl-2-2.2	70.66306231584733	55.0	150.0	27.27272727272727	481467.0	
Ssp-AAtu_030-Ex1-2D-cssl-2-2.1	70.20436218913255	55.0	150.0	27.27272727272727	615196.0	
Ssp-AAtu_030-Ex1-2D-cssl-2-2.2	68.95683141304484	55.0	150.0	27.27272727272727	615196.0	
Ssp-AAtu_031-Ex1-3F-cssl-2-2.1	67.18984676829658	45.0	150.0	18.181818181818183	469969.0	
Ssp-AAtu_031-Ex1-3F-cssl-2-2.2	66.4121060214527	45.0	150.0	18.181818181818183	469969.0	
Ssp-AAtu_033-Ex1-2E-cssl-2-2.1	68.64924911176414	48.0	150.0	18.181818181818183	650327.0	
Ssp-AAtu_033-Ex1-2E-cssl-2-2.2	67.77000125864163	48.0	150.0	18.181818181818183	650327.0	
Ssp-AAtu_034-Ex1-6B-cssl-2-2.1	67.54259559500056	46.0	150.0	18.181818181818183	482694.0	
Ssp-AAtu_034-Ex1-6B-cssl-2-2.2	66.7886441908029	46.0	150.0	18.181818181818183	482694.0	
Ssp-AAtu_035-Ex1-5E-cssl-2-2.1	61.09256134739775	43.0	150.0	18.181818181818183	765984.0	
Ssp-AAtu_035-Ex1-5E-cssl-2-2.2	60.52561339192551	43.0	150.0	18.181818181818183	765984.0	
Ssp-AAtu_036-Ex1-2F-cssl-2-2.1	64.58554897716594	43.0	150.0	18.181818181818183	769713.0	
Ssp-AAtu_036-Ex1-2F-cssl-2-2.2	64.1045012040238	43.0	150.0	18.181818181818183	769713.0	
Ssp-AAtu_037-Ex1-6D-cssl-2-2.1	63.825270727581774	45.0	150.0	27.27272727272727	757661.0	
Ssp-AAtu_037-Ex1-6D-cssl-2-2.2	62.935965194087416	45.0	150.0	36.36363636363637	757661.0	
Ssp-AAtu_038-Ex1-2G-cssl-2-2.1	67.02321985092257	46.0	150.0	18.181818181818183	531265.0	
Ssp-AAtu_038-Ex1-2G-cssl-2-2.2	66.36952951505965	46.0	150.0	18.181818181818183	531265.0	
Ssp-AAtu_039-Ex1-2H-cssl-2-2.1	68.32884519929654	50.0	150.0	18.181818181818183	563102.0	
Ssp-AAtu_039-Ex1-2H-cssl-2-2.2	67.44776700519333	50.0	150.0	18.181818181818183	563102.0	
Ssp-AAtu_040-Ex1-5E-cssl-1-2.1	87.2187299963998	42.0	150.0	18.181818181818183	7433057.0	
Ssp-AAtu_040-Ex1-5E-cssl-1-2.2	85.99060014850977	43.0	150.0	18.181818181818183	7433057.0	
Ssp-AAtu_041-Ex1-3A-cssl-2-2.1	70.08326584976126	50.0	150.0	27.27272727272727	699398.0	
Ssp-AAtu_041-Ex1-3A-cssl-2-2.2	68.9948176505226	50.0	150.0	27.27272727272727	699398.0	
Ssp-AAtu_043-Ex1-3G-cssl-2-2.1	67.78132324559505	54.0	150.0	27.27272727272727	207777.0	
Ssp-AAtu_043-Ex1-3G-cssl-2-2.2	66.35864412326677	54.0	150.0	27.27272727272727	207777.0	
Ssp-AAtu_045-Ex1-5H-cssl-2-2.1	61.976679831042915	44.0	150.0	27.27272727272727	650808.0	
Ssp-AAtu_045-Ex1-5H-cssl-2-2.2	60.91462409028796	44.0	150.0	27.27272727272727	650808.0	
Ssp-AAtu_046-Ex1-3C-cssl-2-2.1	70.927270267833	55.0	150.0	27.27272727272727	88712.0	
Ssp-AAtu_046-Ex1-3C-cssl-2-2.2	69.43592749571647	55.0	150.0	36.36363636363637	88712.0	
Ssp-AAtu_047-Ex1-3D-cssl-2-2.1	68.66515240660554	48.0	150.0	18.181818181818183	575017.0	
Ssp-AAtu_047-Ex1-3D-cssl-2-2.2	67.34851997058146	48.0	150.0	18.181818181818183	575017.0	
Ssp-AAtu_048-Ex1-5G-cssl-2-2.1	59.71270110928488	44.0	150.0	18.181818181818183	616752.0	
Ssp-AAtu_048-Ex1-5G-cssl-2-2.2	59.03242273512435	44.0	150.0	18.181818181818183	616752.0	
Ssp-AAtu_049-Ex1-3H-cssl-2-2.1	70.98617450525344	50.0	150.0	27.27272727272727	447375.0	
Ssp-AAtu_049-Ex1-3H-cssl-2-2.2	69.84689791707957	50.0	150.0	18.181818181818183	447375.0	
Ssp-AAtu_050-Ex1-5F-cssl-2-2.1	58.65936065394665	44.0	150.0	18.181818181818183	823088.0	
Ssp-AAtu_050-Ex1-5F-cssl-2-2.2	57.79449865499375	44.0	150.0	18.181818181818183	823088.0	
Ssp-AAtu_051-Ex1-3E-cssl-2-2.1	68.60258177250832	46.0	150.0	18.181818181818183	512440.0	
Ssp-AAtu_051-Ex1-3E-cssl-2-2.2	67.66487901497862	46.0	150.0	18.181818181818183	512440.0	
Ssp-AAtu_052-Ex1-6E-cssl-2-2.1	69.29790497013812	55.0	150.0	27.27272727272727	388262.0	
Ssp-AAtu_052-Ex1-6E-cssl-2-2.2	67.84483337810383	55.0	150.0	27.27272727272727	388262.0	
mqc-1228768						0
