"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0380766931714138,0.019835792980321,0.0036817320393801,0.0815664486997794,0.53186728627904,-10654.2867398867
"Std.",0.000167198982744381,0.00170195716499336,0.00158116131182467,0.0261186474869059,0.00288121088603425,1.48095781287126
"Acceptance ratio",0.19172,0.21604,0.20406,0.1675,0.25916,0.686
"0%",0.0374902016352062,0.0162658543497371,7.46080192755142e-07,0.0333153010535156,0.520600940663464,-10665.6563676008
"2.5%",0.0377504200054934,0.0172298785971257,0.000432668568709296,0.0422584987502714,0.526297802840725,-10657.9994748073
"5%",0.0378010995715312,0.0175130943517979,0.000775826634234888,0.0451458061838609,0.527187622188851,-10657.1906521063
"7.5%",0.0378408896207942,0.0176883805709725,0.00105987259933994,0.0479489079818587,0.527812150645671,-10656.6716238433
"10%",0.0378640406256243,0.0178571197868733,0.00132252585339246,0.0499754523439416,0.528213263346094,-10656.2804118739
"12.5%",0.0378865925163304,0.0179893779592454,0.00155612722782618,0.0523737125524888,0.528587476752153,-10655.9960394721
"15%",0.0379032354717386,0.0180971637427069,0.00181470448056533,0.0542299903355648,0.528900519327107,-10655.7425082987
"17.5%",0.0379181081733158,0.0182275458727842,0.0020354409044642,0.0560530482545281,0.529171414991365,-10655.5271488297
"20%",0.0379345738239803,0.0183176152715285,0.00222245203410995,0.0580395550916749,0.529444142414289,-10655.3395899239
"22.5%",0.0379503633959549,0.018412555221223,0.00241388862098755,0.0600026839660481,0.529694298119827,-10655.1808852354
"25%",0.0379623217898973,0.0185071282188264,0.00259747010710128,0.0615589240820381,0.529913052681072,-10655.029536655
"27.5%",0.0379762448138218,0.0185886565308093,0.00273662409281227,0.0630957732104123,0.530166076423945,-10654.8907224333
"30%",0.0379886292821811,0.0186723871114642,0.00288289557063381,0.0646638824250637,0.530358020996041,-10654.759492936
"32.5%",0.0380012886124763,0.0187677019873653,0.00304579230212908,0.0664256543988761,0.530565094966262,-10654.6336873008
"35%",0.0380135981421979,0.0188897701241425,0.00316163419938533,0.0680219797279357,0.530764706655449,-10654.5232843804
"37.5%",0.0380255658651054,0.0189970811357247,0.00331194472040398,0.0697998096924099,0.530942724674712,-10654.4152985017
"40%",0.0380371193885209,0.0190985323431701,0.00343720875441465,0.0715522924077628,0.531115379457102,-10654.309078882
"42.5%",0.0380468511378583,0.0192120132282649,0.0035601557467999,0.0730992654856678,0.531283846774217,-10654.2217175062
"45%",0.0380569439933753,0.0193355255428549,0.00367797084457431,0.0749864976814543,0.531470616284418,-10654.1254990631
"47.5%",0.0380669875937283,0.0194551392960511,0.00377470507592783,0.0767868036385441,0.531643915787446,-10654.0442159413
"50%",0.0380770379869967,0.0195678339397324,0.00388378317052647,0.0783784284363701,0.531819215257589,-10653.9639234558
"52.5%",0.0380864666115409,0.0196655021904595,0.00397921905226581,0.0803781625968983,0.532002506304422,-10653.8790290351
"55%",0.0380963278015537,0.0197858975983482,0.00409588121477939,0.0826286934830949,0.532171286915017,-10653.7916398789
"57.5%",0.038104862887533,0.0198993207832006,0.004194360247768,0.08451625036576,0.532354193610479,-10653.7175051747
"60%",0.0381156496372241,0.0200312455786546,0.00427847650264942,0.0863110491699335,0.53254257294016,-10653.6398752635
"62.5%",0.0381268807149432,0.0201808015586231,0.0043688194959156,0.0880467840798992,0.532750198117817,-10653.5611043958
"65%",0.0381401051255219,0.0203281103457658,0.00445688380963031,0.0895473255065142,0.532982837885489,-10653.4865095165
"67.5%",0.0381515605666444,0.0204827649087454,0.00457339795973828,0.0912503533238473,0.533168278738194,-10653.4141643404
"70%",0.0381645148828842,0.0206372727122049,0.00467704362501685,0.0931482228738238,0.533357553510912,-10653.3425458216
"72.5%",0.0381770809560766,0.0208061539515196,0.00477268714747253,0.0957013215282631,0.533589191046952,-10653.2692103202
"75%",0.0381911267693385,0.021001299165984,0.00486855796151321,0.0978030143010773,0.533800350595997,-10653.2010941269
"77.5%",0.0382038145708603,0.0211976094520328,0.00497921217168887,0.100146350707997,0.53405009271492,-10653.1277327748
"80%",0.0382171211781517,0.0213962397122492,0.00507699698549547,0.10289480537233,0.534310531122901,-10653.05380674
"82.5%",0.0382321869241222,0.0216285600639004,0.00519006229504374,0.10606448598213,0.534568079782693,-10652.9815634738
"85%",0.0382480856042711,0.0218663331099176,0.0053200638650631,0.109127601774726,0.534856606594016,-10652.8990264784
"87.5%",0.0382675282494056,0.0220769514461469,0.00546528659979618,0.112387709111811,0.535196854449222,-10652.8169079338
"90%",0.0382899073464628,0.0223759887548379,0.00561527791694482,0.116448447959037,0.535585608627302,-10652.7309335164
"92.5%",0.0383154431061237,0.0227110664479841,0.00578293933948857,0.120770084184916,0.536047100328028,-10652.6387618874
"95%",0.0383524510828978,0.0230309183564608,0.00598331804681627,0.128290080341168,0.536622207725827,-10652.5335692553
"97.5%",0.0383981245550588,0.0234655401224631,0.00633825352981107,0.14145798277832,0.537549896201135,-10652.3935548513
"100%",0.0386764804803047,0.0248684429021618,0.007712377107996,0.222832738912126,0.543639626628191,-10652.053733957
