Sample	Bacteria_24k	Human	Protists_1k	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Leq-ABas_016_Ex1_L3_clmp.fp2_r2_screen	1714402.0	317365.0	122899.0	26491.0	1977.0	5540.0	719.0	697.0	161.0	0.0	0.0	1234406.0	7317678.0
Leq-ABas_017_Ex1_L3_clmp.fp2_r1_screen	1269308.0	204351.0	126957.0	11676.0	1542.0	3564.0	1040.0	426.0	38.0	0.0	0.0	887039.0	5551747.0
Leq-ABas_017_Ex1_L3_clmp.fp2_r2_screen	1267947.0	204320.0	127920.0	11648.0	1471.0	3557.0	1066.0	448.0	30.0	0.0	0.0	894786.0	5544495.0
Leq-ABas_018_Ex1_L3_clmp.fp2_r1_screen	900207.0	1251497.0	159763.0	47983.0	3814.0	6229.0	1533.0	1193.0	53.0	3.0	0.0	1321492.0	10334970.0
Leq-ABas_018_Ex1_L3_clmp.fp2_r2_screen	901659.0	1251161.0	160257.0	48259.0	3822.0	6299.0	1534.0	1103.0	41.0	6.0	0.0	1330849.0	10323747.0
Leq-ABas_019_Ex1_L3_clmp.fp2_r1_screen	671521.0	380738.0	112465.0	14445.0	2414.0	5785.0	937.0	751.0	20.0	3.0	0.0	728881.0	8107964.0
Leq-ABas_019_Ex1_L3_clmp.fp2_r2_screen	672610.0	380681.0	113114.0	14474.0	2341.0	5790.0	936.0	761.0	21.0	0.0	0.0	735253.0	8099943.0
Leq-ABas_020_Ex1_L3_clmp.fp2_r1_screen	313586.0	99990.0	42576.0	9348.0	431.0	3826.0	251.0	181.0	4.0	0.0	0.0	242007.0	3200984.0
Leq-ABas_020_Ex1_L3_clmp.fp2_r2_screen	314046.0	99845.0	42876.0	9242.0	445.0	3759.0	264.0	152.0	6.0	0.0	0.0	244304.0	3198245.0
Leq-ABas_021_Ex1_L3_clmp.fp2_r1_screen	659027.0	853580.0	164240.0	28272.0	4975.0	4077.0	1711.0	1333.0	52.0	0.0	0.0	1186876.0	11652960.0
Leq-ABas_021_Ex1_L3_clmp.fp2_r2_screen	659872.0	853292.0	163946.0	28176.0	4896.0	4042.0	1777.0	1325.0	42.0	2.0	0.0	1195507.0	11644226.0
Leq-ABas_022_Ex1_L3_clmp.fp2_r1_screen	887973.0	163156.0	162564.0	15900.0	3463.0	3401.0	1593.0	932.0	21.0	0.0	0.0	957961.0	9012031.0
Leq-ABas_022_Ex1_L3_clmp.fp2_r2_screen	889293.0	162918.0	163729.0	16063.0	3500.0	3467.0	1519.0	908.0	23.0	0.0	0.0	965632.0	9001943.0
Leq-ABas_023_Ex1_L3_clmp.fp2_r1_screen	653635.0	883927.0	228027.0	24027.0	6891.0	7463.0	2421.0	1886.0	152.0	3.0	0.0	1415660.0	16268599.0
Leq-ABas_023_Ex1_L3_clmp.fp2_r2_screen	654370.0	883764.0	229704.0	23926.0	7017.0	7511.0	2408.0	1838.0	151.0	5.0	0.0	1428992.0	16253005.0
Leq-ABas_025_Ex1_L3_clmp.fp2_r1_screen	722954.0	212305.0	202873.0	32154.0	7161.0	5340.0	2379.0	1866.0	37.0	0.0	0.0	1183651.0	13956549.0
Leq-ABas_025_Ex1_L3_clmp.fp2_r2_screen	723355.0	212659.0	203597.0	32353.0	7015.0	5339.0	2338.0	1889.0	39.0	2.0	0.0	1195196.0	13943487.0
Leq-ABas_026_Ex1_L3_clmp.fp2_r1_screen	1225907.0	670910.0	127042.0	50177.0	1868.0	9689.0	773.0	704.0	11.0	1.0	0.0	1079568.0	9107187.0
Leq-ABas_026_Ex1_L3_clmp.fp2_r2_screen	1226030.0	670605.0	126980.0	50062.0	1839.0	9709.0	764.0	710.0	8.0	0.0	0.0	1086080.0	9101050.0
Leq-ABas_027_Ex1_L3_clmp.fp2_r1_screen	1569723.0	282116.0	110592.0	10762.0	858.0	2074.0	881.0	296.0	13.0	0.0	0.0	1025060.0	4004334.0
Leq-ABas_027_Ex1_L3_clmp.fp2_r2_screen	1566845.0	282040.0	110678.0	10879.0	836.0	2034.0	856.0	239.0	7.0	0.0	0.0	1032165.0	4000130.0
Leq-ABas_028_Ex1_L3_clmp.fp2_r1_screen	607539.0	171888.0	78645.0	87264.0	1139.0	4304.0	420.0	372.0	12.0	0.0	0.0	657026.0	5216206.0
Leq-ABas_028_Ex1_L3_clmp.fp2_r2_screen	608040.0	171570.0	78733.0	87193.0	1152.0	4309.0	434.0	377.0	11.0	0.0	0.0	661568.0	5211428.0
Leq-ABas_029_Ex1_L3_clmp.fp2_r1_screen	1635270.0	1145358.0	120210.0	23133.0	1442.0	8788.0	611.0	506.0	23.0	0.0	0.0	1231028.0	8163812.0
Leq-ABas_029_Ex1_L3_clmp.fp2_r2_screen	1633628.0	1143594.0	120873.0	22935.0	1457.0	8755.0	630.0	470.0	24.0	0.0	0.0	1241401.0	8156414.0
Leq-ABas_030_Ex1_L3_clmp.fp2_r1_screen	805677.0	375161.0	115942.0	132690.0	2481.0	4556.0	1216.0	910.0	39.0	1.0	0.0	991169.0	7471711.0
Leq-ABas_030_Ex1_L3_clmp.fp2_r2_screen	804743.0	374470.0	116405.0	132702.0	2498.0	4512.0	1206.0	826.0	40.0	0.0	0.0	1002341.0	7461810.0
Leq-ABas_031_Ex1_L3_clmp.fp2_r1_screen	646435.0	257447.0	197875.0	55348.0	7433.0	1600.0	2643.0	1974.0	59.0	0.0	0.0	1310162.0	12002243.0
Leq-ABas_031_Ex1_L3_clmp.fp2_r2_screen	646318.0	257672.0	200045.0	55807.0	7437.0	1586.0	2514.0	1888.0	42.0	1.0	0.0	1319252.0	11990657.0
Leq-ABas_032_Ex1_L3_clmp.fp2_r1_screen	1295525.0	256134.0	208619.0	46330.0	5420.0	4722.0	2212.0	1399.0	21.0	0.0	0.0	1317368.0	12677518.0
Leq-ABas_032_Ex1_L3_clmp.fp2_r2_screen	1294269.0	256147.0	209254.0	46469.0	5438.0	4599.0	2211.0	1440.0	36.0	2.0	0.0	1327374.0	12668029.0
Leq-ABas_033_Ex1_L3_clmp.fp2_r1_screen	756948.0	4348715.0	99592.0	27820.0	1125.0	4332.0	519.0	408.0	12.0	0.0	0.0	2067714.0	7122485.0
Leq-ABas_033_Ex1_L3_clmp.fp2_r2_screen	757618.0	4352415.0	99724.0	27808.0	1100.0	4355.0	517.0	409.0	12.0	0.0	0.0	2067556.0	7118156.0
Leq-ABas_034_Ex1_L3_clmp.fp2_r1_screen	567912.0	252446.0	290888.0	35234.0	11806.0	2307.0	4033.0	3150.0	76.0	1.0	0.0	1733177.0	18732303.0
Leq-ABas_034_Ex1_L3_clmp.fp2_r2_screen	569537.0	252535.0	294305.0	35661.0	11544.0	2352.0	4049.0	3177.0	87.0	0.0	0.0	1751580.0	18708506.0
Leq-ABas_035_Ex1_L3_clmp.fp2_r1_screen	734330.0	469184.0	179844.0	25557.0	5664.0	5621.0	1952.0	1532.0	32.0	0.0	0.0	1138644.0	13264441.0
Leq-ABas_035_Ex1_L3_clmp.fp2_r2_screen	736203.0	468491.0	179943.0	25594.0	5815.0	5648.0	1913.0	1469.0	19.0	3.0	0.0	1153088.0	13248615.0
Leq-ABas_036_Ex1_L3_clmp.fp2_r1_screen	641699.0	197224.0	121693.0	34019.0	2281.0	4436.0	953.0	682.0	10.0	0.0	0.0	804215.0	9119099.0
Leq-ABas_036_Ex1_L3_clmp.fp2_r2_screen	641273.0	197383.0	122198.0	34024.0	2248.0	4424.0	874.0	682.0	20.0	0.0	0.0	815013.0	9108172.0
Leq-ABas_039_Ex1_L3_clmp.fp2_r1_screen	2206267.0	347348.0	100849.0	40473.0	474.0	2412.0	243.0	154.0	8.0	0.0	0.0	1315279.0	4081505.0
