Sample	Bacteria_24k	Human	Protists_1k	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Leq-CMig_033-Ex1_L3_clmp.fp2_r1_screen	6429.0	7225.0	30197.0	2464.0	1677.0	190.0	511.0	410.0	8.0	0.0	0.0	151315.0	2457738.0
Leq-CMig_033-Ex1_L3_clmp.fp2_r2_screen	6464.0	7125.0	30924.0	2530.0	1604.0	180.0	503.0	434.0	4.0	0.0	0.0	153050.0	2455346.0
Leq-CMig_036-Ex1_L3_clmp.fp2_r1_screen	24242.0	9290.0	66693.0	5022.0	3563.0	405.0	1087.0	796.0	18.0	0.0	1.0	328877.0	5372331.0
Leq-CMig_036-Ex1_L3_clmp.fp2_r2_screen	24170.0	9199.0	67624.0	5072.0	3606.0	436.0	997.0	839.0	13.0	0.0	0.0	331525.0	5368844.0
Leq-CMig_037-Ex1_L3_clmp.fp2_r1_screen	3254.0	9123.0	61546.0	4910.0	3245.0	396.0	964.0	774.0	9.0	0.0	0.0	295487.0	4751469.0
Leq-CMig_037-Ex1_L3_clmp.fp2_r2_screen	3273.0	8953.0	62901.0	4978.0	3185.0	451.0	1019.0	742.0	19.0	0.0	0.0	299831.0	4745825.0
Leq-CMig_038-Ex1_L3_clmp.fp2_r1_screen	2659.0	9779.0	70304.0	5433.0	3552.0	427.0	1048.0	992.0	17.0	0.0	0.0	337794.0	5526682.0
Leq-CMig_038-Ex1_L3_clmp.fp2_r2_screen	2704.0	9906.0	71857.0	5587.0	3608.0	427.0	1066.0	895.0	9.0	0.0	0.0	342501.0	5520127.0
Leq-CMig_040-Ex1_L3_clmp.fp2_r1_screen	50123.0	7732.0	58077.0	4407.0	2961.0	377.0	908.0	741.0	13.0	0.0	0.0	293459.0	4244870.0
Leq-CMig_040-Ex1_L3_clmp.fp2_r2_screen	49967.0	7704.0	59066.0	4432.0	2912.0	351.0	956.0	756.0	7.0	0.0	0.0	295911.0	4241606.0
Leq-CMig_041-Ex1_L3_clmp.fp2_r1_screen	1687.0	6418.0	46255.0	3727.0	2503.0	238.0	735.0	559.0	11.0	0.0	0.0	224050.0	3666610.0
Leq-CMig_041-Ex1_L3_clmp.fp2_r2_screen	1637.0	6333.0	47383.0	3636.0	2478.0	251.0	735.0	588.0	14.0	0.0	0.0	227476.0	3662262.0
Leq-CMig_042-Ex1_L3_clmp.fp2_r1_screen	16751.0	6504.0	24957.0	2218.0	1245.0	157.0	322.0	279.0	2.0	0.0	0.0	123856.0	1902603.0
Leq-CMig_042-Ex1_L3_clmp.fp2_r2_screen	16772.0	6480.0	25774.0	2273.0	1347.0	173.0	345.0	253.0	4.0	0.0	0.0	125780.0	1899693.0
Leq-CMig_045-Ex1_L3_clmp.fp2_r1_screen	3209.0	5760.0	30350.0	2506.0	1632.0	160.0	416.0	399.0	4.0	0.0	0.0	132974.0	2375241.0
Leq-CMig_045-Ex1_L3_clmp.fp2_r2_screen	3281.0	5612.0	30511.0	2483.0	1576.0	142.0	452.0	353.0	5.0	0.0	0.0	135547.0	2372689.0
Leq-CMig_046-Ex1_L3_clmp.fp2_r1_screen	916.0	5403.0	43608.0	3462.0	2229.0	233.0	688.0	571.0	10.0	0.0	0.0	207749.0	3329004.0
Leq-CMig_046-Ex1_L3_clmp.fp2_r2_screen	929.0	5541.0	44062.0	3426.0	2183.0	261.0	664.0	568.0	3.0	0.0	0.0	211904.0	3324332.0
Leq-CMig_047-Ex1_L3_clmp.fp2_r1_screen	1091.0	5856.0	46473.0	3560.0	2254.0	262.0	725.0	581.0	7.0	0.0	0.0	223881.0	3609828.0
Leq-CMig_047-Ex1_L3_clmp.fp2_r2_screen	1013.0	5872.0	47233.0	3705.0	2298.0	278.0	698.0	601.0	7.0	0.0	0.0	228437.0	3604376.0
Leq-CMig_049-Ex1_L3_clmp.fp2_r1_screen	5543.0	9244.0	57492.0	4601.0	3213.0	336.0	921.0	735.0	13.0	0.0	0.0	284036.0	4834622.0
Leq-CMig_049-Ex1_L3_clmp.fp2_r2_screen	5602.0	9036.0	58394.0	4763.0	3366.0	343.0	911.0	816.0	11.0	0.0	0.0	288092.0	4829422.0
Leq-CMig_050-Ex1_L3_clmp.fp2_r1_screen	2187.0	6599.0	48822.0	3774.0	2287.0	248.0	792.0	591.0	7.0	0.0	0.0	226786.0	3759120.0
Leq-CMig_050-Ex1_L3_clmp.fp2_r2_screen	2173.0	6763.0	49319.0	3760.0	2338.0	271.0	779.0	630.0	10.0	0.0	0.0	229696.0	3755474.0
Leq-CMig_051-Ex1_L3_clmp.fp2_r1_screen	4989.0	6432.0	38472.0	3105.0	1952.0	238.0	608.0	504.0	6.0	0.0	0.0	189483.0	3053392.0
Leq-CMig_051-Ex1_L3_clmp.fp2_r2_screen	5049.0	6394.0	38980.0	3099.0	1970.0	220.0	601.0	502.0	2.0	0.0	0.0	191612.0	3050752.0
Leq-CMig_054-Ex1_L3_clmp.fp2_r1_screen	20780.0	4502.0	29519.0	2299.0	1436.0	164.0	422.0	317.0	6.0	0.0	0.0	133574.0	2284756.0
Leq-CMig_054-Ex1_L3_clmp.fp2_r2_screen	20832.0	4650.0	30004.0	2404.0	1422.0	152.0	396.0	355.0	3.0	0.0	0.0	135527.0	2282030.0
Leq-CMig_055-Ex1_L3_clmp.fp2_r1_screen	2572.0	7299.0	42096.0	3192.0	2120.0	272.0	667.0	566.0	14.0	0.0	0.0	203057.0	3188134.0
Leq-CMig_055-Ex1_L3_clmp.fp2_r2_screen	2552.0	7267.0	42855.0	3254.0	2146.0	238.0	658.0	549.0	8.0	0.0	0.0	205778.0	3184684.0
Leq-CMig_058-Ex1_L3_clmp.fp2_r1_screen	6054.0	4758.0	27662.0	2071.0	1347.0	135.0	474.0	355.0	4.0	0.0	0.0	130554.0	2052688.0
Leq-CMig_058-Ex1_L3_clmp.fp2_r2_screen	5984.0	4754.0	27868.0	2261.0	1303.0	171.0	395.0	351.0	6.0	0.0	0.0	132770.0	2050239.0
Leq-CMig_059-Ex1_L3_clmp.fp2_r1_screen	3272.0	8548.0	28454.0	2252.0	1563.0	192.0	420.0	393.0	6.0	0.0	0.0	141710.0	2344483.0
Leq-CMig_059-Ex1_L3_clmp.fp2_r2_screen	3297.0	8639.0	28971.0	2298.0	1505.0	202.0	426.0	348.0	7.0	0.0	0.0	142889.0	2342711.0
Leq-CMig_062-Ex1_L3_clmp.fp2_r1_screen	3493.0	6544.0	47018.0	3755.0	2505.0	295.0	761.0	542.0	12.0	0.0	0.0	223849.0	3727542.0
Leq-CMig_062-Ex1_L3_clmp.fp2_r2_screen	3454.0	6561.0	47419.0	3893.0	2588.0	274.0	731.0	613.0	10.0	0.0	0.0	226444.0	3724329.0
Leq-CMig_063-Ex1_L3_clmp.fp2_r1_screen	4264.0	5017.0	28733.0	2342.0	1534.0	227.0	386.0	320.0	7.0	0.0	0.0	130185.0	2210105.0
Leq-CMig_063-Ex1_L3_clmp.fp2_r2_screen	4387.0	5052.0	29434.0	2337.0	1519.0	210.0	414.0	338.0	3.0	0.0	0.0	132419.0	2207007.0
Leq-CMig_064-Ex1_L3_clmp.fp2_r1_screen	3968.0	6557.0	35232.0	2933.0	1787.0	242.0	512.0	464.0	3.0	1.0	0.0	171421.0	2747839.0
Leq-CMig_064-Ex1_L3_clmp.fp2_r2_screen	3947.0	6509.0	35998.0	2794.0	1663.0	249.0	509.0	459.0	6.0	0.0	0.0	174254.0	2744571.0
Leq-CMig_065-Ex1_L3_clmp.fp2_r1_screen	4286.0	10914.0	72647.0	5568.0	3793.0	356.0	1182.0	918.0	17.0	0.0	0.0	342373.0	5723272.0
Leq-CMig_065-Ex1_L3_clmp.fp2_r2_screen	4316.0	11163.0	73812.0	5679.0	3619.0	373.0	1140.0	960.0	19.0	0.0	0.0	346522.0	5717723.0
Leq-CMig_066-Ex1_L3_clmp.fp2_r1_screen	3809.0	8816.0	68250.0	5200.0	3660.0	437.0	1012.0	848.0	13.0	0.0	0.0	337343.0	5176196.0
Leq-CMig_066-Ex1_L3_clmp.fp2_r2_screen	3763.0	8813.0	69216.0	5137.0	3546.0	468.0	1039.0	849.0	14.0	0.0	0.0	342149.0	5170590.0
Leq-CMig_068-Ex1_L3_clmp.fp2_r1_screen	3295.0	9293.0	62255.0	4899.0	3562.0	328.0	1025.0	802.0	11.0	0.0	0.0	296570.0	5044659.0
Leq-CMig_068-Ex1_L3_clmp.fp2_r2_screen	3355.0	9296.0	62771.0	5014.0	3448.0	368.0	1039.0	782.0	7.0	0.0	0.0	300844.0	5039775.0
Leq-CMig_069-Ex1_L3_clmp.fp2_r1_screen	1908.0	6708.0	47656.0	3570.0	2483.0	230.0	723.0	613.0	8.0	0.0	0.0	223083.0	3749329.0
Leq-CMig_069-Ex1_L3_clmp.fp2_r2_screen	1842.0	6701.0	48448.0	3540.0	2462.0	230.0	712.0	593.0	11.0	0.0	0.0	226076.0	3745696.0
Leq-CMig_070-Ex1_L3_clmp.fp2_r1_screen	939.0	4472.0	33810.0	2648.0	1887.0	162.0	506.0	386.0	6.0	0.0	0.0	155986.0	2734897.0
Leq-CMig_070-Ex1_L3_clmp.fp2_r2_screen	973.0	4487.0	33894.0	2708.0	1777.0	160.0	521.0	408.0	8.0	0.0	0.0	158802.0	2731961.0
Leq-CMig_073-Ex1_L3_clmp.fp2_r1_screen	3360.0	9534.0	72264.0	5553.0	3795.0	362.0	1187.0	1021.0	19.0	0.0	0.0	348944.0	5606047.0
Leq-CMig_073-Ex1_L3_clmp.fp2_r2_screen	3325.0	9529.0	73815.0	5639.0	3750.0	414.0	1171.0	979.0	10.0	0.0	0.0	355275.0	5598179.0
Leq-CMig_074-Ex1_L3_clmp.fp2_r1_screen	2147.0	9911.0	63743.0	4927.0	3294.0	399.0	1022.0	859.0	16.0	0.0	0.0	303862.0	5152142.0
Leq-CMig_074-Ex1_L3_clmp.fp2_r2_screen	2212.0	9748.0	64505.0	4914.0	3313.0	382.0	991.0	834.0	14.0	0.0	0.0	307147.0	5148262.0
Leq-CMig_075-Ex1_L3_clmp.fp2_r1_screen	1374.0	5975.0	40070.0	3029.0	2221.0	215.0	582.0	514.0	3.0	0.0	0.0	173099.0	3177431.0
Leq-CMig_075-Ex1_L3_clmp.fp2_r2_screen	1326.0	6051.0	41046.0	3216.0	2253.0	226.0	586.0	502.0	11.0	0.0	0.0	175269.0	3174027.0
Leq-CMig_076-Ex1_L3_clmp.fp2_r1_screen	1020.0	3937.0	25789.0	1971.0	1384.0	136.0	340.0	293.0	6.0	0.0	0.0	123444.0	2010446.0
Leq-CMig_076-Ex1_L3_clmp.fp2_r2_screen	1051.0	3912.0	25948.0	2064.0	1389.0	146.0	393.0	347.0	3.0	0.0	0.0	124369.0	2009144.0
Leq-CMig_077-Ex1_L3_clmp.fp2_r1_screen	8928.0	14207.0	88770.0	7220.0	4954.0	577.0	1420.0	1306.0	23.0	0.0	0.0	468989.0	7292415.0
Leq-CMig_077-Ex1_L3_clmp.fp2_r2_screen	8857.0	14342.0	89947.0	7154.0	4993.0	638.0	1390.0	1203.0	26.0	0.0	0.0	474944.0	7285315.0
Leq-CMig_079-Ex1_L3_clmp.fp2_r1_screen	2775.0	7047.0	50515.0	4049.0	2754.0	400.0	752.0	633.0	14.0	0.0	0.0	241965.0	3890500.0
Leq-CMig_079-Ex1_L3_clmp.fp2_r2_screen	2736.0	7055.0	50797.0	4034.0	2638.0	380.0	730.0	596.0	8.0	0.0	0.0	244871.0	3887559.0
Leq-CMig_081-Ex1_L3_clmp.fp2_r1_screen	6853.0	10140.0	73244.0	5758.0	3883.0	372.0	1111.0	967.0	18.0	0.0	0.0	358989.0	5400602.0
Leq-CMig_081-Ex1_L3_clmp.fp2_r2_screen	6900.0	9930.0	73556.0	5743.0	3948.0	387.0	1116.0	968.0	14.0	0.0	0.0	366980.0	5392395.0
Leq-CMig_084-Ex1_L3_clmp.fp2_r1_screen	1846.0	4285.0	35424.0	2749.0	1767.0	186.0	526.0	405.0	11.0	0.0	0.0	165905.0	2690214.0
Leq-CMig_084-Ex1_L3_clmp.fp2_r2_screen	1885.0	4335.0	36139.0	2775.0	1902.0	190.0	572.0	449.0	13.0	0.0	0.0	168618.0	2686440.0
Leq-CMig_085-Ex1_L3_clmp.fp2_r1_screen	2246.0	6500.0	41469.0	3218.0	2304.0	208.0	651.0	564.0	10.0	0.0	0.0	208557.0	3389379.0
Leq-CMig_085-Ex1_L3_clmp.fp2_r2_screen	2260.0	6418.0	42183.0	3202.0	2265.0	204.0	651.0	549.0	7.0	0.0	0.0	211277.0	3386090.0
Leq-CMig_086-Ex1_L3_clmp.fp2_r1_screen	4316.0	8139.0	49210.0	4066.0	2622.0	301.0	790.0	584.0	6.0	0.0	0.0	240169.0	4004164.0
Leq-CMig_086-Ex1_L3_clmp.fp2_r2_screen	4330.0	8074.0	50139.0	4316.0	2581.0	339.0	739.0	601.0	13.0	0.0	0.0	242954.0	4000281.0
Leq-CMig_087-Ex1_L3_clmp.fp2_r1_screen	2890.0	9937.0	72106.0	5790.0	3814.0	396.0	1162.0	975.0	15.0	0.0	0.0	338426.0	5638549.0
Leq-CMig_087-Ex1_L3_clmp.fp2_r2_screen	2840.0	10072.0	73339.0	5764.0	3684.0	405.0	1205.0	984.0	15.0	0.0	0.0	341454.0	5634298.0
Leq-CMig_089-Ex1_L3_clmp.fp2_r1_screen	1661.0	7540.0	55222.0	4335.0	2932.0	342.0	948.0	623.0	9.0	0.0	0.0	263601.0	4398917.0
Leq-CMig_089-Ex1_L3_clmp.fp2_r2_screen	1634.0	7372.0	56238.0	4470.0	2797.0	329.0	870.0	683.0	14.0	0.0	0.0	267068.0	4394655.0
Leq-CMig_091-Ex1_L3_clmp.fp2_r1_screen	3031.0	8162.0	58408.0	4756.0	3162.0	387.0	935.0	806.0	16.0	0.0	0.0	285760.0	4500392.0
Leq-CMig_091-Ex1_L3_clmp.fp2_r2_screen	3063.0	8165.0	59728.0	4677.0	3131.0	387.0	842.0	767.0	17.0	0.0	0.0	290972.0	4494066.0
Leq-CMig_092-Ex1_L3_clmp.fp2_r1_screen	2122.0	7637.0	56781.0	4388.0	3267.0	359.0	834.0	648.0	11.0	0.0	0.0	284090.0	4533018.0
Leq-CMig_092-Ex1_L3_clmp.fp2_r2_screen	2238.0	7598.0	57457.0	4438.0	3209.0	374.0	873.0	710.0	14.0	0.0	0.0	286651.0	4529593.0
Leq-CMig_093-Ex1_L3_clmp.fp2_r1_screen	29583.0	6765.0	42730.0	3262.0	2230.0	231.0	638.0	579.0	5.0	0.0	0.0	212266.0	3278311.0
Leq-CMig_093-Ex1_L3_clmp.fp2_r2_screen	29588.0	6617.0	43621.0	3282.0	2331.0	264.0	615.0	539.0	10.0	0.0	0.0	214641.0	3275092.0
Leq-CMig_095-Ex1_L3_clmp.fp2_r1_screen	22628.0	9238.0	45613.0	4591.0	2341.0	264.0	695.0	504.0	9.0	0.0	0.0	219675.0	3434435.0
Leq-CMig_095-Ex1_L3_clmp.fp2_r2_screen	22566.0	9388.0	46606.0	4586.0	2298.0	230.0	707.0	617.0	10.0	0.0	0.0	222290.0	3430695.0
Leq-CMig_096-Ex1_L3_clmp.fp2_r1_screen	11376.0	7502.0	39286.0	3404.0	2040.0	256.0	564.0	458.0	7.0	0.0	0.0	195308.0	2932439.0
Leq-CMig_096-Ex1_L3_clmp.fp2_r2_screen	11298.0	7438.0	39603.0	3376.0	2004.0	242.0	621.0	474.0	6.0	0.0	0.0	197374.0	2930204.0
