"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0522312003117838,0.0337056275859249,2.87645810471108e-05,0.179740118241311,0.555652999999997,-32936.1170216403
"Std.",0.000107825962393049,0.000233113409789591,2.78241869175523e-05,0.00545206774994216,0.00143865262591405,1.68393254054947
"Acceptance ratio",0.24636,0.13516,0.15784,0.20136,0.2567,0.67138
"0%",0.0517661369422125,0.032873081173404,7.90904239297748e-09,0.161058101755958,0.550082449126973,-32952.5750032966
"2.5%",0.0520162695326291,0.0332592502335632,5.66355600169704e-07,0.169028296526033,0.552848740793741,-32940.1462898376
"5%",0.0520541846315041,0.0333239984330527,1.34069733443021e-06,0.170730594121706,0.553325446304456,-32939.2992973645
"7.5%",0.0520745278626567,0.0333683157145571,2.42274545616636e-06,0.171955065688213,0.553623352793081,-32938.7837076595
"10%",0.0520929873923731,0.033403236524186,3.16017438430691e-06,0.172804022757488,0.553836919602547,-32938.4022052442
"12.5%",0.0521087029376964,0.0334377156368559,4.05087653723213e-06,0.173495207734528,0.554016023395008,-32938.076957669
"15%",0.0521213051460413,0.0334618447152138,5.14967971426881e-06,0.174030213576785,0.554175205545571,-32937.8197045987
"17.5%",0.052130052391608,0.0334912601262297,6.17897634801798e-06,0.174562477995785,0.554319642942474,-32937.5935439675
"20%",0.052140253546682,0.0335106580847495,7.17496398117039e-06,0.175103619743596,0.554437396734483,-32937.3736601438
"22.5%",0.0521496341155425,0.0335286594905293,7.93847020191783e-06,0.175595859600501,0.554552276540893,-32937.1980636231
"25%",0.0521582062371866,0.0335467484878918,8.95481194056333e-06,0.176001424527617,0.55467114161323,-32937.0251117596
"27.5%",0.0521658329261747,0.0335652217357191,9.6516380344786e-06,0.176409949491154,0.554775167626673,-32936.8654416787
"30%",0.0521746992242562,0.0335800586523322,1.05977204124639e-05,0.176799260187581,0.55488091054169,-32936.731037972
"32.5%",0.0521834168694924,0.0335941699930269,1.16667242661318e-05,0.177198016118234,0.554980441384504,-32936.5918283188
"35%",0.0521907618271322,0.0336107995742876,1.25232688351338e-05,0.177556764465486,0.555073530018165,-32936.4713356699
"37.5%",0.0521981318546788,0.0336256813292612,1.38003664852114e-05,0.17791113473172,0.555157108219579,-32936.3517148594
"40%",0.0522062709840765,0.0336411216471609,1.47120679208472e-05,0.178300143297435,0.555252085798175,-32936.2424779181
"42.5%",0.0522133985995727,0.0336562398102975,1.63161135152986e-05,0.17862191234659,0.555353258521798,-32936.130084857
"45%",0.0522192736574155,0.0336697717484012,1.77115496671738e-05,0.179014608115986,0.555455124163621,-32936.0279394
"47.5%",0.0522262755205777,0.0336860909161158,1.91558326826698e-05,0.179319370793211,0.555553957580296,-32935.9164863801
"50%",0.0522332443741015,0.0337023799278282,2.04650659389617e-05,0.179610583179029,0.555642452282894,-32935.8153507556
"52.5%",0.0522395511618989,0.0337147282151583,2.18372289617539e-05,0.179946710236031,0.555732004987498,-32935.7214303643
"55%",0.0522464618212313,0.0337306258997178,2.31828624314793e-05,0.180324638983544,0.555816397806451,-32935.6204389723
"57.5%",0.0522524648821023,0.0337467123392518,2.52229837025258e-05,0.180704161669839,0.555915114553662,-32935.5272690428
"60%",0.0522586566719479,0.0337625081410033,2.69234579294567e-05,0.181079737411825,0.555995455428687,-32935.434323109
"62.5%",0.0522657515399014,0.0337768567786348,2.87248557603484e-05,0.181438171627198,0.556101496243683,-32935.3409008942
"65%",0.0522730049765148,0.0337937295637304,3.0786865151296e-05,0.181824020203535,0.556217935834734,-32935.2504036049
"67.5%",0.0522801128814117,0.033810301604407,3.29533453529769e-05,0.182244493573052,0.556310998088782,-32935.1523168288
"70%",0.0522876612147316,0.0338281134530439,3.51439309009154e-05,0.182649796009469,0.556412609470345,-32935.0599981275
"72.5%",0.0522953322105866,0.0338462356061281,3.7521073891962e-05,0.183038031288887,0.556521781130592,-32934.9625306547
"75%",0.0523035775922917,0.0338653672107764,4.00973859661245e-05,0.183456692433316,0.556621269593582,-32934.881884305
"77.5%",0.0523120902657895,0.0338854151319182,4.32926820569447e-05,0.183951697093892,0.556744203059578,-32934.7891223062
"80%",0.0523210690391112,0.0339053960256253,4.65944835900475e-05,0.184410606658045,0.556864091854306,-32934.6906708467
"82.5%",0.0523311438257507,0.0339294655333481,5.0001659089512e-05,0.184925954154373,0.557007986076649,-32934.5850987921
"85%",0.0523421517973391,0.0339505568900811,5.46815195789561e-05,0.185552348275381,0.557146734407412,-32934.4819651008
"87.5%",0.0523547136261547,0.0339800297325809,5.95255375268584e-05,0.186193918274436,0.557309668012106,-32934.3678490384
"90%",0.0523696681476245,0.034004435718555,6.5611585107241e-05,0.186943409851493,0.557483445963985,-32934.2424423665
"92.5%",0.0523850816553498,0.0340435453836941,7.33375464726439e-05,0.187838161667191,0.557709164279087,-32934.1115365064
"95%",0.0524071879762842,0.034089140079181,8.32255959784597e-05,0.188850893561989,0.558034965037203,-32933.9565996825
"97.5%",0.0524407581054876,0.0341684391745798,0.000102482734006783,0.190338286332735,0.558549145149929,-32933.7426950897
"100%",0.0526335274904413,0.0345976164626344,0.000273057782206789,0.199448028105175,0.560786679666337,-32933.1615244522
