"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.037776273963213,0.0258980799198331,0.00554819558372074,0.0333106010466793,0.541618376450905,-16130.1812411099
"Std.",0.000139162318361979,0.00277763020486693,0.00278549959088986,0.0139909733559659,0.00247955145213925,1.52083719768495
"Acceptance ratio",0.16538,0.2185,0.14522,0.16728,0.23246,0.64144
"0%",0.0372059190397727,0.0191980841191741,9.03212012941837e-06,0.0119243796934118,0.532274957869609,-16143.1838726104
"2.5%",0.0375038998391074,0.0205322019432216,0.000665107995762035,0.0166253792211552,0.536754618572608,-16133.9691566486
"5%",0.0375484581286935,0.0212163669098791,0.00105948406562287,0.0181717435893023,0.537493151508408,-16133.0921202472
"7.5%",0.0375768332348852,0.0218675692533515,0.00141508701889285,0.0194802786961751,0.538043566788044,-16132.5682708943
"10%",0.0375975711438349,0.0222697978211688,0.00168055438138073,0.0202334796052709,0.538427339198897,-16132.2088237862
"12.5%",0.0376171669582277,0.0226345992259364,0.00196656843355365,0.0208764333723623,0.538736972220503,-16131.9174699538
"15%",0.0376340472353967,0.0229530181643594,0.00225759422302431,0.0215174203226544,0.539060728313164,-16131.672593921
"17.5%",0.0376471686755689,0.0231969348523784,0.00247221217788771,0.022104882985002,0.539322759978772,-16131.4622140936
"20%",0.0376608115136107,0.0234572400041007,0.00276678468778114,0.022723562142693,0.539555516883916,-16131.2781223253
"22.5%",0.0376728059169477,0.0236703551558027,0.00303219642580772,0.0231439540614075,0.539738875441024,-16131.103107809
"25%",0.0376833631698974,0.0238733913956588,0.0033088061503782,0.0236787974506667,0.539938337091113,-16130.9507769637
"27.5%",0.0376948866427645,0.0240827432422006,0.00360338054958393,0.0243725453729567,0.540158246968121,-16130.8094193181
"30%",0.0377058434590173,0.0242800782352121,0.00381751389330385,0.0249520280852825,0.540343030828787,-16130.6897511856
"32.5%",0.0377147119856389,0.0244640416531252,0.00402134682793176,0.0255717405689429,0.54051541201967,-16130.5706458503
"35%",0.0377250469809325,0.0246487042896683,0.00422837209039148,0.0260559843767684,0.540693082542218,-16130.4511167469
"37.5%",0.0377339620509244,0.0247893784814819,0.00448718817966152,0.0265315836146346,0.540831899799723,-16130.3371950939
"40%",0.0377427791339116,0.0249665014954421,0.00479051883221061,0.027140028271151,0.541010160865036,-16130.2397178719
"42.5%",0.0377501223246257,0.0251469547261493,0.00501517820529439,0.0277079906582792,0.541161699608755,-16130.1398436614
"45%",0.0377586016082886,0.0253401869755637,0.00527085158457209,0.0283762076553461,0.541326968070336,-16130.0446004354
"47.5%",0.0377676408337651,0.0255423376697216,0.00555159279971672,0.029115441977942,0.541475106624906,-16129.954775711
"50%",0.0377754109618323,0.0257220257176724,0.00577512348124752,0.0298295267610642,0.541616442715802,-16129.8680098179
"52.5%",0.0377839256986523,0.0259487496566139,0.00596155697598136,0.0304433837073159,0.541764024635646,-16129.7813239226
"55%",0.0377922833678268,0.0261818108554921,0.00612247136727636,0.0311537066357445,0.541907453823404,-16129.7032835039
"57.5%",0.0378008622971987,0.0264294737787707,0.00629012241540794,0.0320301380871175,0.542086738774104,-16129.6173576908
"60%",0.0378092692886872,0.0266739503409737,0.00646407171366509,0.0328193724514314,0.542231835609112,-16129.5315006497
"62.5%",0.0378186953792833,0.0269388055566103,0.00664941488569861,0.0336279417085247,0.542391508123193,-16129.4545818858
"65%",0.037828569948354,0.0271873308956725,0.00680454430443244,0.034577139489546,0.542561634307764,-16129.3808084308
"67.5%",0.0378375514371086,0.0274104557288116,0.00697979302155756,0.035453248427298,0.542738920165861,-16129.3034936011
"70%",0.0378468777346902,0.0276160276044683,0.00717135930117366,0.03641995134384,0.542932258322286,-16129.2282889505
"72.5%",0.0378576049616791,0.0278340193144737,0.00735864562200337,0.0374450348514308,0.543114086296572,-16129.1537795659
"75%",0.0378693525831058,0.0280489326358541,0.00757858141559986,0.0385363680896846,0.543298952601238,-16129.0743965629
"77.5%",0.0378829938537943,0.0283278283989644,0.00776701683203235,0.0400587199548818,0.543469543593725,-16128.9981146883
"80%",0.0378953462297866,0.0286264193840489,0.00798728362102895,0.0414074177013868,0.543661308065544,-16128.9182677674
"82.5%",0.0379064591427451,0.0289255810369015,0.0082119799461289,0.043029010530312,0.543863153467953,-16128.8336923721
"85%",0.0379205488127512,0.0292193374393837,0.00852503387478944,0.0449850895748696,0.544136472349827,-16128.7470544563
"87.5%",0.0379367941984661,0.0294660968978769,0.00880099441894125,0.0472914590542047,0.544365944156622,-16128.6617529405
"90%",0.0379562705342317,0.0297185193325937,0.00914295144897421,0.0505612228073744,0.544704225074207,-16128.5647062837
"92.5%",0.0379785641826114,0.0299974336913154,0.0095880025173782,0.0550965154254058,0.545145053688675,-16128.4559869535
"95%",0.0380048045661218,0.030346932732894,0.0102527654753881,0.0617814571544821,0.545733005940758,-16128.3252115703
"97.5%",0.0380492798570163,0.0308252352115468,0.0109920793718983,0.0728331538236679,0.546477138236288,-16128.1605371955
"100%",0.0382802402816897,0.0323242003690552,0.0133585994462394,0.120963607738214,0.551735852567765,-16127.72403446
