filename	numreads	meanreadlength	meandepth_wcvg	numpos	numpos_wcvg	meandepth	pctpos_wcvg
Leq-ABas_007_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	4577	140.168	5.28158	2009762	105925	0.278367	5.27052
Leq-ABas_013_Ex1-1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	10068	133.317	7.4946	2009762	157300	0.586587	7.8268
Leq-ABas_008_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	15048	118.189	7.39051	2009762	218935	0.805091	10.8936
Leq-ABas_005_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	22911	111.117	8.10591	2009762	288836	1.16495	14.3717
Leq-ABas_002_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	22362	128.217	10.6477	2009762	239592	1.26936	11.9214
Leq-ABas_010_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	37569	117.329	9.36169	2009762	427165	1.98978	21.2545
Leq-ABas_016_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	37287	118.595	9.51196	2009762	421458	1.99471	20.9705
Leq-ABas_001_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	51020	124.781	11.3465	2009762	501989	2.83408	24.9775
Leq-ABas_020_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	8314	117.244	5.8698	2009762	150802	0.440439	7.50348
Leq-ABas_004_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	53642	121.837	10.5598	2009762	555326	2.91782	27.6314
Leq-ABas_017_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	52922	135.615	13.4819	2009762	460773	3.09096	22.9267
Leq-ABas_003_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	82036	125.086	13.9708	2009762	650649	4.52297	32.3744
Leq-ABas_015_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	93812	136.009	15.703	2009762	697920	5.4531	34.7265
Leq-ABas_019_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	96892	138.504	18.2907	2009762	625432	5.69201	31.1197
Leq-ABas_028_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	22255	112.877	8.11801	2009762	283571	1.14543	14.1097
Leq-ABas_026_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	31120	115.838	8.83699	2009762	370793	1.63039	18.4496
Leq-ABas_018_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	111670	135.819	17.0056	2009762	766520	6.48591	38.1398
Leq-ABas_029_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	29230	117.588	9.05739	2009762	344073	1.55063	17.1201
Leq-ABas_027_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	26464	128.996	9.58962	2009762	313651	1.49659	15.6064
Leq-ABas_014_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	134690	136.779	18.9114	2009762	807379	7.59725	40.1729
Leq-ABas_033_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	22845	118.802	8.45066	2009762	289911	1.21902	14.4251
Leq-ABas_030_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	74283	132.477	15.2393	2009762	567896	4.30615	28.2569
Leq-ABas_039_Ex1_L3_clmp.fp2_repr.rad.RAW-2-2-RG.bam	9749	124.732	6.51999	2009762	166721	0.54087	8.29556
