Sample	Protists_1k	Human	Bacteria_24k	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Tbi-ARos_001_Ex1b_L4_clmp.fp2_r1_screen	9371.0	1920.0	11435.0	963.0	516.0	192.0	134.0	43.0	5.0	0.0	60427.0	562905.0
Tbi-ARos_001_Ex1b_L4_clmp.fp2_r2_screen	9610.0	1966.0	11208.0	983.0	441.0	128.0	125.0	42.0	1.0	0.0	61021.0	562386.0
Tbi-ARos_002_Ex1b_L4_clmp.fp2_r1_screen	16121.0	7299.0	7629.0	2054.0	1100.0	354.0	326.0	124.0	9.0	5.0	80748.0	991000.0
Tbi-ARos_002_Ex1b_L4_clmp.fp2_r2_screen	16234.0	7426.0	7807.0	2000.0	1085.0	358.0	333.0	98.0	1.0	0.0	80095.0	991332.0
Tbi-ARos_003_Ex1b_L4_clmp.fp2_r1_screen	12966.0	4199.0	5321.0	1669.0	843.0	318.0	272.0	84.0	7.0	0.0	47434.0	780004.0
Tbi-ARos_003_Ex1b_L4_clmp.fp2_r2_screen	12722.0	4438.0	5108.0	1676.0	1053.0	296.0	221.0	93.0	5.0	0.0	48439.0	779066.0
Tbi-ARos_004_Ex1b_L4_clmp.fp2_r1_screen	7478.0	1828.0	5271.0	821.0	560.0	128.0	108.0	76.0	1.0	0.0	40190.0	431953.0
Tbi-ARos_004_Ex1b_L4_clmp.fp2_r2_screen	7648.0	1684.0	5383.0	688.0	484.0	137.0	62.0	53.0	1.0	0.0	40272.0	432002.0
Tbi-ARos_005_Ex1b_L4_clmp.fp2_r1_screen	29606.0	7569.0	17276.0	3825.0	2159.0	724.0	621.0	400.0	11.0	1.0	128377.0	2025343.0
Tbi-ARos_005_Ex1b_L4_clmp.fp2_r2_screen	30067.0	7858.0	17084.0	3493.0	2144.0	693.0	527.0	401.0	3.0	2.0	129626.0	2024014.0
Tbi-ARos_006_Ex1b_L4_clmp.fp2_r1_screen	19758.0	4426.0	5359.0	2045.0	1183.0	447.0	298.0	141.0	22.0	0.0	86871.0	1269871.0
Tbi-ARos_006_Ex1b_L4_clmp.fp2_r2_screen	19660.0	4359.0	5513.0	2001.0	1257.0	435.0	212.0	130.0	10.0	0.0	87668.0	1269176.0
Tbi-ARos_007_Ex1b_L4_clmp.fp2_r1_screen	17157.0	2252.0	1563.0	1413.0	878.0	214.0	224.0	189.0	38.0	0.0	98022.0	1011408.0
Tbi-ARos_007_Ex1b_L4_clmp.fp2_r2_screen	17247.0	2081.0	1664.0	1329.0	851.0	210.0	183.0	226.0	8.0	0.0	100531.0	1009028.0
Tbi-ARos_008_Ex1b_L4_clmp.fp2_r1_screen	12735.0	3048.0	5137.0	1527.0	937.0	347.0	294.0	75.0	26.0	0.0	45571.0	790757.0
Tbi-ARos_008_Ex1b_L4_clmp.fp2_r2_screen	13585.0	2945.0	4984.0	1552.0	1007.0	397.0	293.0	64.0	5.0	0.0	46586.0	789036.0
Tbi-ARos_009_Ex1b_L4_clmp.fp2_r1_screen	8147.0	899.0	437.0	635.0	350.0	91.0	57.0	21.0	4.0	0.0	48189.0	409928.0
Tbi-ARos_009_Ex1b_L4_clmp.fp2_r2_screen	7964.0	844.0	399.0	608.0	276.0	90.0	79.0	31.0	2.0	2.0	48441.0	410022.0
Tbi-ARos_010_Ex1b_L4_clmp.fp2_r1_screen	2988.0	2660.0	4154.0	296.0	109.0	44.0	26.0	19.0	9.0	0.0	19441.0	172881.0
Tbi-ARos_010_Ex1b_L4_clmp.fp2_r2_screen	3033.0	2616.0	4171.0	288.0	152.0	39.0	35.0	32.0	2.0	0.0	19885.0	172374.0
Tbi-ARos_011_Ex1b_L4_clmp.fp2_r1_screen	31396.0	4770.0	10718.0	2668.0	1667.0	434.0	349.0	281.0	14.0	0.0	199291.0	1743551.0
Tbi-ARos_011_Ex1b_L4_clmp.fp2_r2_screen	32286.0	4797.0	10565.0	2644.0	1359.0	483.0	323.0	269.0	9.0	2.0	204237.0	1738165.0
Tbi-ARos_012_Ex1b_L4_clmp.fp2_r1_screen	23427.0	13878.0	10504.0	2104.0	1228.0	369.0	292.0	216.0	26.0	0.0	155297.0	1318344.0
Tbi-ARos_012_Ex1b_L4_clmp.fp2_r2_screen	23333.0	13670.0	10737.0	2115.0	1127.0	387.0	279.0	164.0	11.0	0.0	158264.0	1315598.0
Tbi-ARos_013_Ex1b_L4_clmp.fp2_r1_screen	30011.0	24213.0	13651.0	3392.0	1932.0	545.0	373.0	192.0	61.0	0.0	161833.0	2960040.0
Tbi-ARos_013_Ex1b_L4_clmp.fp2_r2_screen	29473.0	23750.0	13602.0	3022.0	2046.0	582.0	441.0	198.0	6.0	0.0	163083.0	2960040.0
Tbi-ARos_014_Ex1b_L4_clmp.fp2_r1_screen	15172.0	3807.0	7518.0	1209.0	612.0	144.0	112.0	165.0	15.0	1.0	43601.0	775897.0
Tbi-ARos_014_Ex1b_L4_clmp.fp2_r2_screen	15367.0	3663.0	7519.0	1301.0	561.0	162.0	143.0	127.0	15.0	1.0	44346.0	775048.0
Tbi-ARos_015_Ex1b_L4_clmp.fp2_r1_screen	8675.0	1053.0	1485.0	709.0	373.0	121.0	69.0	39.0	18.0	0.0	25603.0	400301.0
Tbi-ARos_015_Ex1b_L4_clmp.fp2_r2_screen	8938.0	1049.0	1650.0	710.0	339.0	134.0	107.0	37.0	14.0	0.0	25737.0	399731.0
Tbi-ARos_016_Ex1b_L4_clmp.fp2_r1_screen	14770.0	3324.0	7181.0	1739.0	1033.0	407.0	304.0	115.0	11.0	0.0	59191.0	921951.0
Tbi-ARos_016_Ex1b_L4_clmp.fp2_r2_screen	15439.0	3748.0	7154.0	1675.0	996.0	400.0	320.0	95.0	5.0	0.0	61576.0	918618.0
Tbi-ARos_017_Ex1b_L4_clmp.fp2_r1_screen	8754.0	5442.0	16550.0	1300.0	570.0	206.0	157.0	128.0	21.0	0.0	46621.0	547206.0
Tbi-ARos_017_Ex1b_L4_clmp.fp2_r2_screen	9323.0	5496.0	16258.0	1117.0	537.0	199.0	135.0	104.0	0.0	0.0	47583.0	546203.0
