Population	total_n_samples	n_mappedReads<100k	n_100-250k	n_250-500k	n_500k-1M	n_1-2M	n_>2M
Sfa-ABas	32	0	0	0	0	2	30
Sfa-CBas	49	0	0	0	7	42	0
