Population	total_n_samples	n_meandepth_wcvg<10x	n_10x-20x	n_20x-30x	n_30x-40x	n_40x-50x	n_>50x
Sfa-ABas	32	32	0	0	0	0	0
Sfa-CBas	49	49	0	0	0	0	0
