"","Position","C.T","G.A"
"1",1,0.367342708624875,0.364806818915865
"2",2,0.390719062080268,0.389611929691009
"3",3,0.405696811550482,0.412857318999681
"4",4,0.426853242017511,0.422891645071807
"5",5,0.454119693178478,0.42035497419596
"6",6,0.4744143551782,0.419409292074384
"7",7,0.485165271242505,0.425309206876236
"8",8,0.489383304147405,0.435837290292226
"9",9,0.492557739909392,0.444980316604161
"10",10,0.493858877850866,0.454133544937247
"11",11,0.492170194413094,0.464764845956564
"12",12,0.488827470844144,0.475473842082986
"13",-12,0.493914599868995,0.470188972035757
"14",-11,0.4827178763511,0.474551454876986
"15",-10,0.472321927258448,0.476421811478196
"16",-9,0.463309800913169,0.475230420568319
"17",-8,0.452936286523619,0.473329198173478
"18",-7,0.43828668134061,0.472805701376536
"19",-6,0.424414914853854,0.468712577422918
"20",-5,0.41837459798851,0.454765009913909
"21",-4,0.416890624121932,0.432335942312357
"22",-3,0.405861235031981,0.41270203266618
"23",-2,0.384256726768058,0.395755969104174
"24",-1,0.361211437778254,0.370671863930189
