Sample	Passed Filter	Low Quality	Too Many N	Too short
AeA01001_CKDL210012719-1a-AK9141-7UDI214_HF5TCDSX2_L1_fastp	59841400.0	5612174.0	1258.0	6208312.0
AeA01002_CKDL210012719-1a-AK9141-AK4971_HF5TCDSX2_L1_fastp	39786302.0	2554652.0	898.0	6174450.0
AeA01003_CKDL210012719-1a-AK9141-AK1864_HF5TCDSX2_L1_fastp	70508298.0	1647866.0	1486.0	1598236.0
AeA01004_CKDL210012719-1a-AK9141-AK7558_HF5TCDSX2_L1_fastp	1545480.0	69878.0	32.0	127148.0
AeA01005_CKDL210012719-1a-AK9141-7UDI308_HF5TCDSX2_L1_fastp	953182.0	49792.0	26.0	113250.0
AeA01006_CKDL210012719-1a-AK9141-AK2587_HF5TCDSX2_L1_fastp	69009688.0	2282644.0	1644.0	4338326.0
AeA01007_CKDL210012719-1a-AK9141-GC12_HF5TCDSX2_L1_fastp	82872516.0	2057370.0	1630.0	4855142.0
AeA01008_CKDL210012719-1a-AK9141-7UDI246_HF5TCDSX2_L1_fastp	66168428.0	2599356.0	1268.0	5590520.0
AeA01009_CKDL210012719-1a-AK3905-7UDI214_HF5TCDSX2_L1_fastp	48958950.0	1484950.0	1038.0	2562516.0
AeA01010_CKDL210012719-1a-AK3905-AK4971_HF5TCDSX2_L1_fastp	3369686.0	159844.0	54.0	965074.0
AeA01011_CKDL210012719-1a-AK3905-AK1864_HF5TCDSX2_L1_fastp	11568264.0	893634.0	298.0	2266372.0
AeA01012_CKDL210012719-1a-AK3905-AK7558_HF5TCDSX2_L1_fastp	38689970.0	881432.0	1128.0	2412698.0
AeA01013_CKDL210012719-1a-AK3905-7UDI308_HF5TCDSX2_L1_fastp	48183262.0	1173592.0	852.0	2789090.0
AeA01014_CKDL210012719-1a-AK3905-AK2587_HF5TCDSX2_L1_fastp	39567272.0	1175594.0	762.0	3969046.0
AeA01015_CKDL210012719-1a-AK3905-GC12_HF5TCDSX2_L1_fastp	61258658.0	977374.0	1144.0	2048098.0
AeA01016_CKDL210012719-1a-AK3905-7UDI246_HF5TCDSX2_L1_fastp	3510340.0	200256.0	56.0	878874.0
AeA01017_CKDL210012719-1a-AK7761-7UDI214_HF5TCDSX2_L1_fastp	43847868.0	1413256.0	812.0	1338226.0
AeA01018_CKDL210012719-1a-AK7761-AK4971_HF5TCDSX2_L1_fastp	53859336.0	1876422.0	1322.0	4482562.0
AeA01019_CKDL210012719-1a-AK7761-AK1864_HF5TCDSX2_L1_fastp	32444970.0	1162832.0	612.0	1840308.0
AeA01020_CKDL210012719-1a-AK7761-AK7558_HF5TCDSX2_L1_fastp	7126218.0	427754.0	122.0	980186.0
AeA01021_CKDL210012719-1a-AK7761-7UDI308_HF5TCDSX2_L1_fastp	550676.0	26826.0	10.0	68056.0
AeA01022_CKDL210012719-1a-AK7761-AK2587_HF5TCDSX2_L1_fastp	22216890.0	629788.0	486.0	1074038.0
AeA01023_CKDL210012719-1a-AK7761-GC12_HF5TCDSX2_L1_fastp	6326888.0	737626.0	128.0	3467294.0
AeA01024_CKDL210012719-1a-AK7761-7UDI246_HF5TCDSX2_L1_fastp	10096986.0	480276.0	198.0	1184728.0
AeA01025_CKDL210012719-1a-5UDI298-7UDI214_HF5TCDSX2_L1_fastp	19006730.0	1075868.0	332.0	1173494.0
AeA01026_CKDL210012719-1a-5UDI298-AK4971_HF5TCDSX2_L1_fastp	39948962.0	943132.0	746.0	1590478.0
AeA01027_CKDL210012719-1a-5UDI298-AK1864_HF5TCDSX2_L1_fastp	62208274.0	1581564.0	1228.0	1848486.0
AeA01028_CKDL210012719-1a-5UDI298-AK7558_HF5TCDSX2_L1_fastp	84165744.0	1429738.0	1746.0	1221614.0
AeA01029_CKDL210012719-1a-5UDI298-7UDI308_HF5TCDSX2_L1_fastp	1121476.0	77606.0	22.0	246970.0
AeA01030_CKDL210012719-1a-5UDI298-AK2587_HF5TCDSX2_L1_fastp	42656002.0	949562.0	848.0	1796928.0
AeA01031_CKDL210012719-1a-5UDI298-GC12_HF5TCDSX2_L1_fastp	2217144.0	152514.0	52.0	704774.0
AeA01032_CKDL210012719-1a-5UDI298-7UDI246_HF5TCDSX2_L1_fastp	6828860.0	449282.0	148.0	1268466.0
AeA01033_CKDL210012719-1a-AK9142-7UDI214_HF5TCDSX2_L1_fastp	36111774.0	902820.0	706.0	1016188.0
AeA01034_CKDL210012719-1a-AK9142-AK4971_HF5TCDSX2_L1_fastp	16293702.0	354344.0	280.0	690370.0
AeA01035_CKDL210012719-1a-AK9142-AK1864_HF5TCDSX2_L1_fastp	66985562.0	1175394.0	1414.0	1271708.0
AeA01036_CKDL210012719-1a-AK9142-AK7558_HF5TCDSX2_L1_fastp	1088478.0	70130.0	14.0	203098.0
AeA01037_CKDL210012719-1a-AK9142-7UDI308_HF5TCDSX2_L1_fastp	1440950.0	84956.0	20.0	304354.0
AeA01038_CKDL210012719-1a-AK9142-AK2587_HF5TCDSX2_L1_fastp	2261806.0	128812.0	26.0	468660.0
AeA01039_CKDL210012719-1a-AK9142-GC12_HF5TCDSX2_L1_fastp	57848482.0	1382396.0	1194.0	3451954.0
AeA01040_CKDL210012719-1a-AK9142-7UDI246_HF5TCDSX2_L1_fastp	2938344.0	483912.0	52.0	1656450.0
AeA01041_CKDL210012719-1a-AK8410-7UDI214_HF5TCDSX2_L1_fastp	45528074.0	1825006.0	834.0	1620084.0
AeA01042_CKDL210012719-1a-AK8410-AK4971_HF5TCDSX2_L1_fastp	21599976.0	815736.0	412.0	1827314.0
AeA01043_CKDL210012719-1a-AK8410-AK1864_HF5TCDSX2_L1_fastp	2708092.0	275470.0	72.0	463968.0
AeA01044_CKDL210012719-1a-AK8410-AK7558_HF5TCDSX2_L1_fastp	17226676.0	547152.0	346.0	950536.0
AeA01045_CKDL210012719-1a-AK8410-7UDI308_HF5TCDSX2_L1_fastp	39432110.0	1915944.0	782.0	5619506.0
AeA01046_CKDL210012719-1a-AK8410-AK2587_HF5TCDSX2_L1_fastp	16672012.0	1642544.0	286.0	4997512.0
AeA01047_CKDL210012719-1a-AK8410-GC12_HF5TCDSX2_L1_fastp	84299660.0	1559868.0	1654.0	2889222.0
AeA01048_CKDL210012719-1a-AK8410-7UDI246_HF5TCDSX2_L1_fastp	39406102.0	1595656.0	924.0	3388196.0
AeA01049_CKDL210012719-1a-AK8587-7UDI214_HF5TCDSX2_L1_fastp	98215582.0	3120974.0	2058.0	2471300.0
AeA01050_CKDL210012719-1a-AK8587-AK4971_HF5TCDSX2_L1_fastp	94570334.0	1474998.0	2034.0	1682866.0
AeA01051_CKDL210012719-1a-AK8587-AK1864_HF5TCDSX2_L1_fastp	79999034.0	1908650.0	1604.0	1937368.0
AeA01052_CKDL210012719-1a-AK8587-AK7558_HF5TCDSX2_L1_fastp	7930532.0	568040.0	154.0	1277462.0
AeA01053_CKDL210012719-1a-AK8587-7UDI308_HF5TCDSX2_L1_fastp	1249812.0	56544.0	12.0	154404.0
AeA01054_CKDL210012719-1a-AK8587-AK2587_HF5TCDSX2_L1_fastp	91675614.0	2009158.0	1920.0	3680556.0
AeA01055_CKDL210012719-1a-AK8587-GC12_HF5TCDSX2_L1_fastp	25669416.0	1511582.0	514.0	6163192.0
AeA01056_CKDL210012719-1a-AK8587-7UDI246_HF5TCDSX2_L1_fastp	71114188.0	1861902.0	1376.0	3513426.0
AeA01057_CKDL210012719-1a-AK7759-7UDI214_HF5TCDSX2_L1_fastp	3414496.0	650994.0	56.0	744596.0
AeA01058_CKDL210012719-1a-AK7759-AK4971_HF5TCDSX2_L1_fastp	13044322.0	1126402.0	238.0	2965140.0
AeA01059_CKDL210012719-1a-AK7759-AK1864_HF5TCDSX2_L1_fastp	9520542.0	487876.0	262.0	707108.0
AeA01060_CKDL210012719-1a-AK7759-AK7558_HF5TCDSX2_L1_fastp	53643754.0	1067048.0	1106.0	1418974.0
AeC01001_CKDL210012719-1a-5UDI301-AK533_HF5TCDSX2_L1_fastp	23410478.0	584266.0	896.0	310172.0
AeC01002_CKDL210012719-1a-AK7758-AK533_HF5TCDSX2_L1_fastp	28881334.0	650760.0	1012.0	204730.0
AeC01003_CKDL210012719-1a-AK7078-AK533_HF5TCDSX2_L1_fastp	23038866.0	486488.0	782.0	220288.0
AeC01004_CKDL210012719-1a-AK9143-AK533_HF5TCDSX2_L1_fastp	18772064.0	424650.0	700.0	185438.0
AeC01005_CKDL210012719-1a-5UDI225-AK533_HF5TCDSX2_L1_fastp	20765224.0	423002.0	780.0	172892.0
AeC01006_CKDL210012719-1a-AK9144-AK533_HF5TCDSX2_L1_fastp	22717466.0	455618.0	788.0	139166.0
AeC01007_CKDL210012719-1a-AK3911-AK533_HF5TCDSX2_L1_fastp	22281568.0	529408.0	812.0	223644.0
AeC01008_CKDL210012719-1a-5UDI245-AK533_HF5TCDSX2_L1_fastp	20178034.0	478006.0	736.0	193700.0
AeC01009_CKDL210012719-1a-AK8593-AK533_HF5TCDSX2_L1_fastp	22679514.0	493588.0	840.0	221366.0
AeC01010_CKDL210012719-1a-AK8593-GD06_HF5TCDSX2_L1_fastp	18637686.0	444552.0	646.0	251134.0
AeC01011_CKDL210012719-1a-5UDI294-GD06_HF5TCDSX2_L1_fastp	17620312.0	413104.0	684.0	234716.0
AeC01012_CKDL210012719-1a-AK9146-GD06_HF5TCDSX2_L1_fastp	18693754.0	410094.0	706.0	224202.0
AeC01013_CKDL210012719-1a-5UDI301-AK7557_HF5TCDSX2_L1_fastp	17372298.0	329854.0	636.0	238132.0
AeC01014_CKDL210012719-1a-AK7758-AK7557_HF5TCDSX2_L1_fastp	14212252.0	330298.0	568.0	181542.0
AeC01015_CKDL210012719-1a-AK7078-AK7557_HF5TCDSX2_L1_fastp	15383258.0	357502.0	596.0	197094.0
AeC01016_CKDL210012719-1a-AK9143-AK7557_HF5TCDSX2_L1_fastp	13560192.0	272372.0	504.0	155652.0
AeC01017_CKDL210012719-1a-5UDI225-AK7557_HF5TCDSX2_L1_fastp	11883278.0	308878.0	444.0	227132.0
AeC01018_CKDL210012719-1a-AK9144-AK7557_HF5TCDSX2_L1_fastp	17836780.0	337392.0	636.0	159496.0
AeC01019_CKDL210012719-1a-AK3911-AK7557_HF5TCDSX2_L1_fastp	12392464.0	319006.0	430.0	203134.0
AeC01020_CKDL210012719-1a-5UDI245-AK7557_HF5TCDSX2_L1_fastp	15079978.0	344414.0	552.0	261700.0
AeC01021_CKDL210012719-1a-AK8593-AK7557_HF5TCDSX2_L1_fastp	16551748.0	471456.0	608.0	629628.0
AeC01022_CKDL210012719-1a-5UDI294-AK533_HF5TCDSX2_L1_fastp	17795820.0	524288.0	616.0	354218.0
AeC01023_CKDL210012719-1a-AK9146-AK533_HF5TCDSX2_L1_fastp	16096524.0	359958.0	494.0	189932.0
AeC01024_CKDL210012719-1a-AK5577-AK533_HF5TCDSX2_L1_fastp	13997272.0	371250.0	500.0	185052.0
AeC01025_CKDL210012719-1a-5UDI301-AK8488_HF5TCDSX2_L1_fastp	29225810.0	759848.0	1072.0	519542.0
AeC01026_CKDL210012719-1a-AK7758-AK8488_HF5TCDSX2_L1_fastp	21836548.0	639300.0	910.0	393576.0
AeC01027_CKDL210012719-1a-AK7078-AK8488_HF5TCDSX2_L1_fastp	25222726.0	703294.0	1008.0	381892.0
AeC01028_CKDL210012719-1a-AK9143-AK8488_HF5TCDSX2_L1_fastp	12135620.0	292232.0	446.0	156378.0
AeC01029_CKDL210012719-1a-5UDI225-AK8488_HF5TCDSX2_L1_fastp	13366724.0	366992.0	468.0	207816.0
AeC01030_CKDL210012719-1a-AK9144-AK8488_HF5TCDSX2_L1_fastp	17883992.0	422030.0	650.0	209680.0
AeC01031_CKDL210012719-1a-AK3911-AK8488_HF5TCDSX2_L1_fastp	14501150.0	464594.0	582.0	320924.0
AeC01032_CKDL210012719-1a-5UDI245-AK8488_HF5TCDSX2_L1_fastp	13461932.0	364628.0	486.0	225140.0
AeC01033_CKDL210012719-1a-AK8593-AK8488_HF5TCDSX2_L1_fastp	14981008.0	425220.0	650.0	237126.0
AeC01034_CKDL210012719-1a-5UDI294-AK7557_HF5TCDSX2_L1_fastp	15064662.0	331400.0	554.0	226460.0
AeC01035_CKDL210012719-1a-AK9146-AK7557_HF5TCDSX2_L1_fastp	15452506.0	379230.0	560.0	246406.0
AeC01036_CKDL210012719-1a-AK5577-AK7557_HF5TCDSX2_L1_fastp	13262704.0	436184.0	438.0	491068.0
AeC01037_CKDL210012719-1a-5UDI301-GC06_HF5TCDSX2_L1_fastp	16710360.0	455254.0	648.0	424208.0
AeC01038_CKDL210012719-1a-AK7758-GC06_HF5TCDSX2_L1_fastp	9303726.0	206566.0	364.0	147882.0
AeC01039_CKDL210012719-1a-AK7078-GC06_HF5TCDSX2_L1_fastp	14787706.0	409094.0	526.0	352584.0
AeC01040_CKDL210012719-1a-AK9143-GC06_HF5TCDSX2_L1_fastp	10532436.0	198882.0	380.0	105276.0
AeC01041_CKDL210012719-1a-5UDI225-GC06_HF5TCDSX2_L1_fastp	9847720.0	227002.0	388.0	180528.0
AeC01042_CKDL210012719-1a-AK9144-GC06_HF5TCDSX2_L1_fastp	10966878.0	268564.0	460.0	242578.0
AeC01043_CKDL210012719-1a-AK3911-GC06_HF5TCDSX2_L1_fastp	9215540.0	255598.0	342.0	187604.0
AeC01044_CKDL210012719-1a-5UDI245-GC06_HF5TCDSX2_L1_fastp	11951340.0	316068.0	484.0	244940.0
AeC01045_CKDL210012719-1a-AK8593-GC06_HF5TCDSX2_L1_fastp	14962088.0	356034.0	554.0	278444.0
AeC01046_CKDL210012719-1a-5UDI294-AK8488_HF5TCDSX2_L1_fastp	14341108.0	366532.0	620.0	176864.0
