Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
Gmi-ABas_001-Ex1-b-cssl2.clmp.fp2_r1_screen	23777.0	225910.0	8085.0	1630.0	797.0	171.0	97.0	242.0	7.0	0.0	0.0	171736.0	1911461.0
Gmi-ABas_001-Ex1-b-cssl2.clmp.fp2_r2_screen	23496.0	222295.0	8151.0	1550.0	758.0	214.0	127.0	269.0	0.0	0.0	0.0	165748.0	1921305.0
Gmi-ABas_003-Ex1-b-cssl2.clmp.fp2_r1_screen	25451.0	134514.0	3934.0	1920.0	920.0	231.0	195.0	135.0	6.0	0.0	0.0	130729.0	2099672.0
Gmi-ABas_003-Ex1-b-cssl2.clmp.fp2_r2_screen	25091.0	131571.0	3894.0	2004.0	891.0	233.0	179.0	134.0	5.0	0.0	0.0	126840.0	2106865.0
Gmi-ABas_004-Ex1-b-cssl2.clmp.fp2_r1_screen	17786.0	101577.0	2377.0	1254.0	443.0	117.0	99.0	122.0	6.0	0.0	0.0	93482.0	1305248.0
Gmi-ABas_004-Ex1-b-cssl2.clmp.fp2_r2_screen	17616.0	100360.0	2465.0	1266.0	466.0	124.0	84.0	111.0	1.0	0.0	0.0	91725.0	1308293.0
Gmi-ABas_008-Ex1-b-cssl.clmp.fp2_r1_screen	29469.0	1019941.0	3828.0	2854.0	381.0	82.0	45.0	289.0	2.0	0.0	0.0	335862.0	4836016.0
Gmi-ABas_008-Ex1-b-cssl.clmp.fp2_r2_screen	28753.0	964176.0	3863.0	2881.0	388.0	65.0	41.0	271.0	1.0	0.0	0.0	311963.0	4916367.0
Gmi-ABas_009-Ex1-b-cssl.clmp.fp2_r1_screen	27783.0	128523.0	3481.0	1864.0	956.0	324.0	216.0	176.0	5.0	0.0	0.0	129094.0	2620144.0
Gmi-ABas_009-Ex1-b-cssl.clmp.fp2_r2_screen	27700.0	126817.0	3440.0	1827.0	932.0	264.0	211.0	184.0	5.0	0.0	0.0	127547.0	2623639.0
Gmi-ABas_010-Ex1-b-cssl.clmp.fp2_r1_screen	31479.0	166114.0	6125.0	2288.0	1808.0	328.0	254.0	159.0	12.0	0.0	0.0	151558.0	2765958.0
Gmi-ABas_010-Ex1-b-cssl.clmp.fp2_r2_screen	31596.0	163986.0	6104.0	2234.0	1737.0	322.0	262.0	174.0	1.0	0.0	0.0	148395.0	2771272.0
Gmi-ABas_011-Ex1-b-cssl.clmp.fp2_r1_screen	22417.0	224927.0	3004.0	1654.0	531.0	163.0	120.0	239.0	2.0	0.0	0.0	151459.0	1770301.0
Gmi-ABas_011-Ex1-b-cssl.clmp.fp2_r2_screen	22440.0	221829.0	2995.0	1627.0	515.0	169.0	103.0	250.0	2.0	0.0	0.0	145452.0	1779435.0
Gmi-ABas_012-Ex1-b-cssl.clmp.fp2_r1_screen	30605.0	232862.0	8610.0	2062.0	1571.0	279.0	236.0	210.0	4.0	0.0	0.0	189529.0	2567677.0
Gmi-ABas_012-Ex1-b-cssl.clmp.fp2_r2_screen	30481.0	229226.0	8626.0	2043.0	1534.0	291.0	194.0	199.0	1.0	0.0	0.0	184879.0	2576171.0
Gmi-ABas_013-Ex1-b-cssl.clmp.fp2_r1_screen	21119.0	116337.0	10145.0	1387.0	734.0	192.0	163.0	168.0	2.0	1.0	0.0	112761.0	1711526.0
Gmi-ABas_013-Ex1-b-cssl.clmp.fp2_r2_screen	21037.0	113557.0	10027.0	1335.0	717.0	190.0	151.0	169.0	1.0	1.0	0.0	109110.0	1718240.0
Gmi-ABas_014-Ex1-b-cssl.clmp.fp2_r1_screen	3094.0	16604.0	848.0	226.0	146.0	24.0	18.0	33.0	0.0	0.0	0.0	19395.0	305689.0
Gmi-ABas_014-Ex1-b-cssl.clmp.fp2_r2_screen	3029.0	16532.0	827.0	253.0	167.0	24.0	19.0	34.0	1.0	0.0	0.0	18983.0	306208.0
Gmi-ABas_015-Ex1-b-cssl.clmp.fp2_r1_screen	166.0	150984.0	7387.0	6658.0	1397.0	712.0	497.0	205.0	5.0	0.0	0.0	72096.0	2601391.0
Gmi-ABas_015-Ex1-b-cssl.clmp.fp2_r2_screen	25539.0	102788.0	2856.0	1758.0	881.0	276.0	173.0	135.0	0.0	0.0	0.0	127012.0	2580080.0
Gmi-ABas_016-Ex1-b-cssl.clmp.fp2_r1_screen	34402.0	232174.0	4779.0	2268.0	914.0	270.0	212.0	236.0	2.0	0.0	0.0	194677.0	2768753.0
Gmi-ABas_016-Ex1-b-cssl.clmp.fp2_r2_screen	33911.0	228655.0	4793.0	2249.0	898.0	251.0	213.0	242.0	1.0	0.0	0.0	187386.0	2780088.0
Gmi-ABas_017-Ex1-b-cssl2.clmp.fp2_r1_screen	24959.0	74495.0	10609.0	2056.0	1046.0	310.0	221.0	147.0	1.0	0.0	0.0	126023.0	2440207.0
Gmi-ABas_017-Ex1-b-cssl2.clmp.fp2_r2_screen	25200.0	73576.0	10449.0	2200.0	1065.0	249.0	242.0	102.0	2.0	0.0	0.0	124906.0	2442083.0
